French,quizlet
d',"preposition : *of, from, by, than, in, with (used before a vowel or mute h) (see #4)*

Je veux aller à la plage, mais j'ai besoin d'un maillot de bain.
I want to go to the beach, but I need a swimsuit."



pour,"preposition : *for*

On va au parc pour jouer.
We go to the park to play."



se,"personal pronoun : *himself, herself, themselves (see #60)*

Il se laisse suivre par le chien.
He lets himself be followed by the dog."



des,"indefinite article : *some (used before a plural noun) (see #14, 26)*

Il y a des livres sur la table.
There are some books on the table."



dire,"verb, noun : *to say, tell*

Je vais te donner un conseil là : il faut dire la vérité.
I am going to give you some advice here: you must tell the truth."



pouvoir,"verb, noun : *can, to be able to*

Ce pouvoir influence ces décisions.
This power influences these decisions."



vouloir,"verb : *to want*

Il veut se reposer chez sa tante.
He wants to rest at his aunt's house."



mais,"conjunction : *but*

Il se croit intelligent, mais il fait souvent des erreurs.
He thinks he is smart, but he often makes mistakes."



me,"personal pronoun : *me, myself*

Il veut me montrer une autre chose.
He wants to show me another thing."



nous,"personal pronoun : *we, us*

Nous allons bien avec nos amis.
We are doing well with our friends."



dans,"preposition : *in, into*

Le chat se cache dans la boîte.  
The cat hides in the box."



elle,"personal pronoun : *she, it (refers to a feminine singular noun)*

Elle mange une pomme du jardin.
She eats an apple from the garden."



savoir,"verb : *to know; languagedaily dot com*

Je pense que tu sais quoi faire ici.
I think you know what to do here."



du,"definite article : *(de + le/les) = of the, from the*

Il y a du pain sur la table.
There is some bread on the table."



où,"relative pronoun, interrogative pronoun : *where, that*

Où ne vous trouvez-vous pas?
Where do you not find yourself?"



y,"personal pronoun : *it, there*

Il y a des livres que j'aime lire.
There are some books that I like to read."



t',"personal pronoun : *you, yourself (shortened form used before a vowel)*

Je t'aime parce que la vie est belle.
I love you because life is beautiful."



bien,"adverb, noun : *well, very; good*

French: Je t'aime bien pour sa gentillesse.
English: I like you for his/her kindness."



voir,"verb : *to see*

Je ne vois pas des oiseaux.
I do not see any birds."



plus,"adverb : *more*

French: Ce gâteau est plus bon pour toi.
English: This cake is better for you."



non,"adverb : *no*

Non, je ne parle pas à lui.  
No, I do not speak to him."



te,"personal pronoun : *you, yourself*

Je te dois dire où aller.
I have to tell you where to go."



mon,"possessive adjective : *my (used before a masculine singular noun) (see #27, 108)*

Mon frère joue avec toi.  
My brother plays with you."



au,"definite article : *at the, to the, in the (contraction of à + le; used with a singular masculine noun)*

Nous n'allons pas au parc.
We are not going to the park."



avec,"preposition : *with*

Je joue aussi avec mon ami comme toi.  
I also play with my friend like you."



moi,"personal pronoun : *I, me*

Ils parlent de moi.
They talk about me."



si,"adverb, conjunction : *yes; if; so, such*

Si tu attends ici, qui va nous aider ?
If you wait here, who will help us?"



quoi,"adjective, relative pronoun, interrogative pronoun : *what (exclamatory, interrogative, after preposition)*

Quoi avoir l'importance dans cette situation?
What has importance in this situation?"



devoir,"verb, noun : *to have to, must; duty, test*

Je dois faire mes devoirs, mais je ne sais pas quand ni quoi étudier.
I have to do my homework, but I don't know when or what to study."



oui,"adverb : *yes*

Oui, c'est aussi une chose importante.
Yes, it is also an important thing."



ils,"personal pronoun : *they (refers to a group of masculine or mixed masculine/feminine nouns)*

Ils voient la maison là-bas.
They see the house over there."



comme,"conjunction, adverb : *as, like; how, same*

Comme si je pouvais vivre avec toi.  
As if I could live with you."



s',"personal pronoun, conjunction : *himself, herself, themselves (variation of ""se"" used before a word starting with a vowel or mute h)*

Elle s' arrête pour penser à cette idée.
She stops to think about this idea."



venir,"verb : *to come, occur*

Je ne peux pas venir avec toi.  
I cannot come with you."



sur,"preposition, adjective : *on, upon; over (preposition); sour (adjective)*

Je ne suis jamais bien sur de la réponse.
I am never quite sure of the answer."



toi,"personal pronoun : *you*

La maison est très belle, toi aussi.
The house is very beautiful, you too."



ici,"adverb : *here*

Je veux des pommes ici.  
I want some apples here."



rien,"indefinite pronoun : *nothing*

Je n'ai rien pour quand tu arrives.
I have nothing for when you arrive."



lui,"personal pronoun : *he, him, it, her*

Tu lui as donné le livre que je t'ai prêté.
You gave him the book that I lent you."



bon,"adjective, onomatopoeia, noun, adverb : *good, right, kind; good!; voucher; then; french.languagedaily.com*

French: Là, le bon devoir fait un bon bruit bon.
English: There, the good homework makes a good sound well."



là,"adverb : *there, here, then*

Elle est là et te regarde.  
She is there and watching you."



suivre,"verb : *to follow*

Elle veut suivre le cours, mais elle est en retard.
She wants to follow the class, but she is late."



pourquoi,"adverb, conjunction : *why*

Pourquoi a-t-il laissé son sac ici ?
Why did he leave his bag here?"



parler,"verb : *to speak, talk*

Je veux parler pour quoi faire.
I want to speak for what purpose."



prendre,"verb : *to take, get*

Je ne peux pas venir prendre le bus.
I cannot come to take the bus."



cette,"demonstrative adjective : *this, that (feminine singular)*

Cette maison est si belle à voir.
This house is so beautiful to see."



quand,"conjunction : *when, whenever*

Quand je dois parler, je suis nerveux.
When I have to speak, I am nervous."



alors,"adverb : *then; so; hence*

Alors, je veux savoir pourquoi tu es là.  
So, I want to know why you are there."



une chose,"noun : *thing, matter*

Je veux suivre une chose importante.
I want to follow an important thing."



par,"preposition : *per, by, through, out of*

Il s'arrête par la maison qui est rouge.
He stops by the house that is red."



son,"possessive adjective : *his, her, its (possessive adjective); sound (noun - le son)*

Son frère a pris le livre d'école de sa sœur.
His brother took his sister's school book."



croire,"verb : *to believe, think*

Je crois du fond de mon cœur que tu me comprends.
I believe from the bottom of my heart that you understand me."



aimer,"verb : *to love, like, be fond of*

J'aime de croire en toi.
I like to believe in you."



falloir,"verb : *it is necessary, must, have to*

Il faut donner de l'amour.
It is necessary to give love."



comment,"adverb, conjunction, onomatopoeia : *how; what*

Comment de bon gâteau!
How good the cake is!"



très,"adverb : *very*

Nous sommes très contents de l'autre côté.
We are very happy on the other side."



ou,"conjunction : *or; either… or*

Elle ne sait pas quoi choisir, un livre ou un film.
She doesn't know what to choose, a book or a movie."



passer,"verb : *to pass, go by, cross*

Je vais passer dans le parc.  
I am going to pass through the park."



penser,"verb : *to think*

Je pense plus à ta santé.
I think more about your health."



aussi,"adverb : *also, too*

Elle croit aussi en ses rêves.
She also believes in her dreams."



jamais,"adverb : *never*

Je ne mange jamais du pain qui est dur.
I never eat bread that is hard."



attendre,"verb : *to wait for, expect*

Je vais attendre cette fille une minute.
I will wait for this girl one minute."



trouver,"verb : *to find*

Il s'est perdu ici et il ne peut pas se trouver.
He got lost here and he can't find himself."



laisser,"verb : *to leave*

Il faut laisser un message.
It is necessary to leave a message."



petit,"adjective, noun : *small, little, young (adjective); languagedaily dot com; kid, child (masculine noun)*

Je vais du petit déjeuner.
I am going to the small breakfast."



merci,"onomatopoeia, noun : *thanks, thank you*

Sa voix douce a dit ""merci"" et t'a fait sourire.  
Her soft voice said ""thank you"" and made you smile."



même,"adverb, adjective : *same; even, so much as, as*

Même si tu me vois, je ne te vois pas.
Even if you see me, I don't see you."



sa,"possessive adjective : *his, her, its (feminine)*

Sa mère peut venir ici.
Her mother can come here."



ta,"possessive adjective : *your (reminine)*

Ta maison est plus grande que les miennes.
Your house is bigger than mine."



autre,"adjective, indefinite pronoun : *other, another, different (singular)*

Il faut donner l'autre livre.
It is necessary to give the other book."



arriver,"verb : *to arrive*

Ça va arriver bientôt.
It will arrive soon."



ces,"demonstrative adjective : *these, those (plural form of masculine ""ce"" and feminine ""cette"")*

Ces livres sont si intéressants, tu devrais les lire.
These books are so interesting, you should read them."



donner,"verb : *to give, give away*

Je veux donner ce petit cadeau, mais je ne sais pas comment.
I want to give this small gift, but I don't know how."



