,word,translation
4086,supiste,"verb: know, realize, taste.  "
4087,sacarlo,remove it
4088,preparando,"verb: prepare, make, ready.  "
4089,letras,"noun: letters, lettering.  "
4090,típico,"adjective: typical, especial.  "
4091,reserva,"noun: reservation, booking, reserve.  "
4092,propuesta,"noun: proposal, approach, tender.  "
4093,plataforma,"noun: platform, stage, bench.  "
4094,mago,"noun: magician, wizard, magus.  "
4095,linea,"noun: line, cable, cord.  "
4096,dude,"verb: doubt, waver, boggle.  "
4097,busque,"verb: search, search for, look.  "
4098,tabaco,"noun: tobacco, cigarette, smoke.  "
4099,principios,"noun: beginning, beginnings, values.  "
4100,dormida,"verb: sleep, slumber, doze.  "
4101,costó,"noun: cost, charge.  "
4102,causar,"verb: cause, inflict, bring about.  "
4103,temer,"verb: fear, dread, apprehend.  "
4104,subiendo,"verb: upload, rise, go up.  "
4105,rollo,"noun: roll, reel, coil.  "
4106,hechizo,"noun: spell, charm, magic.  "
4107,gusano,"noun: worm, maggot, caterpillar.  "
4108,guau,noun: woof.  
4109,grupos,"noun: group, band, set.  "
4110,discos,"noun: disk, disc, record.  "
4111,despierte,"verb: wake, awaken, arouse.  "
4112,ocurriendo,"verb: occur, happen, take place.  "
4113,horario,"noun: schedule, timetable, hour hand.  adjective: horary.  "
4114,expedientes,"noun: record, file, proceedings.  "
4115,envié,"verb: send, post, ship.  "
4116,dibujos,noun: graphics.  
4117,concurso,"noun: competition, contest, concourse.  "
4118,autopista,"noun: motorway, highway, freeway.  "
4119,atacó,"verb: attack, strike, tackle.  "
4120,vendedor,"noun: seller, vendor, salesman.  "
4121,sigas,"verb: follow, continue, keep.  "
4122,rebeldes,"noun: rebel, insurgent.  adjective: rebellious, insurgent, refractory.  "
4123,radar,noun: radar.  
4124,expresión,"noun: expression, phrase, phrasing.  "
4125,escuchan,"verb: listen, hear, listen to.  "
4126,use,"verb: use, wear, utilize.  "
4127,resultó,"verb: result, prove.  "
4128,principe,noun: prince.  
4129,hágalo,do it
4130,exposición,"noun: exposure, exhibition, exposition.  "
4131,demasiadas,too many
4132,cuidando,"verb: care, look after, tend.  "
4133,aterrizaje,"noun: landing, touchdown, alighting.  "
4134,apetece,"verb: crave, desiderate, love.  "
4135,tomaron,"verb: take, have, drink.  "
4136,sorprendente,"adjective: surprising, astonishing, astounding.  "
4137,responda,"verb: respond, answer, reply.  "
4138,olvidaste,"verb: forget, neglect, leave.  "
4139,lobos,"noun: wolf, lupus.  "
4140,echado,"adjective: lying, laid, lazy.  "
4141,deberias,"verb: must, owe, job.  "
4142,cortado,"adjective: cut, disengaged, clipped.  "
4143,citas,"noun: appointment, quote, date.  "
4144,abiertos,"adjective: open, opened, direct.  "
4145,zapato,"noun: shoe, beetle crusher.  "
4146,preso,"noun: prisoner, inmate.  "
4147,lastimar,"verb: hurt, injure, shock.  "
4148,explosivos,"adjective: explosive, plosive.  noun: explosive.  "
4149,colegas,"noun: colleague, associate, brother.  "
4150,supieras,"verb: know, realize, taste.  "
4151,secretaria,noun: receptionist.  
4152,queridos,"adjective: dear, darling, cherished.  noun: darling, lover, love.  "
4153,morirás,"verb: die, kill, die out.  "
4154,cuero,"noun: leather, hide, skin.  "
4155,confesión,"noun: confession, admission, avowal.  "
4156,círculo,"noun: circle, ring, round.  "
4157,sabéis,"verb: know, realize, taste.  "
4158,química,noun: chemistry.  
4159,obras,noun: works.  
4160,llores,"verb: mourn, cry, weep.  "
4161,juegas,"verb: play, gamble, play around.  "
4162,invisible,"adjective: invisible, unseen, sightless.  "
4163,fase,"noun: phase, time, lap.  "
4164,esconde,"verb: hide, conceal, stash.  "
4165,capitan,"noun: captain, skipper, commander.  "
4166,adulto,"adjective: adult, grown-up.  noun: adult.  "
4167,vacía,noun: empty.  
4168,siéntense,sit down
4169,pastor,"noun: pastor, shepherd, minister.  "
4170,llegada,"noun: arrival, coming, advent.  "
4171,gatillo,"noun: trigger, pelican.  "
4172,debamos,"verb: must, owe, job.  "
4173,teléfonos,"noun: phone, telephone, blower.  "
4174,saqué,"noun: serve, serving, server.  "
4175,regresará,"verb: regress, lie back, tidy away.  "
4176,olvidaré,"verb: forget, neglect, leave.  "
4177,límites,"noun: limit, bounds, pale.  "
4178,jovencita,"noun: lass, chick, lassie.  "
4179,dibujo,"noun: drawing, picture, pattern.  "
4180,británico,"adjective: British, Britannic.  noun: Briton.  "
4181,balboa,noun: balboa.  
4182,psiquiatra,"noun: psychiatrist, alienist.  "
4183,objetos,"noun: object, purpose, thing.  "
4184,negociar,"verb: negotiate, bargain, deal.  "
4185,formar,"verb: form, train, shape.  "
4186,fiel,"adjective: faithful, true, loyal.  noun: pointer, churchgoer.  "
4187,diosa,noun: goddess.  
4188,descubrió,"verb: discover, find out, uncover.  "
4189,ala,noun: wing.  
4190,abril,noun: April.  abbreviation: Apr..  
4191,saldré,"verb: leave, get out, go out.  "
4192,mías,mine
4193,disfruta,"verb: enjoy, delight, bask.  "
4194,atender,"verb: attend, serve, care.  "
4195,tomaremos,"verb: take, have, drink.  "
4196,oreja,"noun: ear, lug, tab.  "
4197,necesitaremos,"verb: need, require, take.  "
4198,motores,"noun: engine, motor, power unit.  adjective: motor, driving, motive.  "
4199,intenciones,"noun: intention, intent, purpose.  "
4200,cumplido,"noun: compliment.  adjective: accomplished, complete, kept.  "
4201,brindis,noun: toast.  
4202,villa,"noun: villa, small town.  "
4203,trono,noun: throne.  
4204,traen,"verb: bring, bring in, get.  "
4205,sentados,"adjective: sitting, sejant.  "
4206,samurai,noun: samurai.  
4207,salía,"verb: leave, get out, go out.  "
4208,raras,"adjective: rare, unusual, odd.  "
4209,producción,"noun: production, output, yield.  "
4210,medias,"noun: tights, hose, hosiery.  "
4211,lavar,"verb: wash, rinse, launder.  "
4212,jazz,"noun: jazz, jive.  "
4213,extraordinario,"adjective: extraordinary, special, remarkable.  noun: special dish.  "
4214,causado,adjective: inflicted.  
4215,serpientes,"noun: snake, serpent.  "
4216,revisa,"verb: revise, look at, inspect.  "
4217,quedate,stay
4218,nervios,noun: jitters.  
4219,estable,"adjective: stable, steady, permanent.  "
4220,cerdos,"noun: pork, pig, hog.  "
4221,riesgos,"noun: risk, hazard, venture.  "
4222,pasaste,"verb: pass, go, move.  "
4223,madres,"noun: mother, parent.  "
4224,instinto,"noun: instinct, flair, urge.  "
4225,episodio,"noun: episode, incident.  "
4226,empezaron,"verb: start, begin, get.  "
4227,aniversario,"adjective: anniversary.  noun: anniversary, jubilee.  "
4228,viera,"verb: see, view, watch.  "
4229,viajes,"noun: travel, travels.  "
4230,trabajé,"verb: work, job, labor.  "
4231,rango,"noun: rank, class, grade.  "
4232,preocupación,"noun: concern, worry, preoccupation.  "
4233,métete,get in
4234,imaginé,"verb: imagine, think, figure.  "
4235,hayamos,verb: have.  
4236,fenómeno,"noun: phenomenon, freak.  "
4237,dolores,"noun: pain, grief, sorrow.  "
4238,demanda,"noun: demand, plaint.  "
4239,creó,"verb: create, make, set up.  "
4240,asegurar,"verb: ensure, secure, assure.  "
4241,pesadillas,noun: nightmare.  
4242,niega,"verb: deny, refuse, negate.  "
4243,molestia,"noun: hassle, nuisance, trouble.  "
4244,extremo,"adjective: end, extreme, far.  noun: end, extreme, extremity.  prefix: ultra-.  "
4245,debilidad,"noun: weakness, debility, frailty.  "
4246,compasión,"noun: compassion, pity, sympathy.  "
4247,camiones,"noun: truck, camion, lorry.  "
4248,aproximadamente,"adverb: about, approximately, around.  preposition: on the order of.  "
4249,afecta,"verb: affect, impact, influence.  "
4250,administración,"noun: administration, government, management.  "
4251,reconocimiento,"noun: recognition, acknowledgment, appreciation.  "
4252,recientemente,"adverb: recently, newly, lately.  "
4253,practicar,"verb: practice, practise.  "
4254,pierdas,"verb: lose, miss, waste.  "
4255,pandilla,"noun: gang, clique, band.  "
4256,miss,miss
4257,mates,noun: math.  
4258,disparando,"verb: shoot, fire, discharge.  "
4259,británicos,noun: British.  
4260,ayudarlos,help them
4261,sueldo,"noun: salary, pay, income.  "
4262,siguió,"verb: follow, continue, keep.  "
4263,significado,"noun: meaning, significance, signification.  adjective: implied.  "
4264,miente,"verb: lie, tell a lie, prevaricate.  "
4265,medidas,"noun: measure, measurement, action.  "
4266,guitarra,noun: guitar.  
4267,custodia,"noun: custody, safekeeping, keeping.  "
4268,boletos,"noun: ticket, boletus, fare.  "
4269,ayudado,"verb: help, assist, aid.  "
4270,sentarte,sit down
4271,risa,"noun: laughter, laugh, mirth.  "
4272,quemar,"verb: burn, burn off, scorch.  "
4273,prometió,"verb: promise, pledge, vow.  "
4274,observando,"verb: observe, note, watch.  "
4275,lectura,noun: reading.  
4276,jódete,fuck you
4277,considerado,"adjective: considered, considerate, thoughtful.  "
4278,cometer,"verb: commit, make, foul.  "
4279,cambié,"verb: change, switch, shift.  "
4280,asientos,noun: seating.  
4281,satisfecho,"adjective: satisfied, pleased, happy.  "
4282,saludable,"adjective: healthy, wholesome, salutary.  "
4283,lanzar,"verb: launch, throw, release.  "
4284,hoja,"noun: sheet, leaf, blade.  "
4285,conozca,"verb: know, meet, learn.  "
4286,concepto,"noun: concept, notion, conception.  "
4287,colgar,"verb: hang, hang up, dangle.  "
4288,apunta,"verb: point, aim, record.  "
4289,renta,"noun: rent, income, rental.  "
4290,prefieres,"verb: prefer, favor, like better.  "
4291,pediré,"verb: ask, request, ask for.  "
4292,mediodía,"noun: noon, midday, south.  "
4293,influencia,"noun: influence, clout, sway.  "
4294,hacernos,make us
4295,figura,"noun: figure, shape, form.  "
4296,ensayo,"noun: test, trial, assay.  "
4297,coordenadas,noun: coordinate.  
4298,casó,"noun: case, instance, occurrence.  "
4299,político,adjective: political.  noun: politician.  
4300,países,noun: estate.  
4301,once,"noun: eleven, elevenses.  : eleven.  "
4302,matarlos,kill them
4303,graduación,"noun: graduation, rank, calibration.  "
4304,frase,"noun: phrase, sentence, locution.  "
4305,eterna,"adjective: eternal, everlasting, timeless.  "
4306,estarlo,be
4307,descuida,"verb: neglect, disregard, abandon.  "
4308,toalla,"noun: towel, horsetowel.  "
4309,próximos,"adjective: next, near, close.  "
4310,monedas,"noun: currency, coin, money.  "
4311,mirad,interjection: Behold!.  
4312,miraba,"verb: look, look at, watch.  "
4313,griegos,"adjective: Greek, Grecian.  noun: Greek, Grecian.  "
4314,famosa,"adjective: famous, renowned, famed.  "
4315,corredor,"noun: corridor, broker, runner.  "
4316,atravesar,"verb: cross, traverse, break through.  "
4317,aguas,"noun: water, aqua.  "
4318,modales,"noun: manners, address.  "
4319,guerras,"noun: war, warfare.  "
4320,eternidad,"noun: eternity, forever, everlasting.  "
4321,conocerla,know her
4322,busquen,"verb: search, search for, look.  "
4323,acuerda,"verb: agree, agree on, arrange.  "
4324,sentirme,feel
4325,quema,phrase: Does it burn?.  
4326,poema,noun: poem.  
4327,ordenó,"verb: order, sort, arrange.  "
4328,espiritual,"adjective: spiritual, unworldly, otherworldly.  "
4329,costumbre,"noun: custom, habit, practice.  "
4330,comencé,"verb: start, begin, commence.  "
4331,cabra,"noun: goat, nanny-goat.  "
4332,alquiler,"noun: rental, hire, renting.  verb: let, charter.  "
4333,vencido,"adjective: defeated, beaten, losing.  "
4334,vela,"noun: candle, sail, watch.  "
4335,trataré,"verb: treat, process, try on.  "
4336,sospechosos,"adjective: suspect, fishy, dubious.  noun: suspect.  "
4337,quinto,adjective: fifth.  noun: fifth.  : fifth.  
4338,pilotos,noun: airmen.  
4339,perdieron,"verb: lose, miss, waste.  "
4340,generación,noun: generation.  
4341,formación,"noun: training, formation, education.  "
4342,estructura,"noun: structure, frame, framework.  "
4343,concéntrate,focus
4344,complejo,"adjective: complex, convoluted.  noun: complex, a hang up.  "
4345,voces,"noun: voice, word, vocals.  "
4346,tragos,"noun: drink, swallow, gulp.  "
4347,temor,"noun: fear, awe, misgiving.  "
4348,república,noun: republic.  
4349,recursos,"noun: means, sinews.  "
4350,presentación,"noun: presentation, filing, display.  "
4351,pirámide,noun: pyramid.  
4352,oficialmente,"adverb: officially, formally.  "
4353,maquillaje,noun: makeup.  
4354,guardaespaldas,"noun: bodyguard, minder, goon.  "
4355,escucharme,listen to me
4356,dejara,verb: vacate.  
4357,contiene,"verb: contain, hold, include.  "
4358,bendición,"noun: blessing, benediction, boon.  "
4359,vuestros,pronoun: your.  
4360,semejante,"adjective: such, similar, like.  noun: like.  "
4361,pague,"verb: pay, pay for, repay.  "
4362,molestes,"verb: disturb, bother, annoy.  "
4363,cultura,"noun: culture, education, enlightenment.  "
4364,comió,"verb: eat, lunch, meal.  "
4365,antecedentes,"noun: background, record, past.  "
4366,tendríamos,"verb: have, keep, own.  "
4367,representante,"noun: representative, agent, deputy.  "
4368,prestado,adjective: taken.  
4369,posesión,"noun: possession, ownership, holding.  "
4370,oir,"verb: hear, listen, overhear.  "
4371,nubes,noun: overcast.  
4372,meterte,put you in
4373,guantes,"noun: glove, mitt.  "
4374,esperabas,"verb: wait, expect, wait for.  "
4375,enseña,"verb: teach, show, train.  "
4376,encontrarme,find me
4377,consejos,"noun: advice, council, counsel.  "
4378,regreses,"verb: return, go back, come back.  "
4379,preocupen,"verb: worry, concern, trouble.  "
4380,pistolas,"noun: gun, pistol, handgun.  "
4381,gane,"verb: win, earn, gain.  "
4382,sos,you are
4383,niveles,"noun: level, standard, tier.  "
4384,ganaste,"verb: win, earn, gain.  "
4385,considerando,"verb: consider, regard, account.  "
4386,capital,"adjective: capital.  noun: capital, principal, stock.  "
4387,cambie,"verb: change, switch, shift.  "
4388,ánimo,"noun: mind, encouragement, courage.  "
4389,utilizar,"verb: use, utilize, harness.  "
4390,lograrlo,make it
4391,llévate,take away
4392,gafas,"noun: glasses, spectacles, specs.  "
4393,espíritus,"noun: spirit, mind, spirits.  "
4394,preguntaste,"verb: ask, inquire, question.  "
4395,pagará,"verb: pay, pay for, repay.  "
4396,maíz,"noun: corn, maize, Indian corn.  "
4397,estacionamiento,"noun: parking, parking lot, car park.  "
4398,contactos,"noun: contact, touch, point.  "
4399,aguja,"noun: needle, steeple, stylus.  "
4400,trenes,noun: train.  
4401,soporto,"verb: bear, endure, hold.  "
4402,sacaré,"verb: take, get, draw.  "
4403,oido,"noun: ear, hearing.  "
4404,fortaleza,"noun: fortress, fort, stronghold.  "
4405,corea,noun: chorea.  
4406,conversar,"verb: talk, converse.  "
4407,computadoras,noun: computer.  
4408,cálmese,interjection: Cool it!.  
4409,volante,"noun: steering wheel, wheel, flywheel.  adjective: volant.  "
4410,sucederá,verb: succeed.  
4411,decías,"verb: say, tell, speak.  "
4412,data,data
4413,cuente,"verb: count, tell, reckon.  "
4414,civilización,noun: civilization.  
4415,cabrones,"noun: bastard, asshole, ass.  "
4416,arruinar,"verb: ruin, wreck, mess up.  "
4417,vampiro,noun: vampire.  
4418,tocó,"verb: touch, play, perform.  "
4419,regresé,"verb: return, go back, come back.  "
4420,pases,"verb: pass, go, move.  "
4421,fantástica,"adjective: fantastic, fantastical, fanciful.  "
4422,facil,"adjective: easy, simple, ready.  "
4423,estabamos,"verb: be, stay, stand.  "
4424,diera,"verb: give, yield, lend.  "
4425,detenga,"verb: stop, halt, arrest.  "
4426,violación,"noun: violation, rape, breach.  "
4427,hemorragia,"noun: hemorrhage, haemorrhage.  "
4428,fianza,"noun: bail, bond, deposit.  "
4429,docena,noun: dozen.  
4430,centavo,"noun: penny, cent, copper.  "
4431,célula,"noun: cell, cellule.  "
4432,carreras,noun: racing.  
4433,callado,"adjective: quiet, silent, reserved.  "
4434,rodilla,noun: knee.  
4435,prometes,"verb: promise, pledge, vow.  "
4436,profundamente,"adverb: deeply, deep, profoundly.  "
4437,posiciones,"noun: position, location, place.  "
4438,hicieras,"verb: do, make, ask.  "
4439,furioso,"adjective: furious, angry, raging.  "
4440,desperté,"verb: wake, awaken, arouse.  "
4441,comes,"verb: eat, lunch, meal.  "
4442,ciega,noun: blind woman.  
4443,cicatriz,"noun: scar, cicatrix.  "
4444,bebidas,"verb: drink, imbibe, booze.  "
4445,acércate,come closer
4446,tiró,"noun: shot, throw, hit.  "
4447,policial,adjective: constabulary.  
4448,pasear,"verb: walk, take a walk, promenade.  "
4449,masa,"noun: mass, dough, bulk.  "
4450,llegues,"verb: get, reach, arrive.  "
4451,global,"adjective: global, all-embracing, all-in.  "
4452,escapado,adjective: in a rush.  
4453,dinos,tell us
4454,cuarta,"noun: quarter, quart, quarte.  "
4455,bienes,"noun: goods, property, assets.  "
4456,aparato,"noun: apparatus, device, appliance.  "
4457,sostén,"noun: support, bra, brassiere.  "
4458,realizar,"verb: perform, carry out, do.  "
4459,permitiré,"verb: allow, enable, permit.  "
4460,orgullosos,"adjective: proud, prideful, lofty.  "
4461,corten,"verb: cut, cut off, cut out.  "
4462,comisión,"noun: commission, committee, board.  "
4463,vidrio,"noun: glass, pane, pane of glass.  "
4464,presa,"noun: prey, dam, quarry.  "
4465,ocupados,"verb: occupy, fill, take.  "
4466,morfina,"noun: morphine, morphia.  "
4467,habrían,verb: have.  
4468,columna,"noun: column, pillar, col.  "
4469,sacaron,"verb: take, get, draw.  "
4470,patas,"noun: leg, paw, foot.  "
4471,oírme,hear me
4472,ocultar,"verb: hide, conceal, cover.  "
4473,objeción,"noun: objection, protest, demur.  "
4474,maneja,"verb: handle, manage, drive.  "
4475,largas,"adjective: long, lengthy, dilatory.  noun: length, largo.  "
4476,generalmente,"adverb: generally, popularly.  "
4477,fuentes,noun: sources.  
4478,cubrir,"verb: cover, coat, serve.  "
4479,ataca,"verb: attack, strike, tackle.  "
4480,tenis,"noun: tennis, sneakers, tennis shoes.  "
4481,santos,noun: sainthood.  
4482,potencial,adjective: potential.  noun: potential.  
4483,plano,"adjective: plane, flat, level.  noun: plane, flat, map.  "
4484,levante,noun: east.  
4485,escala,"noun: scale, ladder, stopover.  "
4486,enfrentar,deal
4487,cuánta,how much
4488,sobra,"noun: surplus, surplusage.  "
4489,rumor,"noun: rumor, whisper, scuttlebutt.  "
4490,páginas,abbreviation: p.p..  
4491,órganos,"noun: organ, pipe organ.  "
4492,león,"noun: lion, puma.  "
4493,entras,"verb: enter, get in, come in.  "
4494,decían,"verb: say, tell, speak.  "
4495,chinos,noun: curls.  
4496,brujas,"noun: witch, sorceress, hag.  "
4497,barbara,noun: Barbara.  
4498,admiro,"verb: admire, look up.  "
4499,voto,"noun: vote, vow, suffrage.  "
4500,volvieron,"verb: return, go back, come back.  "
4501,suelte,"verb: drop, release, loosen.  "
4502,reto,"noun: challenge, dare, daring.  "
4503,metes,"verb: put, insert, place.  "
4504,infarto,"noun: heart attack, infarct, coronary thrombosis.  "
4505,cuyo,"adjective: whose, which.  pronoun: whose.  conjunction: whereof.  "
4506,construyó,"verb: build, construct, erect.  "
4507,boleto,"noun: ticket, boletus, fare.  "
4508,besar,"verb: kiss, peck, osculate.  "
4509,portal,"noun: portal, gate, doorway.  "
4510,ponemos,"verb: put, add, place.  "
4511,monte,"noun: mountain, mount, bush.  abbreviation: Mt..  "
4512,discusión,"noun: discussion, argument, debate.  "
4513,digno,"adjective: worthy, dignified, deserving.  "
4514,desean,"verb: want, wish, desire.  "
4515,darse,"verb: assume, lend, dedicate.  "
4516,considerar,"verb: consider, regard, account.  "
4517,bancos,"noun: bank, bench, shoal.  "
4518,poción,"noun: potion, drench, philter.  "
4519,perdóneme,"interjection: Excuse me!, Pardon me!.  "
4520,pensabas,"verb: think, reflect, ponder.  "
4521,generoso,"adjective: generous, bountiful, rich.  "
4522,estatua,"noun: statue, figure.  "
4523,convencer,"verb: convince, persuade, satisfy.  "
4524,conocida,"verb: know, meet, learn.  "
4525,comenzamos,"verb: start, begin, commence.  "
4526,aceptado,"adjective: accepted, taken, admitted.  "
4527,rob,rob
4528,importar,"verb: import, matter, amount to.  "
4529,fracaso,"noun: failure, flop, breakdown.  "
4530,ciertos,adjective: some.  
4531,bomberos,"noun: firefighter, fireman, fireguard.  "
4532,sorprendido,"adjective: surprised, shocked, astonished.  "
4533,protegido,"adjective: protected, sheltered.  noun: protege.  "
4534,presenta,"verb: present, submit, introduce.  "
4535,metí,"verb: put, insert, place.  "
4536,entenderlo,understand it
4537,detengan,"verb: stop, halt, arrest.  "
4538,conflicto,"noun: conflict, dispute, clash.  "
4539,códigos,"noun: code, cipher, cypher.  "
4540,seco,"adjective: dried, dry, dead.  "
4541,sabiendo,"verb: know, realize, taste.  "
4542,hacerla,do it
4543,graves,"adjective: serious, severe, grave.  "
4544,dejarás,"verb: leave, let, stop.  "
4545,convencido,adjective: convinced.  
4546,comprende,"verb: understand, comprise, comprehend.  "
4547,bromas,"noun: joking, jesting.  "
4548,oyen,"verb: hear, listen, overhear.  "
4549,moleste,"verb: disturb, bother, annoy.  "
4550,mencionar,"verb: mention, name, refer to.  "
4551,gastos,"noun: expenses, expense, outlay.  "
4552,estaríamos,"verb: be, stay, stand.  "
4553,esperaremos,"verb: wait, expect, wait for.  "
4554,encontrarán,"verb: find, meet, encounter.  "
4555,billetes,"noun: ticket, bill, fare.  "
4556,arco,"noun: arc, bow, arch.  "
4557,altos,"adjective: high, tall, upper.  noun: stop, halt, standstill.  "
4558,actores,"noun: actor, player, performer.  "
4559,talvez,"adverb: perhaps, maybe, perchance.  "
4560,sitios,"noun: site, website, place.  "
4561,saluda,"verb: greet, salute, hail.  "
4562,quejas,"noun: nagging, wailing, niggling.  "
4563,planeando,"verb: plan, glide, design.  "
4564,moriremos,"verb: die, kill, die out.  "
4565,marica,"noun: sissy, pansy, queen.  "
4566,habrías,verb: have.  
4567,estarían,"verb: be, stay, stand.  "
4568,dejarán,"verb: leave, let, stop.  "
4569,amantes,"noun: lover, mistress, paramour.  adjective: affectionate.  "
4570,acostumbrado,"adjective: used, accustomed, usual.  "
4571,torneo,"noun: tournament, tourney, championship.  "
4572,planos,"adjective: plane, flat, level.  noun: plane, flat, map.  "
4573,ordeno,"verb: order, sort, arrange.  "
4574,miré,interjection: Look!.  
4575,maldicion,"noun: curse, malediction, damn.  "
4576,kg,kg
4577,dirías,"verb: say, tell, speak.  "
4578,confirmado,adjective: confirmed.  
4579,vacas,"noun: cattle, kine.  "
4580,quirófano,operating room
4581,ponerlo,put it
4582,origen,"noun: origin, source, birth.  "
4583,fusión,"noun: fusion, merger, melting.  "
4584,deberá,"verb: must, owe, job.  "
4585,verdaderos,"adjective: true, real, actual.  "
4586,serían,"verb: be, come, come of.  "
4587,seguía,"verb: follow, continue, keep.  "
4588,sabrán,"verb: know, realize, taste.  "
4589,pasaje,"noun: passage, ticket, passageway.  "
4590,necesidades,"noun: need, necessity, requirement.  "
4591,lavado,"noun: washing, wash, abstersion.  adjective: washed.  "
4592,galaxia,noun: galaxy.  
4593,fresca,"noun: fresh air, minx.  "
4594,doloroso,"adjective: painful, grievous, distressing.  "
4595,comenzado,"verb: start, begin, commence.  "
4596,uñas,adjective: some.  
4597,trajes,noun: wardrobe.  
4598,perfil,"noun: profile, outline, side face.  "
4599,necesitará,"verb: need, require, take.  "
4600,manejando,"verb: handle, manage, drive.  "
4601,lola,lola
4602,lentes,"noun: lenses, glasses, eyeglasses.  "
4603,engañar,"verb: deceive, fool, cheat.  "
4604,cállense,shut up
4605,bate,noun: bat.  
4606,automático,"adjective: automatic, automatical, self-acting.  noun: snap, snap fastener.  "
4607,tuyas,"pronoun: yours, thine.  "
4608,quedarás,"verb: stay, remain, keep.  "
4609,profunda,"adjective: deep, profound, intimate.  "
4610,piensen,"verb: think, reflect, ponder.  "
4611,permiten,"verb: allow, enable, permit.  "
4612,heredero,"adjective: heir.  noun: heir, inheritor, heritor.  "
4613,entraron,"verb: enter, get in, come in.  "
4614,canadá,noun: Canada.  
4615,caminos,"noun: way, road, path.  "
4616,sintió,"verb: feel, sense, regret.  "
4617,robé,"verb: steal, rob, draw.  "
4618,porno,for not
4619,lejano,"adjective: far, distant, remote.  "
4620,intercambio,"noun: exchange, interchange, swap.  "
4621,hojas,"noun: sheet, leaf, blade.  "
