,word,translation
72,era,"noun: era, age, eon.  "
73,eres,phrase: you are.  
74,vez,"noun: time, turn, occasion.  "
75,tienes,phrase: you have.  
76,creo,"verb: create, make, set up.  "
77,ella,"pronoun: she, her, it.  "
78,he,verb: have.  
79,ese,adjective: that.  
80,voy,"verb: go, be, head.  "
81,puede,"verb: be able to, can, may.  "
82,sabes,"verb: know, realize, taste.  "
83,hola,hello
84,sus,"pronoun: their, its, your.  adjective: his.  "
85,porque,conjunction: because.  
86,dios,"noun: god, deity.  "
87,quién,"pronoun: who, whom.  "
88,nunca,"adverb: never, ever, ne'er.  "
89,dónde,adverb: where.  
90,quieres,"verb: want, love, wish.  "
91,casa,"noun: house, home, household.  "
92,favor,"noun: favor, behalf, help.  "
93,esa,adjective: that.  
94,dos,"noun: two, couple, a couple of.  : two.  adjective: twain.  "
95,tan,"adverb: so, such, that.  adjective: very.  "
96,señor,"noun: sir, lord, master.  abbreviation: Mr..  "
97,tiempo,"noun: time, weather, period.  "
98,verdad,"noun: truth, verity, sooth.  "
99,estaba,"verb: be, stay, stand.  "
100,mejor,"adjective: best, better, lead.  adverb: best, better.  "
101,están,"verb: be, stay, stand.  "
102,va,"verb: go, be, head.  "
103,hombre,"noun: man, husband, love.  phrase: old bean.  "
104,usted,pronoun: you.  
105,mucho,"adverb: much, lot, a lot.  noun: much.  "
106,hace,adjective: ago.  adverb: ago.  
107,entonces,"adverb: then, now, at that time.  "
108,siento,"verb: feel, sense, regret.  "
109,tenemos,"verb: have, keep, own.  "
110,puedes,"verb: be able to, can, may.  "
111,ahí,adverb: there.  
112,ti,"pronoun: you, thee.  "
113,vida,"noun: life, living, lifetime.  "
114,ver,"verb: see, view, watch.  "
115,alguien,"pronoun: someone, anyone, somebody.  "
116,sr,abbreviation: Mr..  
117,hasta,"preposition: to, until, till.  adverb: up, even, through.  "
118,sin,"preposition: without, out of, minus.  suffix: less.  adverb: except.  "
119,mí,"pronoun: me, to me.  "
120,solo,"adjective: single, alone, one.  noun: solo.  "
121,años,pronoun: us.  
122,sobre,"preposition: on, about, upon.  noun: envelope, packet.  "
123,decir,"verb: say, tell, speak.  noun: saying.  "
124,uno,"adjective: one.  : one.  pronoun: one, you.  prefix: uni-.  "
125,siempre,"adverb: always, ever, forever.  "
126,oh,interjection: Ooh!.  
127,ir,"verb: go, be, head.  "
128,cosas,"noun: stuff, belongings.  "
129,también,"adverb: also, too, as well.  "
130,antes,"adverb: before, above, previously.  "
131,has,verb: have.  
132,ni,"conjunction: or, nor, neither.  adverb: neither.  "
133,mis,my
134,día,noun: day.  abbreviation: d..  
135,estar,"verb: be, stay, stand.  "
136,estamos,"verb: be, stay, stand.  "
137,noche,"noun: night, nighttime, love.  "
138,nadie,"pronoun: nobody, no one, anyone.  "
139,otra,interjection: Encore!.  
140,quiere,"verb: want, love, wish.  "
141,parece,"verb: seem, appear, look like.  "
142,nosotros,"pronoun: us, we.  "
143,poco,"adjective: little, short, shallow.  adverb: little, few, thin.  noun: little, bit.  "
144,padre,"noun: father, parent, sire.  abbreviation: f..  "
145,trabajo,"noun: work, job, labor.  "
146,gente,"noun: people, folk, town.  "
147,mira,"noun: sight, intention, watchtower.  "
148,vas,"verb: go, be, head.  "
149,sea,"verb: be, come, come of.  "
150,les,pronoun: them.  
151,donde,"adverb: where, wherein, as.  conjunction: where.  "
152,mismo,"adjective: same, very, one.  "
153,hecho,"noun: fact, deed, factor.  adjective: complete, taken, mature.  "
154,ellos,"pronoun: them, they.  "
155,dijo,"verb: say, tell, speak.  "
156,pasa,"noun: pass, raisin.  "
157,dinero,noun: money.  
158,hijo,"noun: son, child, sonny.  "
159,tal,"adjective: such, suchlike.  "
160,otro,"adjective: other, another, another one.  pronoun: other, another.  "
161,hablar,"verb: talk, speak, chat.  "
162,seguro,"adjective: sure, safe, secure.  noun: insurance, assurance, tumbler.  adverb: definitely, in the bag.  "
163,claro,"adjective: clear, light, plain.  noun: clearing, glade, gap.  "
164,estas,adjective: these.  pronoun: these.  
165,lugar,"noun: place, site, spot.  "
166,mundo,"noun: world, savoir faire.  "
167,amigo,"noun: friend, buddy, chum.  adjective: friendly.  "
168,espera,"noun: wait, waiting, delay.  "
169,mierda,"noun: shit, crap, bullshit.  "
170,han,verb: have.  
171,tus,"pronoun: your, thine.  "
172,sabe,"verb: know, realize, taste.  "
173,después,"adverb: after, then, later.  "
174,momento,"noun: time, moment, point.  abbreviation: MO.  "
175,desde,"preposition: from, since, from the.  "
176,fuera,"adverb: outside, out, away.  "
177,cosa,"noun: thing, matter, object.  "
178,tipo,"noun: type, kind, sort.  "
179,mañana,"adjective: morning.  noun: morning, tomorrow.  adverb: tomorrow.  "
180,podemos,"verb: be able to, can, may.  "
181,dije,"noun: pendant, trinket.  "
182,gran,"adjective: great, large, big.  "
183,necesito,needed
184,estado,"noun: state, status, condition.  "
185,podría,auxiliary verb: could.  
186,acuerdo,"noun: agreement, accordance, deal.  "
187,papá,"noun: dad, daddy, papa.  "
188,tener,"verb: have, keep, own.  "
189,dice,"verb: say, tell, speak.  "
190,mío,pronoun: mine.  
191,crees,"verb: create, make, set up.  "
192,buena,"adjective: good, nice, kind.  "
193,gusta,"verb: like, taste, love.  "
194,nuestro,pronoun: our.  
195,nuevo,"adjective: new, fresh, further.  "
196,será,will be
197,haciendo,"verb: do, make, ask.  "
198,días,noun: day.  
199,nombre,"noun: name, noun, forename.  "
200,buen,adjective: good.  
201,había,verb: have.  
202,ven,"verb: see, view, watch.  "
203,tres,noun: three.  : three.  
204,menos,"adjective: less, fewer, minus.  adverb: less, least, minus.  preposition: less, minus, but.  "
205,debe,noun: debit.  phrase: you may.  
206,tenía,noun: tapeworm.  
207,mal,"noun: evil, wrong, ill.  adverb: wrong, badly, poorly.  adjective: troubled.  "
208,conmigo,with me
209,madre,"noun: mother, parent.  "
210,hoy,adverb: today.  noun: today.  
211,quien,"pronoun: whoever, whosoever.  "
212,sido,"verb: be, come, come of.  "
213,mamá,"noun: mom, mum, mother.  "
214,tienen,"verb: have, keep, own.  "
215,luego,"adverb: then, later, next.  adjective: early.  "
216,todas,"adjective: all, whole, entire.  "
217,allí,"adverb: there, yonder.  "
218,toda,"adjective: all, whole, entire.  "
219,hora,"noun: hour, time, tour.  abbreviation: hr..  "
220,mujer,noun: woman.  
221,visto,adjective: viewed.  
222,haces,"verb: do, make, ask.  "
223,importa,"verb: import, matter, amount to.  "
224,contigo,pronoun: with you.  noun: love.  
225,ve,interjection: Cave!.  
226,tarde,"noun: afternoon, evening, eve.  adjective: late.  adverb: late.  "
227,oye,"interjection: Here!, Look here!, Hark!.  "
228,parte,"noun: part, party, portion.  pronoun: some.  "
229,haber,"verb: have.  noun: assets, havings.  "
230,hombres,"noun: men, menfolk.  "
231,problema,"noun: problem, issue, trouble.  "
232,mas,"adjective: more, most, plus.  adverb: more, most, other.  noun: more, plus.  suffix: most.  "
233,saber,"verb: know, realize, taste.  noun: knowledge, learning, wit.  "
234,quería,auxiliary verb: would.  
235,aún,"adverb: even, yet, still.  "
236,veces,noun: times.  
237,nuestra,our
238,hacerlo,do it
239,cada,"adjective: each, every.  pronoun: each, every.  "
240,hizo,"verb: do, make, ask.  "
241,veo,"verb: see, view, watch.  "
242,tanto,"adverb: so, how.  adjective: such.  noun: point, score, touchdown.  "
243,razón,"noun: reason, ratio, rate.  "
244,ustedes,pronoun: you.  
245,idea,"noun: idea, thought, concept.  "
246,esos,adjective: those.  
247,van,"verb: go, be, head.  "
248,quizá,interjection: Wonder!.  
249,debo,"verb: must, owe, job.  "
250,alguna,pronoun: any.  
251,cierto,"adjective: certain, sure, definite.  adverb: in the bag.  "
252,ud,pronoun: you.  
253,muerto,"adjective: dead, deceased, lifeless.  noun: dead, dead man, deceased.  "
254,unos,"adverb: about, some.  adjective: few, some.  pronoun: some.  "
255,estos,"adjective: these.  pronoun: these, these ones.  "
256,salir,"verb: leave, get out, go out.  "
257,policía,"noun: police, policeman, cop.  "
258,realmente,"adverb: really, actually, truly.  "
259,demasiado,"adverb: too, too much, overly.  "
260,familia,"noun: family, household, kin.  "
261,pueden,"verb: be able to, can, may.  "
262,cabeza,"noun: head, top, lead.  "
263,hemos,verb: have.  
264,amigos,"noun: friend, buddy, chum.  adjective: friendly.  "
265,chica,"noun: girl, gal, cutie.  "
266,cariño,"noun: honey, affection, love.  "
267,lado,"noun: side, end, part.  "
268,allá,"adverb: there, thither, yonder.  "
269,entre,"preposition: between, among, amongst.  adverb: in between.  "
270,minutos,noun: minute.  
271,digo,"verb: say, tell, speak.  "
272,algún,adjective: some.  pronoun: any.  
273,serio,"adjective: serious, earnest, severe.  "
274,cuidado,"noun: care, attention, nursing.  "
275,pasó,"noun: step, passage, pass.  "
276,buenas,good
277,somos,"verb: be, come, come of.  "
278,amor,"noun: love, passion.  "
279,puerta,"noun: door, gate, doorway.  "
280,ves,"verb: see, view, watch.  "
281,vaya,wow
282,ah,"interjection: Ha!, Ahoy!.  "
283,suerte,"noun: luck, fortune, chance.  "
284,eh,Hey
285,rápido,"adjective: fast, quick, rapid.  noun: rapid, rapids, riffle.  "
286,cuenta,"noun: account, count, bill.  "
287,quizás,"adverb: perhaps, maybe, possibly.  "
288,esas,adjective: those.  
289,pues,"conjunction: since, then.  adverb: then, well.  "
290,pasado,"adjective: past, last, preterit.  noun: past, foretime, background.  preposition: beyond.  "
291,pensé,"verb: think, reflect, ponder.  "
292,todavía,"adverb: still, yet, as yet.  "
293,hermano,"noun: brother, sibling, sib.  "
294,debes,phrase: you may.  
295,casi,"adverb: almost, nearly, about.  preposition: near, next.  "
296,forma,"noun: form, way, shape.  "
297,aqui,"adverb: here, hither.  "
298,chico,"noun: boy, kid, child.  adjective: small, little.  "
299,ok,okay
300,dicho,"noun: saying, word, adage.  "
301,nueva,"adjective: new, fresh, further.  "
302,sabía,"verb: know, realize, taste.  "
303,muchas,many
304,dentro,"adverb: within, inside, in.  preposition: within, via.  adjective: inside.  "
305,hice,"verb: do, make, ask.  "
306,contra,"preposition: against, to, opposite.  adverb: contra, agin.  noun: contra.  "
307,auto,"noun: car, auto.  "
308,camino,"noun: way, road, path.  "
309,ayuda,"noun: help, aid, assistance.  "
310,primera,noun: bottom gear.  
311,hacia,"preposition: towards, to, toward.  "
312,vi,"verb: see, view, watch.  "
313,miedo,"noun: fear, trepidation, apprehension.  "
314,adiós,noun: adieu.  
315,primero,"adjective: first, top, early.  adverb: first, firstly, first of all.  noun: first, leading, leader.  : first.  "
316,debería,"auxiliary verb: should, ought.  "
317,poder,"noun: power, authority, might.  verb: be able to, can, may.  auxiliary verb: might.  "
318,niños,"noun: child, kid, boy.  "
319,sería,would
320,historia,"noun: history, story, tale.  "
321,hey,hey
322,mientras,"conjunction: while, as, whereas.  adverb: as, meanwhile, meantime.  "
323,ciudad,"noun: city, town.  "
324,dijiste,"verb: say, tell, speak.  "
325,espero,phrase: Shall I wait?.  
326,cuánto,"phrase: How much?, How many?.  "
327,esposa,"noun: wife, helpmate.  "
328,pronto,"adverb: soon, early, pronto.  adjective: early, prompt, ready.  "
329,chicos,"noun: girl, gal, cutie.  "
330,cualquier,"adjective: any, whatever, whichever.  "
331,viejo,"adjective: old, aged, elder.  noun: old man, oldster, greybeard.  "
332,debemos,"verb: must, owe, job.  "
333,deja,"verb: leave, let, stop.  "
334,año,"noun: year, annum, grade.  "
335,muerte,"noun: death, murder, demise.  "
336,hablando,"verb: talk, speak, chat.  "
337,manos,"noun: hooks, dabs, ember.  "
338,da,"verb: give, yield, lend.  "
339,loco,"adjective: crazy, mad, out of one's mind.  noun: madman, zany, half-wit.  "
340,problemas,noun: crisis.  
341,mano,"noun: hand, handball, deal.  "
342,guerra,"noun: war, warfare.  "
343,semana,"noun: week, period.  "
344,pasar,"verb: pass, go, move.  "
345,vale,"noun: voucher, coupon, token.  "
346,cuál,"interjection: What?, Which?.  "
347,viene,"verb: come, come round, come through.  "
348,volver,"verb: return, go back, come back.  "
349,toma,"noun: take, taking, intake.  "
350,caso,"noun: case, instance, occurrence.  "
351,agua,"noun: water, aqua.  "
352,haré,"verb: do, make, ask.  "
353,vete,"interjection: Get out!, Talk away!.  "
354,entiendo,"verb: understand, grasp, realize.  "
355,horas,abbreviation: hrs..  
356,personas,noun: people.  
357,capitán,"noun: captain, skipper, commander.  "
358,adelante,"adverb: forward, ahead, onwards.  "
359,niño,"noun: child, kid, boy.  "
360,listo,"adjective: ready, clever, set.  adverb: all set.  noun: tap.  "
361,noches,"noun: night, nighttime, love.  "
362,buenos,"adjective: good, nice, kind.  "
363,iba,"verb: go, be, head.  "
364,juntos,"adverb: together, side by side, all together.  "
365,dame,give to me
366,único,"adjective: only, unique, single.  "
367,déjame,let me
368,cerca,"adverb: near, close, around.  noun: fence.  "
369,otros,pronoun: others.  
370,sigue,interjection: Go ahead!.  
371,grande,"adjective: large, big, great.  "
372,arriba,"adverb: up, above, upstairs.  adjective: aloft.  "
373,jefe,"noun: head, chief, boss.  abbreviation: OC.  "
374,habla,"noun: speech, language, parlance.  "
375,supongo,"verb: suppose, involve, guess.  "
376,manera,"noun: way, fashion, manner.  "
377,quieren,"verb: want, love, wish.  "
378,feliz,"adjective: happy, blissful, felicitous.  "
379,significa,"verb: mean, signify, spell.  "
380,sangre,"noun: blood, bloodstream, gore.  "
381,fin,"noun: end, last, aim.  "
382,bajo,"adjective: low, lower, bass.  adverb: low, down, lower.  preposition: under, beneath, underneath.  noun: bass, bottom, basso.  "
383,llama,"noun: flame, llama, firepan.  "
384,venir,"verb: come, come round, come through.  "
385,morir,"verb: die, kill, die out.  "
386,importante,"adjective: important, significant, large.  noun: deferent.  "
387,hiciste,"verb: do, make, ask.  "
388,ojos,noun: peepers.  
389,escucha,"noun: listening, monitoring, scout.  "
390,entrar,"verb: enter, get in, come in.  "
391,ningún,none
392,corazón,"noun: heart, center, core.  "
393,diablos,"noun: devil, the devil, evil.  "
394,necesitamos,"verb: need, require, take.  "
395,atrás,"adverb: back, behind, after.  "
396,durante,"preposition: during, pending.  "
397,dices,"verb: say, tell, speak.  "
398,nuestros,our
399,persona,"noun: person, persona.  "
400,abajo,"adverb: below, down, downstairs.  "
401,dr,doctor
402,hija,noun: daughter.  abbreviation: d..  
403,dejar,"verb: leave, let, stop.  "
404,necesita,"verb: need, require, take.  "
405,llegar,"verb: get, reach, arrive.  "
406,hago,"verb: do, make, ask.  "
407,señora,"noun: lady, madam, mistress.  abbreviation: Mrs., Ms..  "
408,haya,"noun: beech, beech tree.  "
409,suficiente,"adjective: enough, sufficient, adequate.  adverb: enough, sufficiently, plenty of.  noun: D.  "
410,doctor,"noun: doctor, doc.  "
411,gustaría,"verb: like, taste, love.  "
412,tierra,"noun: land, earth, ground.  "
413,cara,"noun: face, side, look.  "
414,siquiera,adverb: at least.  conjunction: though.  
415,genial,"adjective: brilliant, genial, masterly.  "
416,cree,"verb: create, make, set up.  "
417,supuesto,"adjective: supposed, pretended, so-called.  noun: think, postulation.  "
418,tomar,"verb: take, have, drink.  "
419,equipo,"noun: team, equipment, crew.  "
420,justo,"adjective: just, right, righteous.  adverb: just, bang.  "
421,juego,"noun: game, play, set.  "
422,ninguna,"adjective: no, neither, whatever.  "
423,matar,"verb: kill, slay, murder.  "
424,cinco,noun: five.  : five.  
425,dicen,"verb: say, tell, speak.  "
426,amo,"noun: owner, householder.  "
427,cuándo,interjection: When?.  
428,pequeño,"adjective: small, little, short.  noun: child, dwarf, juniper.  "
429,algunos,"adjective: some, few.  pronoun: some.  adverb: a few.  "
430,conozco,"verb: know, meet, learn.  "
431,clase,"noun: class, kind, sort.  "
432,maldito,"adjective: damn, fucking, cursed.  noun: darn.  "
433,unas,adjective: some.  
434,muchos,"adjective: many, numerous.  noun: many.  pronoun: many.  adverb: much.  "
435,hubiera,verb: have.  
436,segundo,"adjective: second, second-best.  noun: second, second best.  : second.  abbreviation: sec.  prefix: under-.  "
437,aunque,"conjunction: although, though, even though.  "
438,pueda,"verb: be able to, can, may.  "
439,dime,tell me
440,igual,"adjective: equal, same, like.  noun: equal, peer, match.  "
441,comida,"noun: food, meal, lunch.  "
442,ay,Oh
443,cuerpo,"noun: body, corps, length.  "
444,encontrar,"verb: find, meet, encounter.  "
445,fuerte,"adjective: strong, sharp, hard.  noun: fort, forte, metier.  adverb: sharply, stoutly.  "
446,vuelta,"noun: turn, return, round.  "
447,venga,"verb: come, come round, come through.  "
448,creer,"verb: believe, think, trust.  "
449,realidad,"noun: reality, fact, actuality.  "
450,saben,"verb: know, realize, taste.  "
451,puta,"noun: bitch, whore, slut.  "
452,deberías,"verb: must, owe, job.  "
453,pregunta,"noun: question, inquiry, query.  "
454,fui,"verb: be, come, come of.  "
455,cuatro,noun: four.  : four.  
456,sra,"abbreviation: Mrs., Ms..  "
457,primer,"adjective: first, former.  "
458,trabajar,"verb: work, job, labor.  "
459,e,conjunction: and.  
460,hagas,"verb: do, make, ask.  "
461,alto,"adjective: high, tall, upper.  adverb: loud, aloud.  noun: stop, halt, standstill.  "
462,maldita,"adjective: damn, fucking, cursed.  "
463,comer,"verb: eat, lunch, meal.  "
464,número,"noun: number, issue, numeral.  "
465,dar,"verb: give, yield, lend.  "
466,necesitas,"verb: need, require, take.  "
467,oportunidad,"noun: opportunity, chance, occasion.  "
468,punto,"noun: point, spot, dot.  "
469,misma,"adjective: same, very, one.  "
470,última,noun: ultima.  
471,afuera,"adverb: outside, out, on the outside.  adjective: out-of-doors.  "
472,mujeres,"noun: women, ladies.  "
473,pensar,"verb: think, reflect, ponder.  "
474,fueron,"verb: be, come, come of.  "
475,difícil,"adjective: difficult, hard, tough.  "
476,vivir,"verb: live, live on, reside.  "
477,paso,"noun: step, passage, pass.  "
478,malo,"adjective: bad, wrong, evil.  noun: villain.  "
479,estabas,"verb: be, stay, stand.  "
480,vivo,"adjective: live, alive, living.  "
481,haga,"verb: do, make, ask.  "
482,queda,"verb: stay, remain, keep.  "
483,hijos,noun: offspring.  
484,mayor,"adjective: higher, major, bigger.  noun: senior, elderly, elder.  abbreviation: Maj..  "
485,fiesta,"noun: party, holiday, feast.  "
486,hacen,"verb: do, make, ask.  "
487,medio,"noun: means, medium, half.  adjective: half, average, middle.  adverb: half.  "
488,algunas,adjective: some.  adverb: a few.  
489,basta,"interjection: Enough!, Stop it!, Enough said!.  "
490,arma,"noun: weapon, arm.  "
491,vino,"noun: wine, vino.  "
492,meses,noun: monthes.  
493,cuarto,"adjective: fourth.  noun: fourth, room, quarter.  : fourth.  "
494,éste,pronoun: this.  
495,escuela,"noun: school, college, schoolhouse.  "
496,esté,adjective: this.  pronoun: this one.  noun: east.  
497,dólares,Dollars
498,tío,"noun: uncle, guy, chap.  adjective: chappy.  "
499,posible,"adjective: possible, potential, likely.  "
500,tuve,"verb: have, keep, own.  "
501,fácil,"adjective: easy, simple, ready.  "
502,preocupes,"verb: worry, concern, trouble.  "
503,luz,"noun: light, daylight, glow.  "
504,eran,"verb: be, come, come of.  "
505,carajo,"noun: dick, prick, cock.  "
506,final,"adjective: end, final, ultimate.  noun: end, final, finish.  "
507,lista,"noun: list, table, roster.  "
508,trata,noun: traffic.  
509,armas,"noun: arms, weaponry, armaments.  "
510,hermana,noun: sister.  
511,exactamente,"adverb: exactly, just, precisely.  "
512,chicas,"noun: girl, gal, cutie.  "
513,podía,"verb: be able to, can, may.  "
514,bastante,"adverb: quite, pretty, enough.  adjective: enough, sufficient, nice.  "
515,seguridad,"noun: security, safety, certainty.  "
516,pasando,"verb: pass, go, move.  "
517,esperando,conjunction: hoping for.  
518,acá,"adverb: here, hither.  "
519,teléfono,"noun: phone, telephone, blower.  "
520,perro,"noun: dog, pooch.  "
521,fuego,"noun: fire, blaze, light.  "
522,murió,"verb: die, kill, die out.  "
523,tampoco,conjunction: neither.  
524,sola,adjective: unique.  
525,estuvo,"verb: be, stay, stand.  "
526,verte,"verb: empty, tip, slop.  "
527,iré,"verb: go, be, head.  "
528,tenido,"adjective: kept, held.  "
529,culpa,"noun: fault, guilt, blame.  "
530,veras,noun: truth.  
531,adónde,"interjection: Where?, Whither?.  "
532,buscando,"verb: search, search for, look.  "
533,cuanto,"conjunction: that, as much as.  adverb: when.  pronoun: as much as.  "
534,padres,"noun: father, parent, sire.  "
535,paz,"noun: peace, rest, tranquility.  "
536,demonios,"noun: demon, devil, daemon.  "
537,estará,"verb: be, stay, stand.  "
538,cual,"pronoun: which, that.  adjective: such as, aforementioned.  "
539,perdón,"noun: forgiveness, pardon, absolution.  "
540,asi,"adverb: so, thus, thereby.  "
541,jugar,"verb: play, gamble, play around.  "
542,pensando,"verb: think, reflect, ponder.  "
543,esperar,"verb: wait, expect, wait for.  "
544,sabemos,"verb: know, realize, taste.  "
545,recuerdo,"noun: memory, souvenir, remembrance.  "
546,par,"noun: pair, couple, par.  adjective: even, equal, like.  "
547,joven,"adjective: young, youth, youthful.  noun: young, young man, young woman.  "
548,seguir,"verb: follow, continue, keep.  "
549,pueblo,"noun: people, village, town.  "
550,tenga,"verb: have, keep, own.  "
551,caballeros,noun: gentlemen.  
552,idiota,"noun: idiot, fool, moron.  adjective: idiotic, mutton-headed, half-witted.  "
553,dio,"verb: give, yield, lend.  "
554,minuto,noun: minute.  
555,bebé,"noun: baby, babe, nurseling.  "
556,única,"adjective: only, unique, single.  "
557,lejos,"adverb: away, far, far away.  "
558,nuestras,our
559,plan,"noun: plan, design, arrangement.  "
560,pienso,"noun: feed, fodder.  "
561,sentido,"noun: sense, meaning, senses.  adjective: felt, heartfelt.  "
562,dormir,"verb: sleep, slumber, doze.  "
563,digas,"verb: say, tell, speak.  "
564,palabra,"noun: word, term, speech.  "
565,correcto,"adjective: correct, right, proper.  "
566,control,"noun: control, check, grip.  "
567,vemos,"verb: see, view, watch.  "
568,entiendes,"verb: understand, grasp, realize.  "
569,país,"noun: country, land.  "
570,seis,"adjective: six.  noun: six, sixth.  : six.  "
571,último,"adjective: last, latest, latter.  noun: last.  adverb: latest.  "
572,ésta,pronoun: this.  
573,diga,"interjection: Hello!, Hullo!, Talk away!.  "
574,podrías,"verb: be able to, can, may.  "
575,pequeña,"adjective: small, little, short.  "
576,cállate,"interjection: Shut up!, Be quiet!, Keep quiet!.  "
577,trato,"noun: treatment, deal, bargain.  "
578,rey,noun: king.  
579,sucede,"verb: happen, occur, come about.  "
580,muchachos,"noun: boy, lad, youngster.  "
581,jamás,"adverb: never, at no time.  "
582,cama,"noun: bed, couch, sack.  "
583,srta,abbreviation: Ms..  
584,ayudar,"verb: help, assist, aid.  "
585,acerca,"verb: bring closer, bring near, draw near.  "
586,di,interjection: Talk away!.  
587,cambio,"noun: change, exchange, shift.  "
588,falta,"noun: lack, foul, absence.  preposition: out of.  "
589,hospital,"noun: hospital, infirmary, health clinic.  "
590,lleva,"verb: carry, take, bring.  "
591,presidente,"noun: president, chairman, speaker.  "
592,mil,"adjective: thousand.  noun: thousand, mil.  : thousand, one thousand.  "
593,gusto,"noun: taste, liking, pleasure.  "
594,conoces,"verb: know, meet, learn.  "
595,diciendo,"verb: say, tell, speak.  "
596,os,"pronoun: you, yourselves.  "
597,ido,"adjective: gone, left, looped.  "
598,general,"adjective: general, broad, blanket.  noun: general.  "
599,extraño,"adjective: strange, weird, odd.  noun: alien.  "
600,semanas,"noun: week, period.  "
601,coche,"noun: car, coach, carriage.  "
602,peor,"adjective: worst, worse, worse off.  adverb: worst, worse.  "
603,mucha,a lot
604,disculpe,excuse me
605,diré,"verb: say, tell, speak.  "
606,anoche,adverb: last night.  
607,perder,"verb: lose, miss, waste.  "
608,vámonos,Let's go
609,nave,"noun: nave, shed, auditorium.  "
610,cielo,"noun: sky, heaven, skies.  "
611,habrá,verb: have.  
612,orden,"noun: order, command, warrant.  "
613,segura,"adjective: sure, safe, secure.  "
614,querida,"noun: mistress, inamorata.  adjective: kept.  "
615,niña,"noun: girl, wench, gal.  "
616,increíble,"adjective: incredible, unbelievable, extraordinary.  "
617,además,"adverb: also, besides, further.  "
618,deben,"verb: must, owe, job.  "
619,libro,noun: book.  
620,calle,"noun: street, road, lane.  abbreviation: St..  "
621,café,"noun: coffee, cafe, coffee house.  "
