,Spanish,Quizlet
48,*asesinados* (asesinado asesinar),"*murdered*
adjective: murdered"


49,*afueras*,"*outskirts*
noun: outskirts, suburbs, edge"


50,*tribu*,"*tribe*
noun: tribe, clan"


51,*testamento*,"*will*
noun: will, testament"


52,*postre*,"*dessert*
noun: dessert, sweet, afters"


53,*paró* (parar),"*unemployment*
noun: arrest, strike, stoppage"


54,*ópera*,"*Opera*
noun: opera, opera house"


55,*falló* (fallar),"*failed*
noun: failure, ruling, judgment"


56,*estatal*,"*state*
adjective: state, governmental, state-owned"


57,*esclavo*,"*slave*
noun: slave, thrall, bondman
adjective: bond"


58,*déjate* (dejar),"*let yourself*
"


59,*costillas* (costilla),"*ribs*
noun: rib"


60,*costará* (costar),"*it will cost*
verb: cost, charge, set back"


61,*chistes* (chiste),"*jokes*
noun: jesting"


62,*arreglaré* (arreglar),"*i will fix*
verb: fix, arrange, settle"


63,*alcanza* (alcanzar),"*achieves*
verb: reach, achieve, attain"


64,*valientes* (valiente),"*brave*
adjective: brave, courageous, valiant
noun: brave, valiant, a devil of a fellow"


65,*privilegio*,"*privilege*
noun: privilege, right, charter"


66,*orina*,"*urine*
noun: urine"


67,*jovencito* (jovencito joven),"*youngster*
noun: youngster, youngling"


68,*invasión*,"*invasion*
noun: invasion, encroachment, infringement"


69,*estuvieran* (estar),"*were*
verb: be, stay, stand"


70,*estupideces* (estupidez),"*crap*
noun: crap"


71,*encaja* (encajar),"*fits*
adverb: in cash"


72,*durará* (durar),"*it will last*
verb: last, endure, continue"


73,*descanse* (descansar),"*rest*
verb: rest, lie, repose"


74,*déjanos* (dejar),"*leave us*
"


75,*camas* (cama),"*Beds*
noun: bed, couch, sack"


76,*cables* (cable),"*cables*
noun: cable, cord, wire"


77,*bárbara* (bárbaro),"*Barbara*
noun: Barbara"


78,*avanzando* (avanzar),"*going forward*
verb: advance, move, proceed"


79,*usualmente*,"*usually*
"


80,*sagrada* (sagrado),"*sacred*
adjective: sacred, holy, sacral"


81,*sable*,"*saber*
noun: saber, sable, broadsword"


82,*retírense* (retirar),"*stand down*
"


83,*retirada* (retirado retirar),"*withdrawal*
noun: withdrawal, retreat, retirement"


84,*psicópata*,"*psychopath*
noun: psychopath, psycho, psychotic"


85,*preocupo* (preocupar),"*I worry*
verb: worry, concern, trouble"


86,*plaga* (plaga plagar),"*plague*
noun: plague, blight, bane"


87,*ohh*,"*ooh*
"


88,*malvada* (malvado),"*evil*
adjective: evil, wicked, tough
noun: villain"


89,*existir*,"*exist*
verb: exist, be, occur"


90,*entendemos* (entender),"*we understand*
verb: understand, grasp, realize"


91,*bendito* (bendito bendecir),"*blessed*
adjective: blessed, blest"


92,*arregla* (arreglar),"*fix*
verb: fix, arrange, settle"


93,*supuestamente*,"*supposedly*
adverb: professedly"


94,*residente*,"*resident*
adjective: resident
noun: resident, inmate, dweller"


95,*rescatar*,"*rescue*
verb: rescue, redeem, recover"


96,*pesada* (pesado pesar),"*heavy*
verb: weigh, weigh out, weigh up"


97,*oímos* (oír),"*we heard*
verb: hear, listen, overhear"


98,*locas* (loco),"*crazy*
adjective: crazy, mad, out of one's mind
noun: madman, zany, half-wit"


99,*llegarán* (llegar),"*they will arrive*
verb: get, reach, arrive"


