,Spanish,Quizlet
50,*intentó* (intentar),"*tried*
noun: attempt, try, intent"


51,*harto* (harto hartar),"*fed up*
adjective: jaded, sated, satiated"


52,*decidir*,"*decide*
verb: decide, determine, rule"


53,*periódicos* (periódico),"*newspapers*
noun: newspaper, paper, periodical
adjective: periodic, periodical, recurring"


54,*casarse* (casar),"*get marry*
verb: marry, get married, wed"


55,*lento*,"*slow*
adjective: slow, sluggish, gentle"


56,*hecha* (hecho hacer),"*done*
verb: do, make, ask"


57,*daba* (dar),"*gave*
verb: give, yield, lend"


58,*ponerte* (poner),"*wear*
"


59,*pelotas* (pelota),"*balls*
noun: balls"


60,*monstruos* (monstruo),"*monsters*
noun: monster, freak, giant"


61,*cruel*,"*cruel*
adjective: cruel, vicious, harsh"


62,*señoritas* (señorita),"*ladies*
noun: miss, mademoiselle, missy"


63,*gigante*,"*giant*
adjective: giant
noun: giant, gargantuan"


64,*siglos* (siglo),"*centuries*
noun: ages"


65,*escalera*,"*ladder*
noun: staircase, ladder, stairs"


66,*incidente*,"*incident*
adjective: incident, incidental
noun: incident, occurrence, affair"


67,*escenario*,"*scenery*
noun: stage, scene, setting"


68,*dirás* (decir),"*will you say*
verb: say, tell, speak"


69,*ciertas* (cierto),"*certain*
adjective: certain, sure, definite"


70,*casar*,"*marry*
verb: marry, wed, marry off"


71,*llamen* (llamar),"*call*
verb: call, get, knock"


72,*biblia*,"*Bible*
noun: Bible, the Book, the God Book"


73,*reporte*,"*report*
noun: account"


74,*moda*,"*fashion*
noun: fashion, fad, style"


75,*casada* (casado casar),"*married*
adjective: married, wedded"


76,*reacción*,"*reaction*
noun: reaction, response, feedback"


77,*falla* (falla fallar),"*failure*
noun: failure, fault, flaw"


78,*castigo* (castigo castigar),"*punishment*
noun: punishment, penalty, chastisement"


79,*fácilmente*,"*easily*
adverb: easily, readily, easy"


80,*caza* (caza cazar),"*hunt*
noun: hunting, hunt, game"


81,*magnífico*,"*magnificent*
adjective: magnificent, marvelous, grand"


82,*decidí* (decidir),"*I decided*
verb: decide, determine, rule"


83,*camina* (caminar),"*walk*
verb: walk, go, trot"


84,*superficie*,"*surface*
noun: surface, area, face"


85,*procedimiento*,"*procedure*
noun: procedure, process, method"


86,*condición*,"*condition*
noun: condition, proviso, state"


87,*asalto* (asalto asaltar),"*assault*
noun: assault, round, attack"


88,*virgen*,"*virgin*
adjective: virgin
noun: virgin"


89,*verle* (ver),"*see him*
"


90,*conocimos* (conocer),"*we met*
verb: know, meet, learn"


91,*quitar*,"*remove*
verb: remove, take away, take off"


92,*tratas* (tratar),"*you treat*
noun: traffic"


93,*noble*,"*noble*
adjective: noble, lofty, dignified
noun: noble, nobleman
adverb: nobly"


94,*hierba*,"*grass*
noun: grass, herb"


95,*excelencia*,"*excellence*
noun: excellence, excellency"


96,*asco*,"*disgust*
noun: disgust, revulsion, nausea"


97,*título*,"*qualification*
noun: title, degree, heading"


98,*regresaré* (regresar),"*I'll be back*
verb: return, go back, come back"


99,*ejercicio*,"*exercise*
noun: exercise, practice, drill"


