,Spanish,Quizlet
48,*oyen* (oír),"*hear*
verb: hear, listen, overhear"


49,*moleste* (molestar),"*bother*
verb: disturb, bother, annoy"


50,*mencionar*,"*mention*
verb: mention, name, refer to"


51,*gastos* (gasto),"*bills*
noun: expenses, expense, outlay"


52,*estaríamos* (estar),"*we would be*
verb: be, stay, stand"


53,*esperaremos* (esperar),"*we will wait*
verb: wait, expect, wait for"


54,*encontrarán* (encontrar),"*they will find*
verb: find, meet, encounter"


55,*billetes* (billete),"*tickets*
noun: ticket, bill, fare"


56,*arco*,"*bow*
noun: arc, bow, arch"


57,*altos* (alto),"*tall*
adjective: high, tall, upper
noun: stop, halt, standstill"


58,*actores* (actor),"*actors*
noun: actor, player, performer"


59,*talvez*,"*maybe*
adverb: perhaps, maybe, perchance"


60,*sitios* (sitio),"*sites*
noun: site, website, place"


61,*saluda* (saludar),"*greets*
verb: greet, salute, hail"


62,*quejas* (queja quejar),"*complaints*
noun: nagging, wailing, niggling"


63,*planeando* (planear),"*planning*
verb: plan, glide, design"


64,*moriremos* (morir),"*we will die*
verb: die, kill, die out"


65,*marica*,"*sissy*
noun: sissy, pansy, queen"


66,*habrías* (haber),"*you would have*
verb: have"


67,*estarían* (estar),"*they would be*
verb: be, stay, stand"


68,*dejarán* (dejar),"*they will leave*
verb: leave, let, stop"


69,*amantes* (amante),"*lovers*
noun: lover, mistress, paramour
adjective: affectionate"


70,*acostumbrado* (acostumbrado acostumbrar),"*used to*
adjective: used, accustomed, usual"


71,*torneo* (torneo tornear),"*tournament*
noun: tournament, tourney, championship"


72,*planos* (plano),"*blueprints*
adjective: plane, flat, level
noun: plane, flat, map"


73,*ordeno* (ordenar),"*I order*
verb: order, sort, arrange"


74,*miré* (mirar),"*Look*
interjection: Look!"


75,*maldicion* (maldición),"*curse*
noun: curse, malediction, damn"


76,*kg* (kg kilogramo),"*kg*
"


77,*dirías* (decir),"*would you say*
verb: say, tell, speak"


78,*confirmado* (confirmado confirmar),"*confirmed*
adjective: confirmed"


79,*vacas* (vaca),"*cows*
noun: cattle, kine"


80,*quirófano*,"*operating room*
"


81,*ponerlo* (poner),"*put it*
"


82,*origen*,"*origin*
noun: origin, source, birth"


83,*fusión*,"*fusion*
noun: fusion, merger, melting"


84,*deberá* (deber),"*shall*
verb: must, owe, job"


85,*verdaderos* (verdadero),"*true*
adjective: true, real, actual"


86,*serían* (ser),"*would*
verb: be, come, come of"


87,*seguía* (seguir),"*followed*
verb: follow, continue, keep"


88,*sabrán* (saber),"*will know*
verb: know, realize, taste"


89,*pasaje*,"*passage*
noun: passage, ticket, passageway"


90,*necesidades* (necesidad),"*needs*
noun: need, necessity, requirement"


91,*lavado* (lavado lavar),"*washed*
noun: washing, wash, abstersion
adjective: washed"


92,*galaxia*,"*galaxy*
noun: galaxy"


93,*fresca* (fresco),"*fresh*
noun: fresh air, minx"


94,*doloroso*,"*painful*
adjective: painful, grievous, distressing"


95,*comenzado* (comenzar),"*started*
verb: start, begin, commence"


96,*uñas* (uña),"*nails*
adjective: some"


97,*trajes* (traje),"*suits*
noun: wardrobe"


98,*perfil*,"*profile*
noun: profile, outline, side face"


99,*necesitará* (necesitar),"*will need*
verb: need, require, take"


