,Spanish,Quizlet
48,*roba* (robar),"*steals*
verb: steal, rob, draw"


49,*moderno*,"*modern*
adjective: modern, hip, up-to-date
noun: modern, trendy"


50,*manta*,"*blanket*
noun: blanket, rug, shawl"


51,*lidiar*,"*cope*
verb: fight, fight bulls"


52,*joda* (joder),"*fuck*
noun: pain in the ass"


53,*despejen* (despejar),"*clear*
verb: clear, free"


54,*comunista*,"*communist*
adjective: communist
noun: communist"


55,*aprendiendo* (aprender),"*learning*
verb: learn, pick up, acquire"


56,*tirando* (tirar),"*pulling*
verb: pull, throw, shoot"


57,*suiza* (Suiza suizo),"*Swiss*
noun: Switzerland"


58,*pita*,"*whistle*
noun: pitta, agave"


59,*pensaron* (pensar),"*they thought*
verb: think, reflect, ponder"


60,*nudos* (nudo),"*knots*
noun: knot, joint, bend"


61,*muestre* (mostrar),"*show*
verb: show, display, exhibit"


62,*molestado* (molestado molestar),"*troubled*
adjective: troubled"


63,*llora* (llorar),"*cries*
verb: mourn, cry, weep"


64,*hembra*,"*female*
adjective: female
noun: female, hen, doe"


65,*eternamente*,"*eternally*
adverb: eternally, evermore"


66,*duermas* (dormir),"*sleep*
verb: sleep, slumber, doze"


67,*disparan* (disparar),"*shoot*
verb: shoot, fire, discharge"


68,*creerá* (creer),"*will believe*
verb: believe, think, trust"


69,*colgado* (colgado colgar),"*strung up*
adjective: hanging, dangling"


70,*arrestaron* (arrestar),"*they arrested*
verb: arrest"


71,*acusación*,"*accusation*
noun: accusation, charge, indictment"


72,*viajando* (viajar),"*traveling*
verb: travel, go, ride"


73,*tremenda* (tremendo),"*tremendous*
adjective: tremendous, awful, terrific"


74,*simples* (simple),"*simple*
adjective: simple, single, mere
noun: simple"


75,*servirle* (servir),"*serve you*
"


76,*planea* (planear),"*plan*
verb: plan, glide, design"


77,*negar*,"*deny*
verb: deny, refuse, negate"


78,*necesitabas* (necesitar),"*you needed*
verb: need, require, take"


79,*mordido* (mordido morder),"*bitten*
adjective: bitten"


80,*lecciones* (lección),"*lessons*
noun: lesson, class, lection"


81,*insectos* (insecto),"*insects*
noun: insect"


82,*imaginado* (imaginado imaginar),"*imagined*
adjective: digested, fancied"


83,*habríamos* (haber),"*we would have*
verb: have"


84,*fallar*,"*fail*
verb: fail, miss, misfire"


85,*escudos* (escudo),"*shields*
noun: shield, escutcheon, buckler"


86,*diviértete* (divertir),"*have fun*
"


87,*crece* (crecer),"*it grows*
verb: grow, grow up, increase"


88,*combatir*,"*fight*
verb: combat, fight, battle"


89,*canto* (canto cantar),"*singing*
noun: singing, song, edge"


90,*bichos* (bicho),"*bugs*
noun: vermin"


91,*atacando* (atacar),"*attacking*
verb: attack, strike, tackle"


92,*apestoso*,"*stinky*
"


93,*visa*,"*visa*
noun: visa"


94,*times* (timar),"*times*
verb: cheat, swindle, trick"


95,*retirar*,"*withdraw*
verb: remove, withdraw, retire"


96,*persigue* (perseguir),"*pursues*
verb: pursue, chase, persecute"


97,*ooh*,"*ooh*
"


98,*leerlo* (leer),"*reading it*
"


