,Spanish,Quizlet
49,*bolsillo*,"*pocket*
noun: pocket"


50,*heridas* (herida herir),"*wounds*
adjective: wounded, injured, lacerated"


51,*saco* (saco sacar),"*coat*
noun: sack, bag, sac"


52,*gasolina*,"*gasoline*
noun: gasoline, petrol, gas"


53,*conexión*,"*Connection*
noun: connection, link, connexion"


54,*correcta* (correcto),"*correct*
adjective: correct, right, proper"


55,*pedazos* (pedazo),"*pieces*
noun: piece, chunk, hunk"


56,*líneas* (línea),"*lines*
noun: design, shell"


57,*estarías* (estar),"*would you be*
verb: be, stay, stand"


58,*convierte* (convertir),"*converts*
verb: convert, turn, transform"


59,*ayudará* (ayudar),"*help to*
verb: serve"


60,*rumbo*,"*course*
noun: course, direction, route"


61,*rompió* (romper),"*broke*
verb: break, break down, smash"


62,*muera* (morir),"*die*
verb: die, kill, die out"


63,*mia* (mío Mia),"*mine*
pronoun: mine"


64,*material*,"*material*
adjective: material, physical, objective
noun: material, equipment"


65,*diamantes* (diamante),"*diamonds*
noun: diamond, adamant, rock"


66,*rápidamente*,"*quickly*
adverb: quickly, rapidly, fast"


67,*mírate* (mirar),"*look to you*
"


68,*fecha*,"*date*
noun: date, day
abbreviation: d."


69,*escritorio*,"*desk*
noun: desk, writing desk, bureau"


70,*digan* (decir),"*say*
verb: say, tell, speak"


71,*registro* (registro registrar),"*record*
noun: registration, record, register"


72,*maten* (matar),"*kill*
verb: kill, slay, murder"


73,*incendio*,"*fire*
noun: fire, burning, conflagration"


74,*deme* (dar),"*give me*
"


75,*sois* (ser),"*you are*
phrase: you are"


76,*pensamientos* (pensamiento),"*thoughts*
noun: thinking"


77,*dímelo* (decir),"*tell me*
"


78,*comiendo* (comer),"*eating*
verb: eat, lunch, meal"


79,*aparte*,"*apart*
adjective: apart
adverb: apart, aside, apart from
noun: aside"


80,*asesinatos* (asesinato),"*murders*
noun: murder, assassination, killing"


81,*lección*,"*lesson*
noun: lesson, class, lection"


82,*algun* (algún),"*some*
adjective: some
pronoun: any"


83,*abrigo*,"*coat*
noun: coat, shelter, overcoat"


84,*tratamiento*,"*treatment*
noun: treatment, processing, medication"


85,*julio*,"*July*
noun: July, joule
abbreviation: Jul."


86,*pene*,"*penis*
noun: penis"


87,*conejo*,"*rabbit*
noun: rabbit, coney, cottontail"


88,*suceder*,"*happen*
verb: happen, occur, come about"


89,*ruta*,"*route*
noun: route, road, way"


90,*ciego*,"*blind*
adjective: blind, sightless, unseeing
noun: blind man"


91,*asqueroso*,"*disgusting*
adjective: disgusting, gross, foul"


92,*súper*,"*super*
adjective: super, radical
adverb: super
noun: high-grade petrol"


93,*prisionero*,"*prisoner*
noun: prisoner, captive, gaoler"


94,*odie* (odiar),"*hate*
verb: hate, loathe, detest"


95,*ocupada* (ocupado ocupar),"*busy*
verb: occupy, fill, take"


96,*llevarlo* (llevar),"*carry it*
"


97,*empezamos* (empezar),"*we started*
verb: start, begin, get"


98,*estuvimos* (estar),"*we were*
verb: be, stay, stand"


99,*decírselo* (decir),"*tell him*
"


