,Spanish,Quizlet
52,*isla*,"*island*
noun: island, isle"


53,*salida* (salida salir),"*exit*
noun: output, departure, exit"


54,*llamó* (llamar),"*called*
verb: call, get, knock"


55,*volveré* (volver),"*I will be back*
verb: return, go back, come back"


56,*usa* (usar),"*uses*
verb: use, wear, utilize"


57,*gato*,"*cat*
noun: cat, jack, tomcat"


58,*hagan* (hacer),"*do*
verb: do, make, ask"


59,*dejes* (dejar),"*let*
verb: leave, let, stop"


60,*duele* (doler),"*hurts*
verb: hurt, ache, pain"


61,*vengan* (venir),"*come*
verb: come, come round, come through"


62,*crimen*,"*crime*
noun: crime, felony, offense"


63,*esperaba* (esperar),"*I expected*
verb: wait, expect, wait for"


64,*causa* (causa causar),"*cause*
noun: cause, reason, case"


65,*bar*,"*bar*
noun: bar, snack bar, cocktail bar"


66,*seré* (ser),"*I will be*
verb: be, come, come of"


67,*ocho*,"*eight*
noun: eight
: eight"


68,*temprano*,"*early*
adjective: early, matutinal, rathe
adverb: early, soon, ere"


69,*río* (río reír),"*river*
noun: river, stream"


70,*relación*,"*relationship*
noun: relationship, relation, connection"


71,*drogas* (droga),"*drugs*
noun: drug, dope, cocaine"


72,*luces* (luz),"*lights*
noun: lights, highlights, illuminations"


73,*bromeando* (bromear),"*joking*
verb: joke, banter, jest"


74,*ojalá*,"*I wish*
"


75,*hablamos* (hablar),"*talk later*
verb: talk, speak, chat"


76,*trabaja* (trabajar),"*works*
verb: work, job, labor"


77,*irse* (ir),"*leave*
verb: go, leave, depart"


78,*libros* (libro),"*books*
noun: books"


79,*radio*,"*radio*
noun: radio, radius, wireless"


80,*vienes* (venir),"*you come*
adjective: Viennese
noun: Viennese"


81,*quedan* (quedar),"*remain*
verb: stay, remain, keep"


82,*excepto*,"*except*
preposition: except, but, save
conjunction: except for"


83,*brazo*,"*arm*
noun: arm, armrest, sail-arm"


84,*tome* (tomar),"*take*
verb: take, have, drink"


85,*rojo*,"*red*
adjective: red, ruddy, ginger
noun: red"


86,*conocido* (conocido conocer),"*acquaintance*
adjective: known, famed, noted
noun: acquaintance"


87,*universidad*,"*university*
noun: university, school, varsity"


88,*investigación*,"*investigation*
noun: research, investigation, inquiry"


89,*batalla*,"*battle*
noun: battle, fighting"


90,*reglas* (regla),"*rules*
noun: rule, ruler, regulation"


91,*cargo* (cargo cargar),"*post*
noun: charge, position, post"


92,*hogar*,"*home*
noun: home, hearth, fireplace"


93,*ninguno*,"*none*
pronoun: none, neither
adjective: no, neither, whatever"


94,*dieron* (dar),"*they gave*
verb: give, yield, lend"


95,*vuelva* (volver),"*come back*
verb: return, go back, come back"


96,*sabías* (saber),"*did you know*
verb: know, realize, taste"


97,*respeto* (respeto respetar),"*I respect*
noun: respect, regard, deference"


98,*estación*,"*season*
noun: station, season, resort
abbreviation: St."


99,*corte* (corte cortar),"*court*
noun: cutting, court, section"


