,Spanish,Quizlet
50,*quedamos* (quedar),"*we stay*
verb: stay, remain, keep"


51,*llegará* (llegar),"*reach*
verb: arrive at, come to, hit"


52,*seremos* (ser),"*we will be*
verb: be, come, come of"


53,*desierto*,"*desert*
adjective: desert, deserted, empty
noun: desert, wilderness"


54,*licencia*,"*license*
noun: license, leave, permit"


55,*trató* (tratar),"*deal*
noun: treatment, deal, bargain"


56,*proceso* (proceso procesar),"*process*
noun: process, proceedings, trial"


57,*llevado* (llevar),"*carried*
adjective: kept, leaded"


58,*durmiendo* (dormir),"*sleeping*
verb: sleep, slumber, doze"


59,*tensión*,"*strain*
noun: tension, stress, strain"


60,*martes*,"*Tuesday*
noun: Tuesday
abbreviation: Tue."


61,*kilómetros* (kilómetro),"*kilometres*
noun: kilometer, kilometre"


62,*cartera*,"*briefcase*
noun: portfolio, wallet, briefcase"


63,*tráfico*,"*traffic*
noun: traffic, trade, trading"


64,*guarda* (guardar),"*guard*
noun: guard, keeper, ward"


65,*impresionante*,"*awesome*
adjective: impressive, awesome, spectacular"


66,*víctimas* (víctima),"*victims*
noun: victim, sufferer, casualty"


67,*ricos* (rico),"*rich*
adjective: rich, wealthy, delicious"


68,*primeros* (primero),"*first*
adjective: first, top, early
noun: first, leading, leader"


69,*dejamos* (dejar),"*we left*
verb: leave, let, stop"


70,*tomen* (tomar),"*take*
verb: take, have, drink"


71,*iguales* (igual),"*equal*
adjective: equal, same, like"


72,*domingo*,"*Sunday*
noun: Sunday, sabbath
abbreviation: Sun."


73,*crear*,"*create*
verb: create, make, set up"


74,*quedará* (quedar),"*will remain*
verb: stay, remain, keep"


75,*pérdida*,"*loss*
noun: loss, waste, leak"


76,*extra*,"*extra*
noun: extra, bonus"


77,*fuese* (ser ir),"*were*
verb: be, come, come of"


78,*confío* (confiar),"*I trust*
verb: trust, rely, entrust"


79,*sabido* (saber),"*known*
adjective: learned, famed, informed"


80,*análisis*,"*analysis*
noun: analysis, test, review"


81,*llegaste* (llegar),"*you arrived*
verb: get, reach, arrive"


82,*fría* (frío freír),"*cold*
adjective: cold, cool, chilly"


83,*violencia*,"*violence*
noun: violence, mayhem, fury"


84,*mate* (matar mate),"*mate*
noun: mate, matt, gourd
adjective: dull, mat, matted"


85,*lobo*,"*wolf*
noun: wolf, lupus"


86,*discurso*,"*speech*
noun: speech, discourse, address"


87,*actor*,"*actor*
noun: actor, player, performer"


88,*orgullo*,"*pride*
noun: pride, loftiness"


89,*odia* (odiar),"*hates*
verb: hate, loathe, detest"


90,*libras* (libra librar),"*pounds*
noun: pound, quid, smacker"


91,*alli* (allí),"*over there*
adverb: there, yonder"


92,*agencia*,"*agency*
noun: agency, ministration"


93,*vuelvan* (volver),"*come back*
verb: return, go back, come back"


94,*necesidad*,"*need*
noun: need, necessity, requirement"


95,*naves* (nave),"*ships*
noun: nave, shed, auditorium"


96,*descubrir*,"*discover*
verb: discover, find out, uncover"


97,*tira* (tira tirar),"*strip*
noun: strip, strap, band"


98,*resolver*,"*solve*
verb: solve, resolve, settle"


99,*pondré* (poner),"*I will put*
verb: put, add, place"


