,Spanish,Quizlet
47,*absoluto*,"*absolute*
adjective: absolute, complete, utter
noun: loss"


48,*pide* (pedir),"*asks*
verb: ask, request, ask for"


49,*dura* (duro durar),"*hard*
adjective: hard, tough, harsh"


50,*descansar*,"*rest*
verb: rest, lie, repose"


51,*respuestas* (respuesta),"*answers*
noun: response, answer, reply"


52,*propiedad*,"*property*
noun: property, ownership, estate"


53,*llamando* (llamar),"*calling*
verb: call, get, knock"


54,*dormido* (dormir),"*asleep*
adjective: asleep, sleeping, lying down"


55,*castillo*,"*castle*
noun: castle, chateau"


56,*china* (chino China),"*China*
noun: china, Chinawoman
adjective: Indian"


57,*datos* (dato),"*data*
noun: data, information, givens"


58,*torre*,"*tower*
noun: tower, turret, rook"


59,*robar*,"*steal*
verb: steal, rob, draw"


60,*americanos* (americano),"*American people*
adjective: American
noun: American"


61,*malos* (malo),"*bad*
adjective: bad, wrong, evil
noun: villain"


62,*botella*,"*bottle*
noun: bottle"


63,*aquellos*,"*those*
noun: those
pronoun: those"


64,*últimamente*,"*lately*
adverb: lately, recently, of late"


65,*testigo*,"*witness*
noun: witness, baton"


66,*presento* (presentar),"*I present*
verb: present, submit, introduce"


67,*periódico*,"*newspaper*
noun: newspaper, paper, periodical
adjective: periodic, periodical, recurring"


68,*juez*,"*judge*
noun: judge, magistrate, adjudicator"


69,*historias* (historia),"*stories*
noun: history, story, tale"


70,*gustaba* (gustar),"*liked*
verb: like, taste, love"


71,*créeme* (creer),"*believe me*
"


72,*necesitar*,"*need*
verb: need, require, take"


73,*esquina*,"*corner*
noun: corner, quoin"


74,*millas* (milla),"*miles*
noun: mile"


75,*llamadas* (llamada llamar),"*calls*
noun: rapping"


76,*fuente*,"*fountain*
noun: source, font, fountain"


77,*conocemos* (conocer),"*we know*
verb: know, meet, learn"


78,*techo* (techo techar),"*ceiling*
noun: ceiling, roof"


79,*genio*,"*genius*
noun: genius, temper, genie"


80,*alerta*,"*alert*
adjective: alert, watchful, awake
noun: alert, stand-to"


81,*ideas* (idea),"*ideas*
noun: ideology"


82,*tomas* (toma tomar),"*shots*
verb: take, have, drink"


83,*olvidar*,"*forget*
verb: forget, neglect, leave"


84,*menor*,"*minor*
adjective: less, smaller, minor
noun: minor, junior, juvenile"


85,*droga*,"*drug*
noun: drug, dope, cocaine"


86,*explicar*,"*explain*
verb: explain, account for, explicate"


87,*abierta* (abierto abrir),"*open*
adjective: open, opened, direct"


88,*privado* (privado privar),"*private*
adjective: private, deprived, personal"


89,*miembros* (miembro),"*members*
noun: member, limb, fellow"


90,*nacional*,"*national*
adjective: national, domestic
noun: national, native"


91,*gustó* (gustar),"*taste*
noun: taste, liking, pleasure"


92,*discutir*,"*argue*
verb: discuss, argue, debate"


93,*evidencia*,"*evidence*
noun: evidence, obviousness, cogency"


94,*detalles* (detalle),"*details*
noun: detail, gesture, technicality"


95,*tardes* (tarde tardar),"*afternoon*
noun: afternoon, evening, eve
adjective: late"


96,*tomaré* (tomar),"*i will take*
verb: take, have, drink"


97,*presente* (presente presentar),"*present*
adjective: present, current, actual
noun: present, memento"


98,*criminal*,"*criminal*
adjective: criminal, felonious, ruffianly
noun: criminal, felon, villain"


99,*premio*,"*prize*
noun: prize, award, reward"


