,Spanish,Quizlet

51,*caballeros* (caballero),"*gentlemen*
noun: gentlemen"


52,*idiota*,"*moron*
noun: idiot, fool, moron
adjective: idiotic, mutton-headed, half-witted"


53,*dio* (dar),"*gave*
verb: give, yield, lend"


54,*minuto*,"*minute*
noun: minute"


55,*bebé*,"*baby*
noun: baby, babe, nurseling"


56,*única* (único),"*only*
adjective: only, unique, single"


57,*lejos*,"*far*
adverb: away, far, far away"


58,*nuestras* (nuestro),"*our*
"


59,*plan*,"*plan*
noun: plan, design, arrangement"


60,*pienso* (pensar),"*I think*
noun: feed, fodder"


61,*sentido* (sentido sentir),"*sense*
noun: sense, meaning, senses
adjective: felt, heartfelt"


62,*dormir*,"*sleep*
verb: sleep, slumber, doze"


63,*digas* (decir),"*you say*
verb: say, tell, speak"


64,*palabra*,"*word*
noun: word, term, speech"


65,*correcto*,"*correct*
adjective: correct, right, proper"


66,*control*,"*control*
noun: control, check, grip"


67,*vemos* (ver),"*we see*
verb: see, view, watch"


68,*entiendes* (entender),"*you understand*
verb: understand, grasp, realize"


69,*país*,"*country*
noun: country, land"


70,*seis*,"*six*
adjective: six
noun: six, sixth
: six"


71,*último*,"*last*
adjective: last, latest, latter
noun: last
adverb: latest"


72,*ésta*,"*is*
pronoun: this"


73,*diga* (decir),"*say*
interjection: Hello!, Hullo!, Talk away!"


74,*podrías* (poder),"*could you*
verb: be able to, can, may"


75,*pequeña*,"*small*
adjective: small, little, short"


76,*cállate* (callar),"*be quiet*
interjection: Shut up!, Be quiet!, Keep quiet!"


77,*trato* (trato tratar),"*deal*
noun: treatment, deal, bargain"


78,*rey*,"*king*
noun: king"


79,*sucede* (suceder),"*happens*
verb: happen, occur, come about"


80,*muchachos* (muchacho),"*boys*
noun: boy, lad, youngster"


81,*jamás*,"*never*
adverb: never, at no time"


82,*cama*,"*bed*
noun: bed, couch, sack"


83,*srta* (señorita),"*Ms*
abbreviation: Ms."


84,*ayudar*,"*help*
verb: help, assist, aid"


85,*acerca* (acerca acercar),"*about*
verb: bring closer, bring near, draw near"


86,*di* (dar),"*gave*
interjection: Talk away!"


87,*cambio* (cambio cambiar),"*change*
noun: change, exchange, shift"


88,*falta* (falta faltar),"*lack*
noun: lack, foul, absence
preposition: out of"


89,*hospital*,"*hospital*
noun: hospital, infirmary, health clinic"


90,*lleva* (llevar),"*carry*
verb: carry, take, bring"


91,*presidente*,"*president*
noun: president, chairman, speaker"


92,*mil*,"*thousand*
adjective: thousand
noun: thousand, mil
: thousand, one thousand"


93,*gusto* (gusto gustar),"*taste*
noun: taste, liking, pleasure"


94,*conoces* (conocer),"*you know*
verb: know, meet, learn"


95,*diciendo* (decir),"*saying*
verb: say, tell, speak"


96,*os*,"*you*
pronoun: you, yourselves"


97,*ido* (ir),"*gone*
adjective: gone, left, looped"


98,*general*,"*general*
adjective: general, broad, blanket
noun: general"


99,*extraño* (extraño extrañar),"*strange*
adjective: strange, weird, odd
noun: alien"


