,Spanish,Quizlet
50,*saliendo* (salir),"*coming out*
verb: leave, get out, go out"


51,*responsable*,"*responsible*
adjective: responsible, liable, answerable"


52,*olvidado* (olvidado olvidar),"*forgotten*
adjective: left, lost
noun: deserted"


53,*quedó* (quedar),"*stayed*
verb: stay, remain, keep"


54,*permite* (permitir),"*It allows*
verb: allow, enable, permit"


55,*aquella*,"*that*
adjective: that"


56,*puse* (poner),"*I put*
verb: put, add, place"


57,*sonido*,"*sound*
noun: sound, beat, twang"


58,*quiso* (querer),"*wanted*
verb: want, love, wish"


59,*escrito* (escribir),"*written*
adjective: written, handwritten, said
noun: writing, text, manuscript
adverb: in writing"


60,*carro*,"*car*
noun: car, carriage, cart"


61,*preciosa* (precioso),"*lovely*
noun: gem"


62,*muestra* (muestra mostrar),"*sample*
noun: sample, sign, specimen"


63,*bastardo*,"*bastard*
adjective: bastard, misbegotten, baseborn
noun: bastard"


64,*restaurante*,"*restaurant*
noun: restaurant, eatery"


65,*huevos* (huevo),"*eggs*
noun: egg, ball"


66,*fantasma*,"*ghost*
noun: ghost, phantom, phantasm
adjective: phantom"


67,*mismos* (mismo),"*themselves*
adjective: same, very, one"


68,*profesional*,"*professional*
adjective: professional, vocational, occupational
noun: professional, pro"


69,*amas* (ama amar),"*love*
noun: landlady, madame"


70,*entero*,"*whole*
adjective: whole, entire, complete
noun: integer"


71,*películas* (película),"*films*
noun: film, movie, picture"


72,*cerrado* (cerrado cerrar),"*closed*
adjective: closed, shut, close"


73,*dedos* (dedo),"*fingers*
adjective: dual"


74,*sigan* (seguir),"*follow*
verb: follow, continue, keep"


75,*dueño*,"*owner*
noun: owner, landlord, proprietor"


76,*cuchillo*,"*knife*
noun: knife"


77,*turno*,"*shift*
noun: turn, inning, innings"


78,*tormenta*,"*storm*
noun: storm, thunderstorm, gale"


79,*caray*,"*Wow*
"


80,*abierto* (abierto abrir),"*open*
adjective: open, opened, direct"


81,*quede* (quedar),"*stay*
verb: stay, remain, keep"


82,*verdadera* (verdadero),"*true*
adjective: true, real, actual"


83,*mato* (matar),"*kill*
verb: kill, slay, murder"


84,*doc* (doctor),"*doc*
"


85,*playa*,"*beach*
noun: beach, seaside, shore"


86,*km*,"*km*
"


87,*victoria*,"*victory*
noun: victory, win, victoria"


88,*primo*,"*cousin*
noun: cousin, sucker, dupe
adjective: prime"


89,*oíste* (oír),"*did you hear*
verb: hear, listen, overhear"


90,*lisa* (liso Lisa),"*smooth*
adjective: smooth, flat, even"


91,*interior*,"*inside*
adjective: inside, interior, inner
adverb: inside
noun: inside, interior, inland"


92,*hechos* (hecho hacer),"*facts*
noun: acts, doings"


93,*piedra*,"*stone*
noun: stone, rock, flint"


94,*jodido* (jodido joder),"*fucking*
adjective: fucking, sodding, shitty"


95,*militar*,"*military*
adjective: military, soldierly, regimental
noun: military, soldier, serviceman
verb: soldier, militate, serve"


96,*computadora*,"*computer*
noun: computer"


97,*encantaría* (encantar),"*would love*
verb: love, enchant, delight"


98,*siga* (seguir),"*follow*
verb: follow, continue, keep"


99,*silla*,"*chair*
noun: chair, seat, tabouret"


