,Spanish,Quizlet
49,*bello*,"*beautiful*
adjective: beautiful, lovely, handsome"


50,*hígado*,"*liver*
noun: liver"


51,*cierre* (cierre cerrar),"*closing*
noun: closing, closure, locking"


52,*cabina*,"*cabin*
noun: cabin, cab, booth"


53,*queríamos* (querer),"*we wanted*
verb: want, love, wish"


54,*pasas* (pasar pasa),"*raisins*
noun: raisins"


55,*mantente* (mantener),"*stay*
"


56,*japón* (Japón),"*Japan*
noun: Japan, Nippon"


57,*deseos* (deseo),"*wishes*
noun: desire, wish, want"


58,*cuéntame* (contar),"*tell me*
"


59,*rastro*,"*trace*
noun: trail, trace, sign"


60,*compró* (comprar),"*bought*
verb: buy, purchase, get"


61,*anterior*,"*former*
adjective: previous, prior, former
adverb: before"


62,*acero*,"*steel*
noun: steel, iron, brand"


63,*desnudo* (desnudo desnudar),"*naked*
adjective: naked, bare, nude
noun: nude, nudity, undress
adverb: in the nude"


64,*comisario*,"*commissar*
noun: commissar, deputy"


65,*refuerzos* (refuerzo),"*reinforcement*
noun: reinforcement, draft"


66,*preparar*,"*prepare*
verb: prepare, make, ready"


67,*perdidos* (perdido perder),"*lost*
verb: lose, miss, waste"


68,*pagaré* (pagar),"*I will pay*
noun: promissory note"


69,*huevo*,"*egg*
noun: egg, ball"


70,*entrando* (entrar),"*entering*
verb: enter, get in, come in"


71,*armada* (armada armado armar),"*navy*
noun: navy, armada, fleet"


72,*trate* (tratar),"*try*
verb: treat, process, try on"


73,*supo* (saber),"*he knew*
verb: know, realize, taste"


74,*bromeas* (bromear),"*you joke*
verb: joke, banter, jest"


75,*verdaderamente*,"*truly*
adverb: truly, really, indeed"


76,*miro* (mirar),"*I look*
verb: look, look at, watch"


77,*límite*,"*limit*
noun: limit, boundary, bound"


78,*esperemos* (esperar),"*let's hope*
verb: wait, expect, wait for"


79,*sacado* (sacado sacar),"*taken out*
adjective: taken"


80,*diamante*,"*Diamond*
adjective: diamond
noun: diamond, adamant, rock"


81,*secuestro* (secuestro secuestrar),"*kidnapping*
adjective: kidnapping
noun: kidnapping, abduction, sequestration"


82,*casco* (casco cascar),"*helmet*
noun: helmet, shell, hoof"


83,*ayudó* (ayudar),"*helped*
verb: help, assist, aid"


84,*nene*,"*baby*
noun: baby, babe, tot"


85,*marcas* (marca marcar),"*brands*
noun: brand, mark, trademark"


86,*pudieras* (poder),"*could you*
verb: be able to, can, may"


87,*poca* (poco),"*little*
adjective: little, short, shallow"


88,*jugo*,"*juice*
noun: juice"


89,*heridos* (herido herir),"*wounded*
adjective: wounded, injured, lacerated"


90,*congreso*,"*congress*
noun: congress, conference"


91,*cementerio*,"*cemetery*
noun: cemetery, graveyard, churchyard"


92,*prostituta*,"*prostitute*
noun: prostitute, whore, hooker"


93,*desaparece* (desaparecer),"*disappear*
verb: disappear, go away, vanish"


94,*consecuencias* (consecuencia),"*consequences*
noun: impact"


95,*terreno*,"*land*
noun: ground, terrain, land
adjective: earthy"


96,*salvado* (salvado salvar),"*saved*
noun: bran
adjective: safe"


97,*mueren* (morir),"*die*
verb: die, kill, die out"


98,*igualmente*,"*likewise*
adverb: equally, likewise, alike"


99,*ganamos* (ganar),"*we won*
verb: win, earn, gain"


