,Spanish,Quizlet
49,*afecta* (afectar),"*it affects*
verb: affect, impact, influence"


50,*administración*,"*administration*
noun: administration, government, management"


51,*reconocimiento*,"*recognition*
noun: recognition, acknowledgment, appreciation"


52,*recientemente*,"*recently*
adverb: recently, newly, lately"


53,*practicar*,"*practice*
verb: practice, practise"


54,*pierdas* (perder),"*lose*
verb: lose, miss, waste"


55,*pandilla*,"*gang*
noun: gang, clique, band"


56,*miss*,"*miss*
"


57,*mates* (matar mate),"*math*
noun: math"


58,*disparando* (disparar),"*shooting up*
verb: shoot, fire, discharge"


59,*británicos* (británico),"*British*
noun: British"


60,*ayudarlos* (ayudar),"*help them*
"


61,*sueldo*,"*salary*
noun: salary, pay, income"


62,*siguió* (seguir),"*followed*
verb: follow, continue, keep"


63,*significado* (significado significar),"*meaning*
noun: meaning, significance, signification
adjective: implied"


64,*miente* (mentir),"*lies*
verb: lie, tell a lie, prevaricate"


65,*medidas* (medida medir),"*measures*
noun: measure, measurement, action"


66,*guitarra*,"*guitar*
noun: guitar"


67,*custodia*,"*custody*
noun: custody, safekeeping, keeping"


68,*boletos* (boleto),"*tickets*
noun: ticket, boletus, fare"


69,*ayudado* (ayudar),"*helped*
verb: help, assist, aid"


70,*sentarte* (sentar),"*sit down*
"


71,*risa*,"*laughter*
noun: laughter, laugh, mirth"


72,*quemar*,"*burn*
verb: burn, burn off, scorch"


73,*prometió* (prometer),"*promised*
verb: promise, pledge, vow"


74,*observando* (observar),"*observing*
verb: observe, note, watch"


75,*lectura*,"*reading*
noun: reading"


76,*jódete* (joder),"*fuck you*
"


77,*considerado* (considerado considerar),"*considered*
adjective: considered, considerate, thoughtful"


78,*cometer*,"*commit*
verb: commit, make, foul"


79,*cambié* (cambiar),"*I changed*
verb: change, switch, shift"


80,*asientos* (asiento),"*seating*
noun: seating"


81,*satisfecho* (satisfecho satisfacer),"*satisfied*
adjective: satisfied, pleased, happy"


82,*saludable*,"*healthy*
adjective: healthy, wholesome, salutary"


83,*lanzar*,"*launch*
verb: launch, throw, release"


84,*hoja*,"*sheet*
noun: sheet, leaf, blade"


85,*conozca* (conocer),"*know*
verb: know, meet, learn"


86,*concepto*,"*concept*
noun: concept, notion, conception"


87,*colgar*,"*hang*
verb: hang, hang up, dangle"


88,*apunta* (apuntar),"*aim*
verb: point, aim, record"


89,*renta* (renta rentar),"*rent*
noun: rent, income, rental"


90,*prefieres* (preferir),"*do you prefer*
verb: prefer, favor, like better"


91,*pediré* (pedir),"*I will ask*
verb: ask, request, ask for"


92,*mediodía*,"*noon*
noun: noon, midday, south"


93,*influencia*,"*influence*
noun: influence, clout, sway"


94,*hacernos* (hacer),"*make us*
"


95,*figura* (figura figurar),"*figure*
noun: figure, shape, form"


96,*ensayo* (ensayo ensayar),"*rehearsal*
noun: test, trial, assay"


97,*coordenadas* (coordenada),"*coordinates*
noun: coordinate"


98,*casó* (casar),"*case*
noun: case, instance, occurrence"


99,*político*,"*political*
adjective: political
noun: politician"


