,Spanish,Quizlet
47,*escaleras* (escalera),"*stairs*
noun: staircase, ladder, stairs"


48,*pasos* (paso),"*Steps*
noun: steps"


49,*nuevamente*,"*again*
adverb: newly, anew"


50,*derechos* (derecho),"*rights*
noun: duty, fee, tax"


51,*obtener*,"*obtain*
verb: get, obtain, earn"


52,*guste* (gustar),"*like*
verb: like, taste, love"


53,*búsqueda*,"*search*
noun: search, searching, quest"


54,*helado* (helado helar),"*frozen*
noun: ice cream, ice, water ice
adjective: frozen, icy, freezing"


55,*fútbol*,"*soccer*
noun: football, soccer, association football"


56,*sexual*,"*sexual*
adjective: sexual, sex, sexy"


57,*polvo*,"*dust*
noun: dust, powder
adjective: jammed"


58,*aseguro* (asegurar),"*I assure*
noun: reassurance"


59,*rostro*,"*face*
noun: face, countenance, visage"


60,*robado* (robar robado),"*stolen*
adjective: stolen, taken"


61,*policia* (policía),"*police*
noun: police, policeman, cop"


62,*empresa*,"*company*
noun: company, business, enterprise"


63,*escuchas* (escuchar),"*do you listen*
verb: listen, hear, listen to"


64,*pones* (poner),"*you put*
verb: put, add, place"


65,*lárgate* (largar),"*get out*
interjection: Beat it!, Back off!, Hop off!"


66,*interés*,"*interest*
noun: interest
abbreviation: i"


67,*discúlpeme* (disculpar),"*excuse me*
interjection: Excuse me!, I beg your pardon!"


68,*dejaron* (dejar),"*They left*
verb: leave, let, stop"


69,*tengamos* (tener),"*let's have*
verb: have, keep, own"


70,*firma* (firma firmar),"*signature*
noun: signature, firm, signing"


71,*llevaba* (llevar),"*wore*
verb: carry, take, bring"


72,*llegas* (llegar),"*you arrive*
verb: get, reach, arrive"


73,*cristo* (Cristo),"*Christ*
noun: Christ"


74,*tercer* (tercero),"*third*
"


75,*senador*,"*senator*
noun: senator"


76,*continúa* (continuar),"*keep going*
adjective: continuous, continuing, continual"


77,*gracia*,"*funny*
noun: grace, charm, graciousness"


78,*cien*,"*hundred*
noun: hundred
: hundred"


79,*des* (dar),"*des*
prefix: mal-, un-, non-"


80,*tratado* (tratado tratar),"*treaty*
noun: treaty, treatise, agreement"


81,*razones* (razón),"*reasons*
noun: reason, ratio, rate"


82,*caminando* (caminar),"*walking*
verb: walk, go, trot"


83,*urgencias* (urgencia),"*emergencies*
noun: urgency, emergency, immediacy"


84,*u* (o),"*or*
conjunction: or"


85,*esperan* (esperar),"*are waiting*
verb: wait, expect, wait for"


86,*muñeca*,"*doll*
noun: wrist, doll, dummy
adjective: dollish"


87,*firme* (firme firmar),"*firm*
adjective: firm, strong, steady
adverb: hard
noun: surface, road, roadbed"


88,*duerme* (dormir),"*sleep*
verb: sleep, slumber, doze"


89,*ambulancia*,"*ambulance*
noun: ambulance, ambulance car, ambulance station"


90,*limpia* (limpio limpiar),"*clean*
noun: cleaning, cleanup"


91,*habéis* (haber),"*have you*
verb: have"


92,*flota* (flota flotar),"*fleet*
noun: fleet, navy, armada"


93,*leyenda*,"*legend*
noun: legend, caption, tale"


94,*encuentre* (encontrar),"*find*
verb: find, meet, encounter"


95,*fué* (ir ser),"*was*
verb: be, come, come of"


96,*romper*,"*break*
verb: break, break down, smash"


97,*muriendo* (morir),"*dying*
verb: die, kill, die out"


98,*encontrarlo* (encontrar),"*find him*
"


99,*rescate* (rescate rescatar),"*rescue*
noun: rescue, ransom, recovery"


