,Spanish,Quizlet
46,*divirtiendo* (divertir),"*having fun*
verb: amuse, entertain, divert"


47,*cubre* (cubrir),"*it covers*
verb: cover, coat, serve"


48,*confidencial*,"*confidential*
adjective: confidential, private, inside"


49,*compre* (comprar),"*I bought*
verb: buy, purchase, get"


50,*baúl*,"*trunk*
noun: trunk"


51,*baila* (bailar),"*dance*
verb: dance, spin, jig"


52,*aumento* (aumento aumentar),"*increase*
noun: increase, rise, growth"


53,*ascenso*,"*ascent*
noun: ascent, promotion, climb"


54,*testimonio*,"*testimony*
noun: testimony, witness, attestation"


55,*saliera* (salir),"*come out*
verb: leave, get out, go out"


56,*resiste* (resistir),"*resist*
verb: resist, hold, endure"


57,*párate* (parar),"*stand up*
"


58,*ofrecer*,"*offer*
verb: offer, give, present"


59,*ocupo* (ocupar),"*I occupy*
verb: occupy, fill, take"


60,*merecía* (merecer),"*deserved*
verb: deserve, merit, earn"


61,*jabón*,"*soap*
noun: soap"


62,*hamburguesa*,"*hamburger*
noun: burger, hamburger"


63,*escuelas* (escuela),"*schools*
noun: school, college, schoolhouse"


64,*equivoco* (equívoco),"*mistaken*
adjective: mistaken, equivocal, ambiguous
noun: ambiguity, equivocation, double entendre"


65,*caiga* (caer),"*fall*
verb: fall, drop, fall down"


66,*beneficio*,"*benefit*
noun: benefit, profit, advantage"


67,*suéltalo* (soltar),"*Let it go*
interjection: Shoot!"


68,*rusa* (ruso),"*russian*
adjective: Russian, Soviet
noun: Russian, Soviet"


69,*receta* (receta recetar),"*recipe*
noun: recipe, prescription"


70,*modelos* (modelo),"*Models*
noun: model, pattern, standard"


71,*misterioso*,"*mysterious*
adjective: mysterious, eerie, uncanny"


72,*esconder*,"*hide*
verb: hide, conceal, stash"


73,*eche* (echar),"*cast*
verb: cast, throw, put"


74,*contarte* (contar),"*tell you*
"


75,*callejón*,"*alley*
noun: alley, alleyway, passageway"


76,*buscarla* (buscar),"*look for it*
"


77,*bonitas* (bonito),"*pretty*
adjective: nice, beautiful, pretty"


78,*toquen* (tocar),"*touch*
verb: touch, play, perform"


79,*rudo*,"*rude*
adjective: rude, hard, burly"


80,*pasaré* (pasar),"*I will pass*
verb: pass, go, move"


81,*extrañé* (extrañar),"*I missed*
verb: surprise, miss, long for"


82,*detras* (detrás),"*behind*
adverb: behind, back, after"


83,*detenerlos* (detener),"*stop them*
"


84,*delito*,"*crime*
noun: crime, offense, felony"


85,*atacado* (atacado atacar),"*attacked*
verb: attack, strike, tackle"


86,*traerlo* (traer),"*bring it*
"


87,*sentencia*,"*judgment*
noun: judgment, sentence, statement"


88,*sácame* (sacar),"*kick me out*
"


89,*posibles* (posible),"*possible*
adjective: possible, potential, likely"


90,*participar*,"*participate*
verb: participate, take part, join"


91,*pagas* (pagar paga),"*you pay*
verb: pay, pay for, repay"


92,*mintió* (mentir),"*lied*
verb: lie, tell a lie, prevaricate"


93,*jefes* (jefe),"*bosses*
noun: head, chief, boss"


94,*excepción*,"*exception*
noun: exception"


95,*espadas* (espada),"*swords*
noun: spades"


96,*engañado* (engañado engañar),"*cheated*
adjective: cheated, cheating, put-upon"


97,*débiles* (débil),"*weak*
noun: weak"


98,*corporación*,"*corporation*
noun: corporation, body corporate"


99,*cerrados* (cerrado),"*closed*
verb: close, shut, shut down"


