,Spanish,Quizlet
51,*global*,"*global*
adjective: global, all-embracing, all-in"


52,*escapado* (escapado escapar),"*I escaped*
adjective: in a rush"


53,*dinos* (decir),"*tell us*
"


54,*cuarta* (cuarto),"*quarter*
noun: quarter, quart, quarte"


55,*bienes* (bien),"*estate*
noun: goods, property, assets"


56,*aparato*,"*apparatus*
noun: apparatus, device, appliance"


57,*sostén* (sostén sostener),"*support*
noun: support, bra, brassiere"


58,*realizar*,"*carry out*
verb: perform, carry out, do"


59,*permitiré* (permitir),"*I will allow*
verb: allow, enable, permit"


60,*orgullosos* (orgulloso),"*proud*
adjective: proud, prideful, lofty"


61,*corten* (cortar),"*cut*
verb: cut, cut off, cut out"


62,*comisión*,"*commission*
noun: commission, committee, board"


63,*vidrio*,"*glass*
noun: glass, pane, pane of glass"


64,*presa* (presa preso),"*prey*
noun: prey, dam, quarry"


65,*ocupados* (ocupado ocupar),"*busy*
verb: occupy, fill, take"


66,*morfina*,"*morphine*
noun: morphine, morphia"


67,*habrían* (haber),"*would have*
verb: have"


68,*columna*,"*column*
noun: column, pillar, col"


69,*sacaron* (sacar),"*they took out*
verb: take, get, draw"


70,*patas* (pata),"*paws*
noun: leg, paw, foot"


71,*oírme* (oír),"*hear me*
"


72,*ocultar*,"*disguise*
verb: hide, conceal, cover"


73,*objeción*,"*objection*
noun: objection, protest, demur"


74,*maneja* (manejar),"*drive*
verb: handle, manage, drive"


75,*largas* (largo largar),"*long*
adjective: long, lengthy, dilatory
noun: length, largo"


76,*generalmente*,"*generally*
adverb: generally, popularly"


77,*fuentes* (fuente),"*sources*
noun: sources"


78,*cubrir*,"*cover*
verb: cover, coat, serve"


79,*ataca* (atacar),"*attack*
verb: attack, strike, tackle"


80,*tenis*,"*tennis*
noun: tennis, sneakers, tennis shoes"


81,*santos* (santo),"*Saints*
noun: sainthood"


82,*potencial*,"*potential*
adjective: potential
noun: potential"


83,*plano*,"*flat*
adjective: plane, flat, level
noun: plane, flat, map"


84,*levante* (levantar),"*I raised*
noun: east"


85,*escala* (escala escalar),"*scale*
noun: scale, ladder, stopover"


86,*enfrentar*,"*deal*
"


87,*cuánta* (cuánto cuanto),"*how much*
"


88,*sobra* (sobra sobrar),"*surplus*
noun: surplus, surplusage"


89,*rumor*,"*rumor*
noun: rumor, whisper, scuttlebutt"


90,*páginas* (página),"*pages*
abbreviation: p.p."


91,*órganos* (órgano),"*organs*
noun: organ, pipe organ"


92,*león*,"*lion*
noun: lion, puma"


93,*entras* (entrar),"*you enter*
verb: enter, get in, come in"


94,*decían* (decir),"*they were saying*
verb: say, tell, speak"


95,*chinos* (chino),"*chinese*
noun: curls"


96,*brujas* (bruja),"*witches*
noun: witch, sorceress, hag"


97,*barbara* (bárbaro Barbara),"*Barbara*
noun: Barbara"


98,*admiro* (admirar),"*I admire*
verb: admire, look up"


99,*voto* (voto votar),"*vote*
noun: vote, vow, suffrage"


