,Spanish,Quizlet
50,*viva* (vivir),"*live*
noun: cheer"


51,*puso* (poner),"*put*
verb: put, add, place"


52,*obra* (obra obrar),"*construction site*
noun: work, play, piece"


53,*consejo*,"*advice*
noun: advice, council, counsel"


54,*público*,"*public*
adjective: public, open, overt
noun: public, audience, spectators"


55,*ayúdame* (ayudar),"*Help me*
"


56,*animales* (animal),"*animals*
adjective: animal
noun: animal, beast"


57,*azul*,"*blue*
adjective: blue
noun: blue"


58,*apuesto* (apostar),"*handsome*
adjective: dapper, dashing"


59,*prisión*,"*prison*
noun: prison, imprisonment, jail"


60,*mirar*,"*look*
verb: look, look at, watch"


61,*inteligente*,"*intelligent*
adjective: intelligent, smart, clever"


62,*metros* (metro),"*meters*
noun: metro, meter, subway"


63,*fantástico*,"*fantastic*
adjective: fantastic, fantastical, fanciful"


64,*próximo*,"*next*
adjective: next, near, close"


65,*jugando* (jugar),"*playing*
adverb: at play, playfully"


66,*ojo*,"*eye*
noun: eye"


67,*salga* (salir),"*out*
interjection: Off with you!"


68,*vea* (ver),"*see*
verb: see, view, watch"


69,*llaman* (llamar),"*call*
verb: call, get, knock"


70,*entrada* (entrada entrar),"*entrance*
noun: entry, input, tackle"


71,*duda* (duda dudar),"*doubt*
noun: doubt, query, misgiving"


72,*cerveza*,"*beer*
noun: beer, pint, suds"


73,*unidos* (unido unir),"*joined*
"


74,*matado* (matado matar),"*killed*
adjective: murdered"


75,*princesa*,"*princess*
noun: princess"


76,*perdí* (perder),"*I missed*
verb: lose, miss, waste"


77,*entender*,"*understand*
verb: understand, grasp, realize"


78,*santa* (santo),"*holy*
abbreviation: St."


79,*quedar*,"*meet*
verb: stay, remain, keep"


80,*miles* (mil),"*Thousands*
noun: thousand, mil"


81,*llamaré* (llamar),"*I will call*
verb: call, get, knock"


82,*compañero*,"*buddy*
noun: partner, companion, mate"


83,*pensado* (pensar),"*thought-out*
adjective: thought-out, digested"


84,*espalda*,"*back*
noun: back"


85,*dejé* (dejar),"*leave*
verb: leave, let, stop"


86,*bomba*,"*bomb*
noun: pump, bomb, bombshell"


87,*cartas* (carta),"*cards*
noun: letters, mail, post"


88,*apenas*,"*barely*
adverb: just, scarcely, barely"


89,*leer*,"*read*
verb: read"


90,*hermanos* (hermano),"*siblings*
noun: brethren, brother and sister"


91,*darme* (dar),"*give me*
"


92,*papi*,"*Daddy*
"


93,*mantener*,"*keep*
verb: maintain, keep, hold"


94,*suyo*,"*yours*
pronoun: his, yours, own"


95,*rico*,"*rich*
adjective: rich, wealthy, delicious
adverb: in the money"


96,*verla* (ver),"*see her*
"


97,*lee* (leer),"*read*
verb: read"


98,*sigues* (seguir),"*are you still*
verb: follow, continue, keep"


99,*toca* (tocar),"*touch*
verb: touch, play, perform"


