,Spanish,Quizlet
47,*separados* (separado separar),"*separated*
adjective: separate, asunder, detached"


48,*respirando* (respirar),"*breathing*
verb: breathe, respire"


49,*negras* (negro),"*black*
adjective: black, dark, raven
noun: black, ebony, gloom"


50,*infantería*,"*infantry*
noun: infantry"


51,*identificado* (identificado identificar),"*identified*
adjective: identified"


52,*honesta* (honesto),"*honest*
adjective: honest, decent, upright"


53,*hambriento*,"*hungry*
adjective: hungry, starving, ravenous
noun: starveling"


54,*escribo* (escribir),"*I write*
verb: write, spell, write out"


55,*despedirme* (despedir),"*say goodbye*
"


56,*demos* (dar),"*demos*
verb: give, yield, lend"


57,*cortesía*,"*courtesy*
noun: courtesy, politeness, civility"


58,*colonia*,"*cologne*
noun: colony, settlement, suburb"


59,*ayudes* (ayudar),"*help*
verb: help, assist, aid"


60,*amiguito* (amiguito amigo),"*little friend*
noun: chum"


61,*alfa*,"*alpha*
noun: alpha"


62,*temen* (temer),"*fear*
verb: fear, dread, apprehend"


63,*suéltenme* (soltar),"*let me go*
"


64,*sensacional*,"*sensational*
adjective: sensational, thrilling, lurid"


65,*sacarle* (sacar),"*take him out*
"


66,*prostitutas* (prostituta),"*prostitutes*
noun: prostitute, whore, hooker"


67,*pondrás* (poner),"*You will put*
verb: put, add, place"


68,*literalmente*,"*literally*
adverb: literally, verbatim, literatim"


69,*licor*,"*liqueur*
noun: liqueur, spirit"


70,*juzgar*,"*judge*
verb: judge, assess, adjudicate"


71,*equilibrio*,"*balance*
noun: balance, equilibrium, equilibration"


72,*envíen* (enviar),"*send*
verb: send, post, ship"


73,*entregado* (entregado entregar),"*delivered*
adjective: committed, devoted"


74,*corazon* (corazón),"*heart*
noun: heart, center, core"


75,*consulta* (consulta consultar),"*consultation*
noun: consultation, conference"


76,*boxeador*,"*boxer*
noun: boxer"


77,*bahía*,"*bay*
noun: bay"


78,*usen* (usar),"*use*
verb: use, wear, utilize"


79,*taller*,"*workshop*
noun: workshop, studio, garage"


80,*rompiste* (romper),"*you broke*
verb: break, break down, smash"


81,*quitaron* (quitar),"*removed*
verb: remove, take away, take off"


82,*patatas* (patata),"*potatoes*
noun: potato, spud"


83,*operar*,"*operate*
verb: work"


84,*mochila*,"*backpack*
noun: backpack, pack, rucksack"


85,*interesada* (interesado interesar),"*interested*
adjective: interested, concerned, selfish"


86,*inspiración*,"*inspiration*
noun: inspiration, afflatus, uplift"


87,*explicaré* (explicar),"*i will explain*
verb: explain, account for, explicate"


88,*estuviese* (estar),"*were*
verb: be, stay, stand"


89,*enero*,"*January*
noun: January
abbreviation: Jan."


90,*cumple* (cumplir),"*meets*
verb: comply, fulfill, accomplish"


91,*claudia* (claudia Claudia),"*Claudia*
"


92,*lógico*,"*logical*
adjective: logical, logic, rational
noun: logician, coherer"


93,*islas* (isla),"*islands*
noun: island, isle"


94,*insignificante*,"*insignificant*
adjective: insignificant, small, trifling"


95,*hermandad*,"*Brotherhood*
noun: sisterhood, fraternity, craftiness"


96,*goma*,"*eraser*
noun: rubber, gum, rubber band"


97,*franco* (franco Franco),"*Frank*
noun: franc
adjective: frank, open, candid"


98,*duermes* (dormir),"*Do you sleep*
verb: sleep, slumber, doze"


99,*chimenea*,"*chimney*
noun: hearth, smokestack, pipe"


