,Spanish,Quizlet
49,*dejemos* (dejar),"*let's leave*
verb: leave, let, stop"


50,*científicos* (científico),"*scientists*
adjective: scientific
noun: scientist"


51,*bebiendo* (beber),"*drinking*
verb: drink, imbibe, booze"


52,*saque* (sacar),"*take out*
noun: serve, serving, server"


53,*metal*,"*metal*
noun: metal"


54,*despedida* (despedida despedido despedir),"*farewell*
noun: farewell, goodbye, parting"


55,*golf*,"*Golf*
noun: golf"


56,*empiece* (empezar),"*start*
verb: start, begin, get"


57,*defender*,"*defend*
verb: defend, uphold, advocate"


58,*crecer*,"*grow*
verb: grow, grow up, increase"


59,*rota* (roto),"*broken*
noun: rattan"


60,*sentimos* (sentir),"*sorry*
verb: feel, sense, regret"


61,*guerreros* (guerrero),"*Warriors*
noun: warrior, fighter
adjective: bellicose"


62,*echa* (echar),"*check out*
verb: cast, throw, put"


63,*comunicación*,"*communication*
noun: communication, message, announcement"


64,*probado* (probar),"*tried*
adjective: tried, proven"


65,*pensarlo* (pensar),"*think about it*
"


66,*háblame* (hablar),"*tell me*
"


67,*detenido* (detenido detener),"*arrested*
adjective: arrested, detained, kept
noun: detainee, prisoner"


68,*sabría* (saber),"*would know*
verb: know, realize, taste"


69,*muertes* (muerte),"*deaths*
noun: death, murder, demise"


70,*movimientos* (movimiento),"*movements*
noun: movement, motion, move"


71,*prohibido* (prohibido prohibir),"*forbidden*
adjective: prohibited, forbidden, barred
noun: taboo, tabu"


72,*pájaros* (pájaro),"*birds*
noun: bird"


73,*cargar*,"*carry*
verb: load, charge, upload"


74,*podíamos* (poder),"*we could*
verb: be able to, can, may"


75,*junior*,"*junior*
noun: junior, novice"


76,*imágenes* (imagen),"*images*
noun: imagery"


77,*haberse* (haber),"*have*
verb: comport oneself"


78,*acusado* (acusado acusar),"*accused*
adjective: accused, decided, displayed
noun: accused, charged, indicted"


79,*peleando* (pelear),"*fighting*
verb: quarrel, row, skirmish"


80,*lealtad*,"*loyalty*
noun: loyalty, allegiance, devotion"


81,*considera* (considerar),"*considers*
verb: consider, regard, account"


82,*cazador*,"*Hunter*
noun: hunter, huntsman, shooter"


83,*buscarlo* (buscar),"*look for it*
"


84,*apaga* (apagar),"*turns off*
verb: turn off, put out, blow out"


85,*objeto*,"*object*
noun: object, purpose, thing"


86,*sofá*,"*couch*
noun: sofa, couch, settee"


87,*personales* (personal),"*personal*
noun: staff, personnel, crew
adjective: personal, individual, private"


88,*homicidio*,"*homicide*
noun: homicide, murder"


89,*electricidad*,"*electricity*
noun: electricity"


90,*advertencia*,"*warning*
noun: warning, caution, caveat"


91,*rumores* (rumor),"*rumors*
noun: hearsay, whispering"


92,*mentir*,"*lie*
verb: lie, tell a lie, prevaricate"


93,*fíjate* (fijar),"*notice*
interjection: Imagine!, Just look!"


94,*deuda*,"*debt*
noun: debt, indebtedness, due"


95,*celoso*,"*jealous*
adjective: jealous, zealous, mettlesome"


96,*bicicleta*,"*bicycle*
noun: bicycle, bike, push-bike"


97,*azules* (azul),"*blue*
adjective: blue
noun: blue"


98,*visitas* (visita visitar),"*visits*
noun: visit, visitor, stay"


99,*mejorar*,"*improve*
verb: improve, enhance, upgrade"


