,Spanish,Quizlet
50,*protección*,"*protection*
noun: protection, shield, safeguard"


51,*secretos* (secreto),"*secrets*
adjective: secret, covert, private
noun: secret, secrecy, hugger-mugger"


52,*perdiendo* (perder),"*losing*
verb: lose, miss, waste"


53,*pecho*,"*chest*
noun: chest, breast, bosom"


54,*sepas* (saber),"*you know*
verb: know, realize, taste"


55,*enferma* (enfermo),"*sick*
adjective: sick, ill, diseased"


56,*cuesta* (cuesta costar),"*costs*
noun: slope, hill, incline"


57,*negros* (negro),"*black*
adjective: black, dark, raven
noun: black, ebony, gloom"


58,*estrellas* (estrella estrellar),"*stars*
noun: star, blaze, canvas"


59,*lago*,"*lake*
noun: lake, loch, lough"


60,*clases* (clase),"*classes*
noun: class, kind, sort"


61,*obviamente*,"*obviously*
adverb: obviously, noticeably"


62,*inmediato*,"*immediate*
adjective: immediate, instant, near"


63,*modos* (modo),"*modes*
noun: mode, way, manner"


64,*irás* (ir),"*you will go*
verb: go, be, head"


65,*robo* (robo robar),"*heist*
noun: theft, robbery, stealing"


66,*mataré* (matar),"*i will kill*
verb: kill, slay, murder"


67,*seria* (ser),"*I would be*
"


68,*apoyo* (apoyo apoyar),"*support*
noun: support, backing, advocacy"


69,*cerrar*,"*close*
verb: close, shut, shut down"


70,*imagino* (imaginar),"*I imagine*
verb: imagine, think, figure"


71,*amenaza* (amenaza amenazar),"*threat*
noun: threat, menace"


72,*toque* (toque tocar),"*touch*
noun: touch, stroke, knock"


73,*saca* (sacar),"*pulls out*
noun: withdrawal, big sack"


74,*viernes*,"*Friday*
noun: Friday
abbreviation: Fri."


75,*hayan* (haber),"*have*
verb: have"


76,*roto* (roto romper),"*broken*
adjective: broken, broken-down
noun: hole"


77,*piloto*,"*pilot*
noun: pilot, airman, flyer"


78,*marca* (marca marcar),"*brand*
noun: brand, mark, trademark"


79,*combate* (combate combatir),"*combat*
noun: combat, fight, fighting"


80,*hablé* (hablar),"*I talked*
verb: talk, speak, chat"


81,*manejar*,"*drive*
verb: handle, manage, drive
noun: handling"


82,*sección*,"*section*
noun: section, chapter, department"


83,*profundo*,"*deep*
adjective: deep, profound, intimate"


84,*tantos* (tanto),"*so many*
adjective: such
noun: point, score, touchdown"


85,*conocía* (conocer),"*knew*
verb: know, meet, learn"


86,*serie*,"*series*
noun: series, set, range"


87,*contrato* (contrato contratar),"*contract*
noun: contract, agreement, engagement"


88,*americano*,"*American*
adjective: American
noun: American"


89,*paseo* (paseo pasear),"*walk*
noun: walk, ride, stroll"


90,*aviones* (avión),"*planes*
noun: plane, aircraft, airplane"


91,*balas* (bala),"*bullets*
noun: bullet, bale, shot"


92,*repente*,"*suddenly*
noun: sudden movement, jerk"


93,*cambia* (cambiar),"*change*
verb: change, switch, shift"


94,*tropas* (tropa),"*troops*
noun: troops"


95,*llevará* (llevar),"*carry*
verb: carry, take, bring"


96,*uso* (uso usar),"*use*
noun: use, using, usage"


97,*pudiste* (poder),"*you could*
verb: be able to, can, may"


98,*detener*,"*arrest*
verb: stop, halt, arrest"


99,*sabia* (sabio),"*knew*
adjective: wise, sage, learned
noun: sage, savant, guru"


