,Spanish,Quizlet
51,*estuviera* (estar),"*I was*
verb: be, stay, stand"


52,*dia* (día),"*day*
noun: day
abbreviation: d."


53,*opinión*,"*opinion*
noun: opinion, view, mind"


54,*irte* (ir),"*go away*
"


55,*cocina* (cocina cocinar),"*kitchen*
noun: kitchen, cuisine, cooking"


56,*abrir*,"*open*
verb: open, open up, start"


57,*perros* (perro),"*dogs*
noun: dog, pooch"


58,*tambien* (también),"*also*
adverb: also, too, as well"


59,*sepa* (saber),"*know*
verb: know, realize, taste"


60,*pareces* (parecer),"*you look like*
verb: seem, appear, look like"


61,*escribir*,"*write*
verb: write, spell, write out"


62,*golpe*,"*bang*
noun: blow, coup, hit"


63,*tenia* (tener),"*had*
noun: tapeworm"


64,*alta*,"*high*
adjective: high, tall, upper"


65,*estados* (estado estar),"*state*
noun: state, status, condition"


66,*tocar*,"*tap*
verb: touch, play, perform"


67,*vuelvo* (volver),"*I come back*
verb: return, go back, come back"


68,*habían* (haber),"*they had*
verb: have"


69,*ganas* (gana ganar),"*desire*
verb: win, earn, gain"


70,*hacerte* (hacer),"*make you*
"


71,*dejo* (dejar),"*let*
noun: tinge, trace, taste"


72,*volvió* (volver),"*went back*
verb: return, go back, come back"


73,*ejemplo*,"*example*
noun: example, instance, illustration"


74,*contar*,"*count*
verb: count, tell, reckon"


75,*tenían* (tener),"*They had*
verb: have, keep, own"


76,*propósito*,"*purpose*
noun: purpose, aim, intention"


77,*entiende* (entender),"*understands*
verb: understand, grasp, realize"


78,*empieza* (empezar),"*begin*
interjection: Go to it!"


79,*anillo*,"*ring*
noun: ring, circlet"


80,*londres* (Londres),"*London*
noun: London"


81,*tendría* (tener),"*would have*
verb: have, keep, own"


82,*pedir*,"*ask*
verb: ask, request, ask for"


83,*estilo*,"*style*
noun: style, design, look"


84,*ayudarme* (ayudar),"*help me*
"


85,*pista*,"*clue*
noun: track, runway, clue"


86,*cambiado* (cambiar cambiado),"*changed*
adjective: interchanged, turned, distorted"


87,*escapar*,"*escape*
verb: escape, get away, flee"


88,*eeuu* (EEUU),"*USA*
abbreviation: USA, US"


89,*encontró* (encontrar),"*found*
verb: find, meet, encounter"


90,*espíritu*,"*spirit*
noun: spirit, mind, spirits"


91,*viejos* (viejo),"*old*
noun: aged"


92,*molesta* (molestar),"*bothers*
adjective: annoying, troublesome, bothersome"


93,*nota* (nota notar),"*note*
noun: note, notice, footnote"


94,*diferencia*,"*difference*
noun: difference, contrast, gap"


95,*tratar*,"*treat*
verb: treat, process, try on"


96,*precio*,"*price*
noun: price, rate, cost"


97,*caballero*,"*gentleman*
noun: gentleman, knight, sir"


98,*sirve* (servir),"*it serves*
verb: serve, help, do"


99,*alegra* (alegrar),"*glad*
verb: gladden, enliven, rejoice"


