,Spanish,Quizlet
47,*corriendo* (correr),"*in a hurry*
adverb: at a run, at the double"


48,*bala*,"*bullet*
noun: bullet, bale, shot"


49,*vosotros*,"*you*
pronoun: you, yourselves"


50,*despues* (después),"*after*
adverb: after, then, later"


51,*debido* (debido deber),"*due*
adjective: due, owing, right"


52,*confianza*,"*trust*
noun: confidence, trust, reliance"


53,*especialmente*,"*especially*
adverb: especially, particularly, specially"


54,*intenta* (intentar),"*try*
verb: try, attempt, intend"


55,*pequeños* (pequeño),"*little ones*
adjective: small, little, short
noun: child, dwarf, juniper"


56,*paga* (paga pagar),"*pay*
noun: pay, pay-packet"


57,*ganado* (ganado ganar),"*cattle*
noun: cattle, livestock, stock
adjective: taken, landed"


58,*ama* (ama amar),"*loves*
noun: landlady, madame"


59,*limpio* (limpio limpiar),"*clean*
adjective: clean, fair, clear
adverb: fairly
noun: frank"


60,*comenzar*,"*begin*
verb: start, begin, commence"


61,*ángeles* (ángel),"*angels*
noun: angel"


62,*robots* (robot),"*robots*
noun: robot"


63,*lleve* (llevar),"*I carried*
verb: carry, take, bring"


64,*ruido*,"*noise*
noun: noise, sound, din"


65,*preocupe* (preocupar),"*worry*
verb: worry, concern, trouble"


66,*belleza*,"*beauty*
noun: beauty, lovely, pulchritude"


67,*salgan* (salir),"*come out*
verb: leave, get out, go out"


68,*come* (comer),"*eat*
verb: eat, lunch, meal"


69,*verá* (ver),"*you will see*
noun: edge, verge, border"


70,*deberían* (deber),"*should*
verb: must, owe, job"


71,*líder*,"*leader*
noun: leader"


72,*preguntar*,"*ask*
verb: ask, inquire, question"


73,*inocente*,"*innocent*
adjective: innocent, naive, guiltless
noun: innocent, April fool"


74,*lástima*,"*pity*
noun: pity, shame"


75,*red*,"*grid*
noun: network, net, grid"


76,*enfermedad*,"*disease*
noun: disease, illness, sickness"


77,*desgraciado* (desgraciado desgraciar),"*unfortunate*
adjective: unfortunate, miserable, unhappy
noun: unfortunate, wretch, loser"


78,*harán* (hacer),"*they will*
verb: do, make, ask"


79,*dientes* (diente),"*teeth*
noun: teeth, serrated edge"


80,*maté* (matar),"*mate*
noun: mate, matt, gourd
adjective: dull, mat, matted"


81,*central*,"*central*
adjective: central, middlemost
noun: station, exchange, headquarters"


82,*ponte* (poner),"*put*
"


83,*felices* (feliz),"*happy*
adjective: happy, blissful, felicitous"


84,*supe* (saber),"*I knew*
verb: know, realize, taste"


85,*haberte* (haber),"*have you*
"


86,*marcha* (marcha marchar),"*March*
noun: march, running, progress"


87,*poderes* (poder),"*powers*
noun: power, authority, might"


88,*hubieras* (haber),"*you would have*
verb: have"


89,*justicia*,"*justice*
noun: justice, righteousness, fairness"


90,*bella* (bello),"*pretty*
noun: beauty"


91,*dé* (dar),"*of*
preposition: of, from, by
conjunction: than
adverb: off"


92,*proteger*,"*protect*
verb: protect, safeguard, secure"


93,*cabello*,"*hair*
noun: hair"


94,*pedido* (pedir pedido),"*order*
noun: order, indent, wish
adjective: requested, called, invited"


95,*oscuro*,"*dark*
adjective: dark, obscure, dim"


96,*embarazada* (embarazado embarazar),"*pregnant*
adjective: pregnant, with child, impregnate"


97,*costa*,"*coast*
noun: coast, shore, cost"


98,*dama*,"*lady*
noun: lady, dame"


99,*alguno*,"*some*
adjective: any, some, not ... any
pronoun: any
adverb: a few"


