,Spanish,Quizlet
50,*diablo*,"*Devil*
noun: devil, the devil, evil"


51,*deje* (dejar),"*leave*
verb: leave, let, stop"


52,*cuántos*,"*how many*
interjection: How many?"


53,*espada*,"*sword*
noun: sword, blade"


54,*estábamos* (estar),"*we were*
verb: be, stay, stand"


55,*carne*,"*meat*
noun: meat, flesh"


56,*maravilloso*,"*marvelous*
adjective: wonderful, marvelous, amazing"


57,*vidas* (vida),"*lives*
noun: life, living, lifetime"


58,*sucedió* (suceder),"*happened*
verb: happen, occur, come about"


59,*oí* (oír),"*I heard*
verb: hear, listen, overhear"


60,*peligroso*,"*dangerous*
adjective: dangerous, hazardous, perilous"


61,*dirección*,"*address*
noun: address, direction, management"


62,*libertad*,"*freedom*
noun: freedom, liberty, independence"


63,*jesús* (Jesús),"*Jesus*
noun: Jesus"


64,*ocurrió* (ocurrir),"*occurred*
"


65,*veré* (ver),"*I will see*
verb: see, view, watch"


66,*sueños* (sueño),"*dreams*
noun: dreaminess"


67,*pudiera* (poder),"*could*
verb: be able to, can, may"


68,*detective*,"*detective*
noun: detective, sleuth, private eye"


69,*sorpresa*,"*surprise*
noun: surprise"


70,*tuya* (tuyo),"*yours*
pronoun: yours, thine
noun: arborvitae"


71,*pies* (pie),"*feet*
noun: foot, bottom, footing"


72,*club*,"*club*
noun: club"


73,*terminado* (terminar),"*finished*
adjective: finished, completed, over
adverb: all up"


74,*infierno*,"*hell*
noun: hell, inferno, underworld"


75,*creía* (creer),"*believed*
verb: believe, think, trust"


76,*luna*,"*moon*
noun: moon"


77,*salvar*,"*save*
verb: save, salvage, rescue"


78,*carta*,"*letter*
noun: letter, card, carte"


79,*estés* (estar),"*you are*
verb: be, stay, stand"


80,*cielos* (cielo),"*Heavens*
interjection: Heavens!, Good heavens!"


81,*teniente*,"*lieutenant*
noun: lieutenant"


82,*encuentra* (encontrar),"*finds*
verb: find, meet, encounter"


83,*veamos* (ver),"*let's see*
verb: see, view, watch"


84,*quise* (querer),"*I wanted*
verb: want, love, wish"


85,*escúchame* (escuchar),"*listen to me*
"


86,*necesitan* (necesitar),"*need*
verb: need, require, take"


87,*ambos* (ambos ambo),"*both*
adjective: both
pronoun: both"


88,*decisión*,"*decision*
noun: decision, rule"


89,*enemigo*,"*enemy*
noun: enemy, foe
adjective: hostile, averse"


90,*hicimos* (hacer),"*we did*
verb: do, make, ask"


91,*dulce*,"*sweet*
adjective: sweet, gentle, dulcet
noun: sweet, candy, sweetmeat"


92,*pruebas* (prueba probar),"*evidence*
noun: testing, proof"


93,*querías* (querer),"*you wanted*
verb: want, love, wish"


94,*abuelo*,"*grandfather*
noun: grandfather, grandpa, grandparent"


95,*totalmente*,"*completely*
adverb: totally, completely, entirely"


96,*mirando* (mirar),"*looking*
verb: look, look at, watch"


97,*vayan* (ir),"*go*
verb: go, be, head"


98,*carrera*,"*career*
noun: career, race, run"


99,*vuelo* (vuelo volar),"*flight*
noun: flight, flying"


