,Spanish,Quizlet
48,*bola*,"*ball*
noun: ball, balloon"


49,*oferta*,"*offer*
noun: offer, bid, tender"


50,*intentarlo* (intentar),"*try*
"


51,*habido* (haber),"*there have been*
verb: have"


52,*continuar*,"*continue*
verb: continue, carry on, keep"


53,*ladrón*,"*thief*
noun: thief, robber, burglar"


54,*humanidad*,"*humanity*
noun: humanity, mankind, humankind"


55,*estómago*,"*stomach*
noun: stomach, inside"


56,*entera* (entero),"*whole*
adjective: whole, entire, complete"


57,*contó* (contar),"*counted*
verb: count, tell, reckon"


58,*poniendo* (poner),"*putting up*
verb: put, add, place"


59,*mercado*,"*market*
noun: market, marketplace, mart"


60,*granja*,"*farm*
noun: farm, homestead, grange"


61,*idiotas* (idiota),"*idiots*
noun: idiot, fool, moron
adjective: idiotic, mutton-headed, half-witted"


62,*hablemos* (hablar),"*let's talk*
verb: talk, speak, chat"


63,*estudiante*,"*student*
noun: student"


64,*siglo*,"*century*
noun: century, age, era
abbreviation: c, cent"


65,*relaciones* (relación),"*relations*
noun: relations, relationship, intercourse"


66,*hablan* (hablar),"*speak*
verb: talk, speak, chat"


67,*nosotras*,"*we*
pronoun: us, we"


68,*miembro*,"*member*
noun: member, limb, fellow"


69,*fortuna*,"*fortune*
noun: fortune, luck"


70,*libres* (libre),"*free*
adjective: free, loose, idle
noun: leisure"


71,*acciones* (acción),"*Actions*
noun: doings"


72,*esperas* (espera esperar),"*you wait*
noun: wait, waiting, delay"


73,*suficientemente*,"*enough*
adverb: enough, sufficiently, adequately"


74,*llevaron* (llevar),"*they took*
verb: carry, take, bring"


75,*ocurrido* (ocurrir),"*happened*
verb: occur, happen, take place"


76,*andar*,"*walk*
noun: walk
verb: walk, go, go around"


77,*perfectamente*,"*perfectly*
adverb: perfectly, ideally"


78,*pasan* (pasar),"*pass*
verb: pass, go, move"


79,*jardín*,"*garden*
noun: garden"


80,*cola* (cola colar),"*line*
noun: tail, queue, glue"


81,*resultados* (resultado),"*results*
noun: showing"


82,*francés*,"*French*
adjective: French
noun: French, Frenchman, parleyvoo"


83,*troya* (Troya),"*trojan*
"


84,*tercera* (tercero),"*third*
noun: third
adverb: third-class"


85,*entrenamiento*,"*training*
noun: training, workout, coaching"


86,*azúcar*,"*sugar*
noun: sugar"


87,*metido* (meter),"*tucked in*
adjective: placed"


88,*ayudarlo* (ayudar),"*help him*
"


89,*diles* (decir),"*tell them*
"


90,*coger*,"*take*
verb: take, catch, get"


91,*lunes*,"*Monday*
noun: Monday
abbreviation: Mon."


92,*ey*,"*Hey*
"


93,*intención*,"*intention*
noun: intention, intent, purpose"


94,*volviendo* (volver),"*getting back*
verb: return, go back, come back"


95,*efectivo*,"*cash*
noun: cash
adjective: effective, actual"


96,*salgamos* (salir),"*let's go out*
verb: leave, get out, go out"


97,*preguntaba* (preguntar),"*I was asking*
verb: ask, inquire, question"


98,*olvida* (olvidar),"*forget*
verb: forget, neglect, leave"


99,*helicóptero*,"*helicopter*
noun: helicopter, chopper, whirly-bird"


