,Spanish,Quizlet
47,*escuches* (escuchar),"*listen*
verb: listen, hear, listen to"


48,*envío* (envío enviar),"*shipment*
noun: shipping, sending, shipment"


49,*enterrar*,"*bury*
verb: bury, inter, grave"


50,*destrozado* (destrozado destrozar),"*shattered*
adjective: torn apart, wasted, shot"


51,*dejarle* (dejar),"*let him*
"


52,*condicional*,"*conditional*
adjective: conditional, conditioning, provisory"


53,*cometió* (cometer),"*committed*
verb: commit, make, foul"


54,*avergonzado* (avergonzado avergonzar),"*ashamed*
adjective: ashamed, embarrassed, abashed"


55,*artículos* (artículo),"*articles*
noun: articles, goods, manufactures"


56,*amenazas* (amenaza amenazar),"*threats*
noun: sabre-rattling"


57,*victima* (víctima),"*victim*
noun: victim, sufferer, casualty"


58,*val*,"*val*
"


59,*símbolos* (símbolo),"*symbols*
noun: symbol, sign, emblem"


60,*saltó* (saltar),"*leap*
noun: jump, leap, hop"


61,*repetir*,"*repeat*
verb: repeat, echo, replay"


62,*pelos* (pelo),"*hairs*
noun: hair, pile, coat"


63,*organizado* (organizado organizar),"*organized*
adjective: organized, arranged"


64,*novato*,"*rookie*
noun: rookie, freshman, newcomer
adjective: new, green, raw"


65,*localizar*,"*to locate*
verb: locate, localize, trace"


66,*lindas* (lindo),"*cute*
adjective: cute, nice, beautiful"


67,*intentan* (intentar),"*they try*
verb: try, attempt, intend"


68,*estara* (estar),"*will be*
verb: be, stay, stand"


69,*enamorados* (enamorado enamorar),"*in love*
adjective: in love, enamored, enamoured
noun: admirer, valentine"


70,*discutiendo* (discutir),"*arguing*
verb: discuss, argue, debate"


71,*cajón*,"*drawer*
noun: drawer, crate, bin"


72,*aliados* (aliado aliar),"*allies*
noun: ally
adjective: allied"


73,*águila*,"*eagle*
noun: eagle, eagle hawk"


74,*sugiere* (sugerir),"*suggests*
verb: suggest, prompt, come up with"


75,*sexto*,"*sixth*
adjective: sixth
noun: sixth
: sixth"


76,*retirarse* (retirar),"*backing out*
verb: withdraw, retire, retreat"


77,*reciente*,"*recent*
adjective: recent, new, fresh"


78,*protector*,"*protective*
adjective: protective, protecting, patronizing
noun: protector, guardian, defender"


79,*presos* (preso),"*prisoners*
noun: prisoner, inmate"


80,*pidieron* (pedir),"*they asked*
verb: ask, request, ask for"


81,*mide* (medir),"*measure*
verb: measure, gauge, measure out"


82,*materia*,"*subject*
noun: matter, material, stuff"


83,*hueón* (hueón huevón),"*jerk*
"


84,*gentil*,"*Gentile*
adjective: gentile, genteel, graceful
noun: gentile"


85,*evidente*,"*evident*
adjective: evident, obvious, apparent"


86,*enlace*,"*link*
noun: link, bond, liaison"


87,*dorado* (dorado dorar),"*golden*
adjective: golden, gilded, gilt
noun: dorado, gilding, gold-plating"


88,*discúlpenme* (disculpar),"*excuse me*
"


89,*dejare* (dejar),"*I will leave*
verb: leave, let, stop"


90,*conclusión*,"*conclusion*
noun: conclusion, end, ending"


91,*competir*,"*compete*
verb: compete, race"


92,*auténtico*,"*authentic*
adjective: authentic, real, genuine"


93,*anuncios* (anuncio),"*advertisements*
noun: ad, advert, announcement"


94,*afortunadamente*,"*fortunately*
adverb: fortunately, happily"


95,*siesta*,"*snap*
noun: nap, siesta"


96,*sentidos* (sentido sentir),"*senses*
noun: sense, meaning, senses
adjective: felt, heartfelt"


97,*principales* (principal),"*main*
adjective: main, principal, leading
noun: principal, chief, head"


98,*mátame* (matar),"*kill me*
"


99,*hallé* (hallar),"*I found*
verb: find, find out, discover"


