,Spanish,Quizlet
48,*sótano*,"*basement*
noun: cellar, basement, vault"


49,*paredes* (pared),"*walls*
noun: wall"


50,*guapa* (guapo),"*pretty*
noun: lovely"


51,*iría* (ir),"*would go*
verb: go, be, head"


52,*imaginar*,"*imagine*
verb: imagine, think, figure"


53,*fiebre*,"*fever*
noun: fever, temperature"


54,*déjala* (dejar),"*leave her*
"


55,*botón*,"*button*
noun: button, knob, bud"


56,*preguntarle* (preguntar),"*ask him*
"


57,*leyendo* (leer),"*reading*
verb: read"


58,*darles* (dar),"*give them*
"


59,*uniforme*,"*uniform*
noun: uniform, regimentals, undress
adjective: even, uniformed, regular"


60,*dulces* (dulce),"*sweets*
noun: confectionery, sweetmeats, tuck"


61,*vaso*,"*glass*
noun: glass, vessel, beaker"


62,*documentos* (documento),"*documents*
noun: muniments"


63,*ruego* (rogar),"*I beg*
noun: request, prayer, entreaty"


64,*maneras* (manera),"*ways*
noun: way, fashion, manner"


65,*invitados* (invitado invitar),"*guests*
adjective: invited
noun: guest, invite"


66,*cómodo*,"*comfortable*
adjective: comfortable, convenient, easy"


67,*ayudarnos* (ayudar),"*help us*
"


68,*visitar*,"*visit*
verb: visit, pay a visit, call on"


69,*vigilancia*,"*surveillance*
noun: surveillance, vigilance, watch"


70,*nadar*,"*swim*
verb: swim"


71,*altura*,"*height*
noun: height, altitude, rise"


72,*todavia* (todavía),"*still*
adverb: still, yet, as yet"


73,*preparados* (preparado preparar),"*prepared*
adjective: prepared, ready, trained
noun: preparation, extract"


74,*cuáles* (cuál),"*which*
"


75,*mover*,"*move*
verb: move, shift, shake"


76,*jugador*,"*player*
noun: player, gambler, punter"


77,*izquierdo*,"*left*
adjective: left, nearside"


78,*tecnología*,"*technology*
noun: technology"


79,*raza*,"*race*
noun: race, breed, colorcast"


80,*conocerlo* (conocer),"*know him*
"


81,*conde*,"*count*
noun: count, earl"


82,*social*,"*social*
adjective: social, convivial"


83,*gobernador*,"*governor*
noun: governor, chairman, king
adjective: gubernatorial, governing, ruling"


84,*coge* (coger),"*take*
verb: take, catch, get"


85,*cubierta* (cubierto cubrir),"*deck*
noun: cover, deck, housing"


86,*chiste* (chiste chistar),"*joke*
noun: joke, gag, jest"


87,*celda*,"*cell*
noun: cell"


88,*agarra* (agarrar),"*grab*
verb: grab, grasp, grip"


89,*secreta* (secreto),"*secret*
adjective: secret, covert, private"


90,*personalmente*,"*personally*
adverb: personally, privately, in the person"


91,*amistad*,"*friendship*
noun: friendship, friendliness, amity"


92,*amaba* (amar),"*loved*
verb: love"


93,*nació* (nacer),"*born*
verb: be born, rise, come into being"


94,*interesado* (interesado interesar),"*interested*
adjective: interested, concerned, selfish"


95,*intentado* (intentar),"*tried*
verb: try, attempt, intend"


96,*educación*,"*education*
noun: education, school, upbringing"


97,*curiosidad*,"*curiosity*
noun: curiosity, inquisitiveness, curio"


98,*buscan* (buscar),"*looking for*
verb: search, search for, look"


99,*repito* (repetir),"*I repeat*
verb: repeat, echo, replay"


