,Spanish,Quizlet
52,*terror*,"*terror*
noun: terror, horror, dread"


53,*salva* (salvar salvo salva),"*save*
noun: salvo, volley, salute"


54,*salgas* (salir),"*come out*
verb: leave, get out, go out"


55,*sacarte* (sacar),"*take you out*
"


56,*lanza* (lanza lanzar),"*lance*
noun: spear, lance, pole"


57,*usó* (usar),"*use*
noun: use, using, usage"


58,*quince*,"*fifteen*
noun: fifteen
: fifteen"


59,*prometido* (prometido prometer),"*fiance*
adjective: promised, engaged, betrothed
noun: fiance, fiancé, betrothed"


60,*preciso*,"*accurate*
adjective: precise, necessary, accurate"


61,*pirata*,"*pirate*
noun: pirate, rover, picaroon
adjective: piratical"


62,*moral*,"*moral*
adjective: moral
noun: moral, morality, morale"


63,*moneda*,"*currency*
noun: currency, coin, money"


64,*haberle* (haber),"*have*
"


65,*estuvieras* (estar),"*you were*
verb: be, stay, stand"


66,*dijimos* (decir),"*we said*
verb: say, tell, speak"


67,*cayendo* (caer),"*falling down*
verb: fall, drop, fall down"


68,*bajas* (bajo baja),"*low*
adjective: low, lower, bass"


69,*viniera* (venir),"*came*
verb: come, come round, come through"


70,*soñando* (soñar),"*ringing*
adverb: dreamily"


71,*servirá* (servir),"*will serve*
verb: profit, dish up, pour out"


72,*moscú* (Moscú),"*Moscow*
noun: Moscow"


73,*mínimo*,"*minimum*
adjective: minimum, least, minimal
noun: minimum"


74,*hermosas* (hermoso),"*beautiful*
adjective: beautiful, handsome, lovely"


75,*escondido* (escondido esconder),"*hidden*
adjective: dark, secret, blind"


76,*demostrar*,"*demonstrate*
verb: demonstrate, show, prove"


77,*perrito* (perrito perro),"*puppy*
noun: puppy, doggie, doggy"


78,*intente* (intentar),"*try*
verb: try, attempt, intend"


79,*habrán* (haber),"*there will be*
verb: have"


80,*experimento*,"*experiment*
noun: experiment, experimentation"


81,*espaldas* (espalda),"*backs*
noun: back"


82,*diseño* (diseño diseñar),"*design*
noun: design, designing, pattern"


83,*barra* (barra barrer),"*bar*
noun: bar, rod, stick"


84,*anciano*,"*old man*
noun: old man, elderly, elder
adjective: old, elderly, elder"


85,*alfombra* (alfombra alfombrar),"*rug*
noun: carpet"


86,*actriz*,"*actress*
noun: actress, performer, player"


87,*tono*,"*tone*
noun: tone, pitch, shade"


88,*sentarse* (sentar),"*feel*
verb: sit, sit down, seat oneself"


89,*remedio*,"*remedy*
noun: remedy, redress, physic"


90,*listas* (lista listo),"*ready*
noun: list, table, roster"


91,*gris*,"*grey*
adjective: gray, drab, dull
noun: gray, grey"


92,*enviaron* (enviar),"*they sent*
verb: send, post, ship"


93,*entendiste* (entender),"*you understood*
verb: understand, grasp, realize"


94,*disfrutar*,"*enjoy*
verb: enjoy, delight, bask"


95,*contaré* (contar),"*I will count*
verb: count, tell, reckon"


96,*comen* (comer),"*eat*
verb: eat, lunch, meal"


97,*sentada* (sentado sentar),"*sitting*
noun: sitting"


98,*pregunte* (preguntar),"*I asked for*
verb: ask, inquire, question"


99,*japonés*,"*Japanese*
adjective: Japanese, Nipponese
noun: Japanese, Nipponese, nip"


