,Spanish,Quizlet
49,*conciencia*,"*awareness*
noun: awareness, conscience"


50,*miras* (mirar),"*look*
noun: sight, intention, watchtower"


51,*máquinas* (máquina),"*machines*
noun: machine, engine, dolly tub"


52,*traeré* (traer),"*I'll bring*
verb: bring, bring in, get"


53,*revisar*,"*review*
verb: revise, look at, inspect"


54,*veinte*,"*twenty*
adjective: twenty
noun: twenty
: twenty"


55,*seres* (ser),"*beings*
noun: being, thing"


56,*hablarle* (hablar),"*talk to him*
"


57,*disco* (disco discar),"*disk*
noun: disk, disc, record"


58,*transporte* (transporte transportar),"*transport*
noun: transport, transportation, carriage"


59,*mina*,"*mine*
noun: mine, quarry, pit"


60,*labios* (labio),"*lips*
noun: lips, chops"


61,*señoría*,"*lordship*
noun: lordship, ladyship"


62,*llamamos* (llamar),"*we call*
verb: call, get, knock"


63,*doce*,"*twelve*
noun: twelve, dozen
: twelve"


64,*cuídate* (cuidar),"*take care of yourself*
"


65,*pasillo*,"*aisle*
noun: hall, corridor, aisle"


66,*tele* (tele televisión),"*TV*
abbreviation: TV
noun: television, telly, tube"


67,*podria* (poder),"*could*
auxiliary verb: could"


68,*completa* (completo completar),"*complete*
adjective: full, complete, entire"


69,*rápida* (rápido),"*quick*
adjective: fast, quick, rapid"


70,*precisamente*,"*precisely*
adverb: precisely, just, accurately"


71,*llamaste* (llamar),"*called*
verb: call, get, knock"


72,*cumplir*,"*achieve*
verb: comply, fulfill, accomplish"


73,*servicios* (servicio),"*services*
noun: services"


74,*señales* (señal),"*signs*
verb: mark, show, designate"


75,*acaban* (acabar),"*they finished*
verb: end, finish, complete"


76,*suéltame* (soltar),"*Let go*
"


77,*hablarte* (hablar),"*talk to you*
"


78,*traté* (tratar),"*i tried*
verb: treat, process, try on"


79,*pescado* (pescado pescar),"*fish*
noun: fish, seafood
adjective: landed"


80,*huesos* (hueso),"*bones*
noun: bones"


81,*daría* (dar),"*would give*
verb: give, yield, lend"


82,*compra* (compra comprar),"*buys*
noun: purchase, buy, buyout"


83,*trajiste* (traer),"*you brought*
verb: bring, bring in, get"


84,*templo*,"*temple*
noun: temple, church"


85,*placa*,"*plate*
noun: plate, plaque, license plate"


86,*posibilidades* (posibilidad),"*odds*
noun: odds"


87,*ira*,"*gonna*
noun: anger, wrath, rage"


88,*vengas* (venir),"*come on*
verb: come, come round, come through"


89,*siguiendo* (seguir),"*Following*
verb: follow, continue, keep"


90,*podrán* (poder),"*will be able*
verb: be able to, can, may"


91,*llamarme* (llamar),"*call me*
"


92,*cierta* (cierto),"*certain*
adjective: certain, sure, definite"


93,*permitir*,"*allow*
verb: allow, enable, permit"


94,*condiciones* (condición),"*conditions*
noun: terms"


95,*atrapar*,"*catch*
verb: catch, trap, cop"


96,*temperatura*,"*temperature*
noun: temperature, fever
abbreviation: temp."


97,*explicación*,"*explanation*
noun: explanation, reason, explication"


98,*enviado* (enviado enviar),"*sent*
noun: envoy
adjective: dispatched"


99,*contado* (contado contar),"*counted*
adjective: calculated"


