,Spanish,Quizlet
47,*finales* (final),"*finals*
adjective: end, final, ultimate
noun: end, final, finish"


48,*evitarlo* (evitar),"*avoid it*
"


49,*enviaré* (enviar),"*i will send*
verb: send, post, ship"


50,*deporte*,"*sport*
noun: sport, game"


51,*bajando* (bajar),"*going down*
verb: lower, get off, go down"


52,*sucia* (sucio),"*dirty*
adjective: dirty, unclean, grubby"


53,*recibimos* (recibir),"*We received*
verb: receive, get, welcome"


54,*pastillas* (pastilla),"*tablets*
noun: tablet, bar, chip"


55,*ceremonia*,"*ceremony*
noun: ceremony, ritual"


56,*tina*,"*tub*
noun: tub, vat"


57,*muelle*,"*dock*
noun: dock, pier, quay
adjective: springy, bouncy"


58,*maletas* (maleta),"*suitcases*
noun: suitcase, case, baggage
adjective: ham-fisted"


59,*hijas* (hija),"*daughters*
noun: son, child, sonny"


60,*desconocido* (desconocido desconocer),"*a stranger*
adjective: unknown, unfamiliar, strange
noun: unknown, stranger, outsider"


61,*conseguiré* (conseguir),"*i will get*
verb: get, achieve, obtain"


62,*refugio* (refugio refugiar),"*shelter*
noun: refuge, haven, retreat"


63,*imagina* (imaginar),"*imagine*
verb: imagine, think, figure"


64,*franceses* (francés),"*French*
adjective: French
noun: French, Frenchman, parleyvoo"


65,*convertirse* (convertir),"*become*
verb: turn, convert, adapt"


66,*arruinado* (arruinado arruinar),"*spoiled*
adjective: ruined, bankrupt, desolate"


67,*vomitar*,"*vomit*
verb: vomit, throw up, disgorge"


68,*pasajeros* (pasajero),"*passengers*
noun: passenger, rider
adjective: passing, transient, fleeting"


69,*normales* (normal),"*normal*
adjective: normal, regular, ordinary"


70,*disfraz*,"*costume*
noun: costume, disguise, fancy dress"


71,*continúe* (continuar),"*continue*
verb: continue, carry on, keep"


72,*arreglado* (arreglado arreglar),"*fixed up*
adjective: arranged, settled, orderly"


73,*aprende* (aprender),"*learn*
verb: learn, pick up, acquire"


74,*venimos* (venir),"*we come*
verb: come, come round, come through"


75,*tenerte* (tener),"*to have you*
"


76,*seguirá* (seguir),"*will follow*
verb: remain, trail, get on"


77,*razonable*,"*reasonable*
adjective: reasonable, fair, sensible
adverb: reasonably"


78,*puesta* (puesta puesto poner),"*put*
noun: putting, setting"


79,*masaje*,"*massage*
noun: massage, rubdown"


80,*lágrimas* (lágrima),"*tears*
noun: tears"


81,*gustaria* (gustar),"*would like*
verb: like, taste, love"


82,*extranjero*,"*foreign*
adjective: foreign, outlandish
noun: alien, foreigner, stranger"


83,*dejaremos* (dejar),"*we will leave*
verb: leave, let, stop"


84,*apellido*,"*last name*
noun: surname, last name"


85,*alguacil*,"*sheriff*
noun: sheriff, bailiff, constable"


86,*temporal*,"*temporary*
adjective: temporary, temporal, seasonal"


87,*rompe* (romper),"*breaks*
verb: break, break down, smash"


88,*mayo*,"*May*
noun: May"


89,*egoísta*,"*selfish*
adjective: selfish, egoistic, self-interested
noun: egoist"


90,*aceite*,"*oil*
noun: oil, salad oil"


91,*platos* (plato),"*dishes*
noun: dish, plate, platter"


92,*miércoles*,"*Wednesday*
noun: Wednesday, midweek
abbreviation: Wed."


93,*indios* (indio),"*indians*
noun: India"


94,*decimos* (decir),"*we say*
verb: say, tell, speak"


95,*bolsas* (bolsa),"*bags*
noun: bag, pouch, stock exchange"


96,*anuncio*,"*advertisement*
noun: ad, advert, announcement"


97,*tirado* (tirado tirar),"*thrown away*
adjective: discarded, laid, hurled"


98,*notado* (notado notar),"*noticed*
verb: notice, note, remark"


99,*mutantes* (mutante),"*mutants*
"


