,Spanish,Quizlet
47,*dejaría* (dejar),"*would leave*
verb: leave, let, stop"


48,*vigila* (vigilar),"*watch*
verb: watch, guard, watch over"


49,*quisieras* (querer),"*would you like*
verb: want, love, wish"


50,*intereses* (interés),"*interests*
noun: interests"


51,*agárrate* (agarrar),"*hold on*
"


52,*aéreo*,"*aerial*
adjective: air, aerial, overhead"


53,*traición*,"*treason*
noun: betrayal, treason, treachery"


54,*seguiré* (seguir),"*I will continue*
verb: follow, continue, keep"


55,*salvajes* (salvaje),"*wild*
adjective: wild, savage, feral
noun: savage"


56,*prefiere* (preferir),"*prefer*
verb: prefer, favor, like better"


57,*podéis* (poder),"*you can*
phrase: you can"


58,*mueres* (morir),"*you die*
verb: die, kill, die out"


59,*molestar*,"*annoy*
verb: disturb, bother, annoy"


60,*italiano*,"*Italian*
adjective: Italian
noun: Italian"


61,*dejarla* (dejar),"*leave her*
"


62,*corazones* (corazón),"*hearts*
noun: heart, center, core"


63,*averiguarlo* (averiguar),"*find out*
"


64,*ave*,"*bird*
noun: bird, fowl"


65,*arreglarlo* (arreglar),"*fix it*
"


66,*advierto* (advertir),"*I warn*
verb: warn, notice, note"


67,*vendiendo* (vender),"*selling*
verb: sell, market, trade"


68,*pública* (público),"*public*
adjective: public, open, overt"


69,*monje*,"*monk*
noun: monk, conventual, Cistercian"


70,*jugamos* (jugar),"*let's play*
verb: play, gamble, play around"


71,*hablarme* (hablar),"*Talk to me*
"


72,*escoger*,"*choose*
verb: choose, pick, select"


73,*andas* (andar),"*you walk*
noun: bier"


74,*ví* (ver),"*saw*
verb: see, view, watch"


75,*pico*,"*beak*
noun: peak, beak, spout"


76,*llevé* (llevar),"*I carried*
verb: carry, take, bring"


77,*entro* (entrar),"*I enter*
verb: enter, get in, come in"


78,*tenias* (tener),"*you had*
noun: tapeworm"


79,*priorato*,"*priory*
noun: priory, priorate, priorship"


80,*perdemos* (perder),"*we lose*
verb: lose, miss, waste"


81,*industria*,"*industry*
noun: industry, trade"


82,*cretino*,"*cretin*
noun: cretin
adjective: cretinous"


83,*cafetería*,"*café*
noun: cafeteria, cafe, coffee shop"


84,*cabaña*,"*cabin*
noun: cabin, cottage, cabana"


85,*aparecer*,"*appear*
verb: appear, show, show up"


86,*tradición*,"*tradition*
noun: tradition, custom, usage"


87,*suelto* (suelto soltar),"*loose*
adjective: loose, free, single
noun: change, item, paragraph"


88,*publicidad*,"*advertising*
noun: advertising, publicity, commercial"


89,*pares* (parar par),"*peers*
noun: pair, couple, par
adjective: even, equal, like"


90,*oídos* (oído),"*ears*
noun: ear, hearing"


91,*medida* (medida medir),"*extent*
noun: measure, measurement, action"


92,*japoneses* (japonés),"*japanese*
adjective: Japanese, Nipponese
noun: Japanese, Nipponese, nip"


93,*dieta*,"*diet*
noun: diet"


94,*capa*,"*layer*
noun: layer, capa, coat"


95,*vendrás* (venir),"*you will come*
verb: come, come round, come through"


96,*sincronizado* (sincronizado sincronizar),"*synchronized*
verb: synchronize, time"


97,*historial*,"*record*
noun: record, background
adjective: historical, historic"


98,*guión*,"*script*
noun: script, hyphen, screenplay"


99,*enano*,"*dwarf*
noun: dwarf, midget, pygmy
adjective: dwarfish, stunted"


