,Spanish,Quizlet
50,*aire*,"*air*
noun: air, wind, midair"


51,*mató* (matar),"*killed*
verb: kill, slay, murder"


52,*regresar*,"*go back*
verb: return, go back, come back"


53,*vio* (ver),"*saw*
verb: see, view, watch"


54,*hazlo* (hacer),"*do it*
"


55,*trasero*,"*rear*
adjective: rear, back, rearward
noun: rear, bottom, backside"


56,*grupo*,"*cluster*
noun: group, band, set"


57,*entendido* (entender),"*understood*
adjective: understood, agreed, knowledgeable
noun: expert, connoisseur"


58,*señorita*,"*Miss*
noun: miss, mademoiselle, missy
abbreviation: Ms."


59,*música*,"*music*
noun: music"


60,*perra*,"*bitch*
noun: bitch, slut"


61,*conoce* (conocer),"*known*
verb: know, meet, learn"


62,*empezar*,"*begin*
verb: start, begin, get
phrase: start the ball rolling"


63,*siente* (sentir sentar),"*feel*
verb: feel, sense, regret"


64,*acabo* (acabar),"*just*
verb: end, finish, complete"


65,*estúpido*,"*idiot*
adjective: stupid, idiotic, asinine
noun: idiot, bonehead, coot"


66,*diferente*,"*different*
adjective: different, distinct, various"


67,*traje* (traer traje),"*suit*
noun: suit, costume, outfit"


68,*modo*,"*mode*
noun: mode, way, manner"


69,*encontré* (encontrar),"*I found*
verb: find, meet, encounter"


70,*mensaje*,"*message*
noun: message, dispatch, despatch"


71,*llamada* (llamada llamar),"*call*
noun: call, appeal, ring"


72,*navidad*,"*Christmas*
noun: Christmas, Xmas, Nativity"


73,*eras* (ser),"*ages*
verb: be, come, come of"


74,*pena* (pena penar),"*grief*
noun: penalty, pain, sorrow"


75,*largo* (largo largar),"*long*
adjective: long, lengthy, dilatory
noun: length, largo"


76,*entra* (entrar),"*enters*
verb: enter, get in, come in"


77,*piso* (piso pisar),"*floor*
noun: floor, flat, flooring"


78,*foto*,"*photo*
noun: photo, shot, snapshot
abbreviation: phot"


79,*dijeron* (decir),"*they said*
verb: say, tell, speak"


80,*médico*,"*doctor*
noun: doctor, physician, medico
adjective: medical, medic"


81,*accidente*,"*accident*
noun: accident, wreck, mishap"


82,*fuiste* (ir ser),"*you were*
verb: be, come, come of"


83,*imposible*,"*impossible*
adjective: impossible, hopeless"


84,*podríamos* (poder),"*we could*
verb: be able to, can, may"


85,*línea*,"*line*
noun: line, cable, cord"


86,*propia* (propio),"*own*
adjective: own, proper, individual"


87,*barco*,"*ship*
noun: boat, ship, vessel"


88,*ganar*,"*gain*
verb: win, earn, gain"


89,*normal*,"*normal*
adjective: normal, regular, ordinary"


90,*segundos* (segundo),"*seconds*
adjective: second, second-best
noun: second, second best"


91,*vive* (vivir),"*lives*
verb: live, live on, reside"


92,*mitad*,"*half*
noun: half, middle, moiety"


93,*quiera* (querer),"*want*
interjection: As you please!"


94,*tras*,"*after*
preposition: after, behind, beyond
noun: backside"


95,*decirle* (decir),"*tell him*
"


96,*lindo*,"*nice*
adjective: cute, nice, beautiful"


97,*funciona* (funcionar),"*works*
verb: work, function, run"


98,*programa*,"*program*
noun: program, schedule, show"


99,*vine* (venir),"*came*
verb: come, come round, come through"


