,Spanish,Quizlet
50,*darán* (dar),"*they will give*
verb: give, yield, lend"


51,*ingleses* (inglés),"*English*
adjective: English
noun: English, Englishman, Sassenach"


52,*usas* (usar),"*you use*
verb: use, wear, utilize"


53,*ruedas* (rueda),"*wheels*
noun: wheel"


54,*prácticamente*,"*practically*
adverb: practically, virtually"


55,*orejas* (oreja),"*ears*
noun: ears"


56,*golpeó* (golpear),"*hit*
noun: knocking, batting"


57,*costado* (costado costar),"*side stand*
noun: side, flank, broadside"


58,*conducta*,"*conduct*
noun: conduct, behavior, demeanor"


59,*toman* (tomar),"*they take*
verb: take, have, drink"


60,*suban* (subir),"*go up*
verb: upload, rise, go up"


61,*médica* (médica médico),"*medical*
noun: lady-doctor"


62,*manzana*,"*apple*
noun: apple, block, square"


63,*escuadrón*,"*squadron*
noun: squadron, troop"


64,*reconozco* (reconocer),"*I recognize*
verb: recognize, acknowledge, admit"


65,*ordenes* (orden),"*orders*
verb: order, sort, arrange"


66,*gallina*,"*hen*
noun: hen, chicken, fowl
adjective: chicken-hearted"


67,*cambiando* (cambiar),"*Changing*
verb: change, switch, shift"


68,*borde*,"*edge*
noun: edge, border, rim"


69,*ataques* (ataque),"*attacks*
noun: attack, strike, assault"


70,*actual*,"*current*
adjective: present, actual, existing"


71,*pecados* (pecado),"*sins*
noun: sin, sinfulness, trespass"


72,*invito* (invitar),"*invite*
verb: invite, ask, invite over"


73,*inconsciente*,"*unconscious*
adjective: unconscious, unaware, senseless"


74,*bastardos* (bastardo),"*bastards*
adjective: bastard, misbegotten, baseborn
noun: bastard"


75,*abrió* (abrir),"*Opened*
verb: open, open up, start"


76,*oyeron* (oír),"*they heard*
verb: hear, listen, overhear"


77,*intentaba* (intentar),"*tried*
verb: try, attempt, intend"


78,*cuartel*,"*barracks*
noun: barracks, quarter, hootch"


79,*consciente*,"*aware*
adjective: aware, conscious"


80,*tranquilízate* (tranquilizar),"*calm down*
"


81,*suyos* (suyo),"*his*
pronoun: his, yours, theirs"


82,*residencia*,"*home*
noun: residence, residency, home"


83,*máxima* (máximo),"*maximum*
noun: maxim"


84,*llevarla* (llevar),"*take her*
"


85,*grasa*,"*fat*
noun: fat, grease"


86,*células* (célula),"*cells*
noun: cell, cellule"


87,*retrocedan* (retroceder),"*back off*
verb: back, go back, move back"


88,*recepción*,"*reception*
noun: reception, receipt, receiving"


89,*medicinas* (medicina),"*medicines*
noun: medicine, medicament, mixture"


90,*explotar*,"*blow*
verb: exploit, explode, operate"


91,*corona*,"*crown*
noun: crown, corona, wreath"


92,*callate* (callar),"*be quiet*
interjection: Shut up!, Be quiet!, Keep quiet!"


93,*calidad*,"*quality*
noun: quality, grade, rank"


94,*ayúdeme* (ayudar),"*Help me*
interjection: Help me!"


95,*asesina* (asesina asesino asesinar),"*murderess*
noun: murderess"


96,*absurdo*,"*absurd*
adjective: absurd, preposterous, silly
noun: absurdity, blether"


97,*revés*,"*reverse*
noun: reverse, setback, backhand"


98,*producto*,"*product*
noun: product, produce, proceeds"


99,*encontrarla* (encontrar),"*find her*
"


