,Spanish,Quizlet
47,*constante*,"*constant*
adjective: constant, continual, regular
noun: constant"


48,*bebes* (beber),"*you drink*
verb: drink, imbibe, booze"


49,*sesos* (seso),"*brains*
noun: brains, pate"


50,*seriamente*,"*seriously*
adverb: seriously, thoughtfully"


51,*regresemos* (regresar),"*let's go back*
verb: return, go back, come back"


52,*protegiendo* (proteger),"*protecting*
verb: protect, safeguard, secure"


53,*muralla*,"*Wall*
noun: wall, rampart, battlement"


54,*meterse* (meter),"*get into*
verb: get into, jump on"


55,*lleves* (llevar),"*take*
verb: carry, take, bring"


56,*inténtalo* (intentar),"*Try it*
"


57,*huye* (huir),"*flees*
verb: escape, run away, run"


58,*embarazo* (embarazo embarazar),"*pregnancy*
noun: pregnancy"


59,*debimos* (deber),"*we should have*
verb: must, owe, job"


60,*cuartos* (cuarto),"*rooms*
adjective: fourth
noun: fourth, room, quarter"


61,*copas* (copa),"*glasses*
noun: hearts"


62,*rehén*,"*hostage*
noun: hostage, pawn"


63,*pisos* (piso),"*floors*
noun: floor, flat, flooring"


64,*persiguiendo* (perseguir),"*chasing*
verb: pursue, chase, persecute"


65,*milagros* (milagro Milagros),"*miracles*
noun: miracle, wonder"


66,*horror*,"*horror*
noun: horror, terror, dread"


67,*emocional*,"*emotional*
adjective: emotional"


68,*comedor*,"*dining room*
noun: dining room, diner, dining hall"


69,*busqué* (buscar),"*I searched*
verb: search, search for, look"


70,*buscarme* (buscar),"*look for me*
"


71,*tumbas* (tumba tumbar),"*graves*
noun: tomb, grave"


72,*subtitulado*,"*Subtitled*
verb: subtitle"


73,*plazo*,"*term*
noun: term, time limit, date"


74,*pesca* (pesca pescar),"*fishing*
noun: fishing, catch"


75,*muertas* (muerto morir),"*dead*
adjective: dead, deceased, lifeless"


76,*mantenerlo* (mantener),"*keep it*
"


77,*llamaremos* (llamar),"*we will call*
verb: call, get, knock"


78,*litros* (litro),"*liters*
noun: liter, litre"


79,*horribles* (horrible),"*horrible*
adjective: horrible, awful, hideous"


80,*deudas* (deuda),"*debts*
noun: liabilities"


81,*detiene* (detener),"*stops*
verb: stop, halt, arrest"


82,*compraste* (comprar),"*you bought*
verb: buy, purchase, get"


83,*comisaría*,"*Police station*
noun: commissariat"


84,*verlas* (ver),"*see them*
"


85,*vé* (ver),"*go*
interjection: Cave!"


86,*vago* (vago vagar),"*lazy*
adjective: vague, faint, shadowy
noun: slacker, loafer, tramp"


87,*unica* (único),"*only*
"


88,*radiación*,"*radiation*
noun: radiation"


89,*múltiples* (múltiple),"*multiple*
adjective: multiple, manifold, multifarious"


90,*muchísimas* (muchísimo mucho),"*very many*
"


91,*equivoca* (equivocar),"*wrong*
adjective: mistaken, equivocal, ambiguous"


92,*cuya* (cuyo),"*whose*
"


93,*cortinas* (cortina),"*curtains*
noun: drape"


94,*tenerla* (tener),"*have it*
"


95,*tapa* (tapa tapar),"*top*
noun: cover, lid, top"


96,*sorpresas* (sorpresa),"*surprises*
noun: surprise"


97,*respiro* (respiro respirar),"*respite*
noun: respite, reprieve, lull"


98,*queja* (queja quejar),"*complaint*
noun: complaint, grievance, gripe"


99,*preguntarme* (preguntar),"*ask me*
"


