,Spanish,Quizlet
49,*nena*,"*chick*
noun: baby, babe, tot"


50,*servicio*,"*service*
noun: service, duty, serving"


51,*tren*,"*train*
noun: train"


52,*bonito*,"*pretty*
adjective: nice, beautiful, pretty"


53,*mes*,"*month*
noun: month
abbreviation: MO, mth"


54,*tendrá* (tener),"*will have*
verb: have, keep, own"


55,*tendrás* (tener),"*you will have*
verb: have, keep, own"


56,*edad*,"*age*
noun: age, years, time"


57,*ellas*,"*they*
pronoun: they"


58,*hermosa* (hermoso),"*beautiful*
adjective: beautiful, handsome, lovely"


59,*honor*,"*honor*
noun: honor, credit, privilege"


60,*simplemente*,"*simply*
adverb: simply, merely, plainly"


61,*llamas* (llamar llama),"*calls*
noun: lights"


62,*tengas* (tener),"*have*
verb: have, keep, own"


63,*corre* (correr),"*runs*
verb: run, flow, hurry"


64,*baja* (bajo baja),"*low*
noun: drop"


65,*sol*,"*sun*
noun: sun, sunshine, sol"


66,*siéntate* (sentar),"*Sit down*
"


67,*dan* (dar),"*give*
verb: give, yield, lend"


68,*humano*,"*human*
adjective: human, humane
noun: human"


69,*divertido* (divertido divertir),"*fun*
adjective: funny, amusing, amused"


70,*sexo*,"*sex*
noun: sex, gender"


71,*vuelto* (vuelto volver),"*turned*
adjective: turned
noun: change"


72,*peligro* (peligro peligrar),"*danger*
noun: danger, hazard, peril"


73,*mesa*,"*table*
noun: table, board, bureau"


74,*siguiente*,"*following*
adjective: following, after, incoming"


75,*hablo* (hablar),"*speak*
verb: talk, speak, chat"


76,*disculpa* (disculpa disculpar),"*sorry*
noun: apology, excuse, exculpation"


77,*decirme* (decir),"*tell me*
"


78,*caja*,"*box*
noun: box, case, cash"


79,*negocios* (negocio negociar),"*business*
noun: business, affairs"


80,*misión*,"*mission*
noun: mission, task, assignment"


81,*silencio*,"*silence*
noun: silence, quiet, hush"


82,*sale* (salir),"*comes out*
verb: leave, get out, go out"


83,*llegado* (llegar),"*arrived*
adjective: landed, immigrant, joined
noun: immigrant, invader"


84,*estaría* (estar),"*It would*
verb: be, stay, stand"


85,*regreso* (regreso regresar),"*return*
noun: return, comeback, regress"


86,*media* (media medio),"*half*
noun: average, mean, medium"


87,*estan* (estar),"*are*
verb: be, stay, stand"


88,*propio*,"*own*
adjective: own, proper, individual
noun: proper
preposition: like"


89,*oro* (oro orar),"*gold*
adjective: gold
noun: gold"


90,*enseguida*,"*right away*
adverb: immediately, promptly"


91,*linda* (lindo),"*beautiful*
adjective: cute, nice, beautiful"


92,*prometo* (prometer),"*I promise*
verb: promise, pledge, vow"


93,*esposo* (esposo esposar),"*husband*
noun: husband, spouse"


94,*norte*,"*north*
noun: north
adjective: northerly
abbreviation: N"


95,*hubo* (haber),"*was*
verb: have"


96,*juro* (jurar),"*i swear*
verb: swear, pledge, vow"


97,*muerta* (muerto morir),"*dead*
noun: dead woman"


98,*interesante*,"*interesting*
adjective: interesting, intriguing, cool"


99,*pensaba* (pensar),"*thought*
verb: think, reflect, ponder"


