,Spanish,Quizlet
49,*ofreció* (ofrecer),"*offered*
verb: offer, give, present"


50,*importaba* (importar),"*mattered*
verb: import, matter, amount to"


51,*certeza*,"*certainty*
noun: certainty, assurance, surety"


52,*actividades* (actividad),"*activities*
noun: activity, movement, briskness"


53,*vestidos* (vestido),"*dresses*
noun: clothes, garments, clothing"


54,*suele* (soler),"*usually*
verb: floor"


55,*submarino*,"*submarine*
adjective: submarine, underwater, undersea
noun: submarine"


56,*podrias* (poder),"*could you*
verb: be able to, can, may"


57,*pesa* (pesa pesar),"*weight*
noun: weight, dumbbell"


58,*judas*,"*Judas*
noun: peephole"


59,*idioma*,"*language*
noun: language, tongue, idiom"


60,*identificar*,"*identify*
verb: identify, recognize, detect"


61,*hubiéramos* (haber),"*we would have*
verb: have"


62,*cañones* (cañón),"*cannons*
noun: ordnance, cannonry"


63,*beneficios* (beneficio),"*benefits*
noun: benefit, profit, advantage"


64,*sospecha* (sospecha sospechar),"*suspicion*
noun: suspicion, hunch, odor"


65,*observación*,"*observation*
noun: observation, remark, sighting"


66,*muchachas* (muchacha),"*Girls*
noun: boy, lad, youngster"


67,*manejo* (manejo manejar),"*driving*
noun: management, handling, driving"


68,*jodiendo* (joder),"*fucking*
verb: fuck, screw, fuck up"


69,*explicarlo* (explicar),"*explain it*
"


70,*divino*,"*divine*
adjective: divine, godlike
noun: divine"


71,*divertida* (divertido divertir),"*fun*
adjective: funny, amusing, amused"


72,*despegue* (despegue despegar),"*takeoff*
noun: takeoff, blast-off"


73,*contrató* (contratar),"*contract*
noun: contract, agreement, engagement"


74,*volumen*,"*volume*
noun: volume, bulk, loudness"


75,*trabajó* (trabajar),"*job*
noun: work, job, labor"


76,*términos* (término),"*terms*
noun: determination"


77,*morirán* (morir),"*they will die*
verb: die, kill, die out"


78,*hombros* (hombro),"*shoulders*
noun: shoulder"


79,*hada*,"*fairy*
noun: fairy, sprite"


80,*alegre*,"*cheerful*
"


81,*terribles* (terrible),"*terrible*
adjective: terrible, awful, dreadful"


82,*temes* (temer),"*you fear*
verb: fear, dread, apprehend"


83,*sabiduría*,"*wisdom*
noun: wisdom, knowledge, sageness"


84,*prioridad*,"*priority*
noun: priority, precedence, preference"


85,*pluma*,"*feather*
noun: pen, feather, quill"


86,*misil*,"*missile*
noun: missile"


87,*mansión*,"*Mansion*
"


88,*detenerme* (detener),"*stop me*
"


89,*despertó* (despertar),"*woke up*
verb: wake, awaken, arouse"


90,*decírmelo* (decir),"*tell me*
"


91,*cambiará* (cambiar),"*switch to*
verb: change, switch, shift"


92,*arranca* (arrancar),"*Starts*
verb: tear, pull, pluck"


93,*alejado* (alejado alejar),"*away*
verb: move away, walk away, recede"


94,*soltero*,"*single*
adjective: single, unmarried, stag
noun: bachelor"


95,*pierden* (perder),"*lose*
verb: lose, miss, waste"


96,*mascota*,"*pet*
noun: mascot"


97,*empuja* (empujar),"*Push*
verb: push, drive, shove"


98,*dentista*,"*dentist*
noun: dentist"


99,*cogido* (cogido coger),"*caught*
adjective: taken"


