,Spanish,Quizlet
49,*asia* (Asia),"*Asia*
noun: Asia"


50,*término*,"*term*
noun: term, end, word"


51,*síndrome*,"*syndrome*
noun: syndrome"


52,*refrigerador*,"*fridge*
noun: refrigerator"


53,*ofrezco* (ofrecer),"*I offer*
verb: offer, give, present"


54,*mentiste* (mentir),"*you lied*
verb: lie, tell a lie, prevaricate"


55,*mecanismo*,"*mechanism*
noun: mechanism, machinery, device"


56,*manejarlo* (manejar),"*handle it*
"


57,*especialista*,"*specialist*
noun: specialist, expert, stuntman"


58,*dejarlos* (dejar),"*leave them*
"


59,*crucero*,"*cruise*
noun: cruise, cruiser, transept"


60,*avísame* (avisar),"*let me know*
"


61,*ardiendo* (arder),"*ablaze*
adjective: ablaze, afire
adverb: afire, alight"


62,*saludar*,"*greet*
verb: greet, salute, hail"


63,*papito* (papito papá),"*daddy*
noun: daddy"


64,*oficio*,"*job*
noun: job, office, trade"


65,*metieron* (meter),"*they put*
verb: put, insert, place"


66,*estadounidenses* (estadounidense),"*Americans*
"


67,*divertirnos* (divertir),"*have fun*
"


68,*cuentan* (contar),"*count*
verb: count, tell, reckon"


69,*toneladas* (tonelada),"*tons*
noun: ton, tonne"


70,*tobillo*,"*ankle*
noun: ankle"


71,*técnico*,"*technical*
adjective: technical
noun: technician, expert, repairman"


72,*saudita* (Arabia Saudita),"*saudi*
"


73,*salvador*,"*savior*
noun: savior, rescuer, saver"


74,*sabré* (saber),"*i will know*
verb: know, realize, taste"


75,*presta* (prestar),"*lend*
verb: lend, give, render"


76,*ordenar*,"*order*
verb: order, sort, arrange"


77,*naciste* (nacer),"*you were born*
verb: be born, rise, come into being"


78,*mostró* (mostrar),"*He showed*
verb: show, display, exhibit"


79,*moderna* (moderno),"*modern*
adjective: modern, hip, up-to-date"


80,*mito*,"*myth*
noun: myth, legend, tale"


81,*juramento*,"*oath*
noun: oath, vow, sacrament"


82,*garras* (garra),"*claws*
noun: claws, jaws, grasp"


83,*consejero*,"*adviser*
noun: counselor, adviser, councilor"


84,*confusión*,"*confusion*
noun: confusion, turmoil, mess"


85,*aguarda* (aguardar),"*wait*
verb: wait, await, expect"


86,*vuestras* (vuestro),"*your*
pronoun: your"


87,*ventas* (venta),"*sales*
noun: sale, sales, disposal"


88,*sirviente*,"*servant*
noun: servant, attendant"


89,*sierra*,"*Mountain range*
noun: saw, sierra, mountain range"


90,*serios* (serio),"*serious*
adjective: serious, earnest, severe"


91,*pónganse* (poner),"*put on*
"


92,*perderte* (perder),"*lose you*
"


93,*juegan* (jugar),"*they play*
verb: play, gamble, play around"


94,*indicado* (indicado indicar),"*indicated*
adjective: indicated, suitable, right"


95,*entrenado* (entrenado entrenar),"*trained*
adjective: trained"


96,*enteré* (enterar),"*I found out*
verb: pay, tell, become acquainted"


97,*enhorabuena*,"*Congratulations*
noun: congratulations"


98,*cuba* (Cuba),"*Cuba*
noun: tub, barrel, cask"


99,*cruce* (cruce cruzar),"*crossing*
noun: crossing, cross, junction"


