,Spanish,QuizletFinal
27,*cuándo*,"*when*
interjection: When?.
Cuándo vas a la playa? - When are you going to the beach?"


28,*pequeño*,"*little*
adjective: small, little, short
noun: child, dwarf, juniper.
""Él es un pequeño niño"" - He is a little boy."


29,*algunos* (alguno),"*some*
adjective: some, few
pronoun: some
adverb: a few.
Algunos estudiantes salieron temprano de la clase. - Some students left class early."


30,*conozco* (conocer),"*know*
verb: know, meet, learn.
Conozco a muchas personas. - I know many people."


31,*clase*,"*class*
noun: class, kind, sort.
""Ella asistió a la clase de matemáticas."" - She attended the math class."


32,*maldito*,"*damned*
adjective: damn, fucking, cursed
noun: darn.
""¡Eres un maldito mentiroso!"" - ""You are a damned liar!"""


33,*unas* (un),"*nails*
adjective: some.
Unas cuantas personas están aquí. - A few people are here."


34,*muchos* (mucho),"*many*
adjective: many, numerous
noun: many
pronoun: many
adverb: much.
Muchos amigos se reúnen para celebrar el cumpleaños.
Many friends gather to celebrate the birthday."


35,*hubiera* (haber),"*had*
verb: have.
""Hubiera podido venir, pero tenía otros planes."" - I could have come, but I had other plans."


36,*segundo*,"*second*
adjective: second, second-best
noun: second, second best
: second
abbreviation: sec
prefix: under-.
""El segundo lugar es para mí."" - The second place is for me."


37,*aunque*,"*although*
conjunction: although, though, even though.
Aunque llueva, salgo a caminar.  Although it rains, I go out for a walk."


38,*pueda* (poder),"*can*
verb: be able to, can, may.
""Pueda ayudarte con eso."" - I can help you with that."


39,*dime* (decir),"*tell me*
.
""Dime cuándo quieres salir."" - Tell me when you want to leave."


40,*igual*,"*equal*
adjective: equal, same, like
noun: equal, peer, match.
""Es igual para mí."" - It's the same for me."


41,*comida* (comida comer),"*meal*
noun: food, meal, lunch.
La comida es deliciosa. - The food is delicious."


42,*ay*,"*Oh*
.
""Ay, qué lástima!"" - Oh, what a shame!"


43,*cuerpo*,"*body*
noun: body, corps, length.
""Mi cuerpo está cansado después de un largo día."" - My body is tired after a long day."


44,*encontrar*,"*find*
verb: find, meet, encounter.
Encontré una moneda en el suelo. - I found a coin on the ground."


45,*fuerte*,"*strong*
adjective: strong, sharp, hard
noun: fort, forte, metier
adverb: sharply, stoutly.
""Él es un niño muy fuerte."" - He is a very strong boy."


46,*vuelta* (vuelta volver),"*lap*
noun: turn, return, round.
""Tomé la vuelta para ir a casa."" - I took the turn to go home."


47,*venga* (venir),"*come on*
verb: come, come round, come through.
""Venga, vamos a comer!"" - Come on, let's go eat!"


48,*creer*,"*believe*
verb: believe, think, trust.
Creo que tengo la solución. - I believe I have the solution."


49,*realidad*,"*reality*
noun: reality, fact, actuality.
""La realidad es que no hay nada más importante que la familia."" - The reality is that there is nothing more important than family."


50,*saben* (saber),"*they know*
verb: know, realize, taste.
""Ellos saben la verdad"" - They know the truth."


51,*puta*,"*bitch*
noun: bitch, whore, slut.
""Eres una puta."" = ""You are a slut."""


52,*deberías* (deber),"*you should*
verb: must, owe, job.
Deberías salir a caminar. - You should go for a walk."


53,*pregunta* (pregunta preguntar),"*ask*
noun: question, inquiry, query.
La pregunta es ¿cuándo? - The question is when?"


54,*fui* (ir ser),"*I was*
verb: be, come, come of.
Fui al parque. - I went to the park."


55,*cuatro*,"*four*
noun: four
: four.
""Tengo cuatro gatos."" - I have four cats."


56,*sra* (señora),"*mrs*
abbreviation: Mrs., Ms..
La Sra. Gómez es una maestra muy amable.

Mrs. Gomez is a very kind teacher."


57,*primer* (primero),"*first*
adjective: first, former.
""Mi primer regalo fue una bicicleta."" - My first gift was a bicycle."


58,*trabajar*,"*work*
verb: work, job, labor.
Ella trabaja en una oficina. - She works in an office."


59,*e* (y),"*and*
conjunction: and.
Ella es mi mejor amiga. - She is my best friend."


60,*hagas* (hacer),"*you do*
verb: do, make, ask.
""Hagas lo que hagas, siempre tendrás mi apoyo."" -No matter what you do, you will always have my support."


61,*alto*,"*high*
adjective: high, tall, upper
adverb: loud, aloud
noun: stop, halt, standstill.
""Él es alto y guapo."" - He is tall and handsome."


62,*maldita* (maldito),"*damned*
adjective: damn, fucking, cursed.
""Maldita sea mi suerte!"" - ""Damn my luck!"""


63,*comer*,"*eat*
verb: eat, lunch, meal.
""Él come mucho."" = He eats a lot."


64,*número*,"*number*
noun: number, issue, numeral.
""Tengo el número de teléfono de mi amigo."" - I have my friend's phone number."


65,*dar*,"*give*
verb: give, yield, lend.
""Daré un paseo esta tarde."" - I will take a walk this afternoon."


66,*necesitas* (necesitar),"*you need*
verb: need, require, take.
Necesitas un abrigo para el invierno.
You need a coat for the winter."


67,*oportunidad*,"*chance*
noun: opportunity, chance, occasion.
""Aprovecha esta oportunidad para mejorar tu situación."" - Take advantage of this opportunity to improve your situation."


68,*punto*,"*spot*
noun: point, spot, dot.
El punto es que estoy de acuerdo. - The point is that I agree."


69,*misma* (mismo),"*same*
adjective: same, very, one.
""Ella misma preparó la comida para la fiesta."" - She herself prepared the food for the party."


70,*última* (último),"*last*
noun: ultima.
La última vez que nos vimos fue hace dos años. - The last time we saw each other was two years ago."


71,*afuera*,"*outside*
adverb: outside, out, on the outside
adjective: out-of-doors.
""Ella se quedó afuera mientras yo entré."" - She stayed outside while I went in."


72,*mujeres* (mujer),"*women*
noun: women, ladies.
""Las mujeres son hermosas."" - Women are beautiful."


73,*pensar*,"*think*
verb: think, reflect, ponder.
Pienso que esto es importante. - I think this is important."


74,*fueron* (ir ser),"*were*
verb: be, come, come of.
Fueron al parque. - They went to the park."


75,*difícil*,"*difficult*
adjective: difficult, hard, tough.
Es difícil decidir qué hacer. It is difficult to decide what to do."


76,*vivir*,"*live*
verb: live, live on, reside.
Vivo en España. (I live in Spain.)"


77,*paso* (paso pasar),"*passed*
noun: step, passage, pass.
""Pasé una tarde muy agradable."" - I spent a very pleasant afternoon."


78,*malo*,"*bad*
adjective: bad, wrong, evil
noun: villain.
""Es muy malo que no sepas nada."" - It is very bad that you don't know anything."


79,*estabas* (estar),"*you were*
verb: be, stay, stand.
Estabas caminando por el parque. - You were walking through the park."


80,*vivo* (vivir vivo),"*alive*
adjective: live, alive, living.
Vivo en una ciudad pequeña. - I live in a small town."


81,*haga* (hacer),"*make*
verb: do, make, ask.
""Haga una buena acción hoy."" - ""Do a good deed today."""


82,*queda* (quedar),"*is left over*
verb: stay, remain, keep.
""Queda mucho por hacer"" - There is still much to do."


83,*hijos* (hijo),"*children*
noun: offspring.
Los hijos son el regalo más grande que uno puede recibir. - Children are the greatest gift one can receive."


84,*mayor*,"*elderly*
adjective: higher, major, bigger
noun: senior, elderly, elder
abbreviation: Maj..
""El mayor de los hermanos es el más responsable."" - The oldest of the siblings is the most responsible."


85,*fiesta*,"*party*
noun: party, holiday, feast.
""Vamos a la fiesta esta noche!"" - Let's go to the party tonight!"


86,*hacen* (hacer),"*do*
verb: do, make, ask.
""Ellos hacen una buena comida."" - They make good food."


87,*medio*,"*half*
noun: means, medium, half
adjective: half, average, middle
adverb: half.
""El medio ambiente es muy importante."" - The environment is very important."


88,*algunas* (alguno),"*some*
adjective: some
adverb: a few.
Algunas personas llegan tarde a la fiesta. - Some people arrive late to the party."


89,*basta* (bastar),"*Enough*
interjection: Enough!, Stop it!, Enough said!.
""Basta de discutir, no hay nada más que hablar."" Translation: ""Enough arguing, there's nothing else to talk about."""


90,*arma* (arma armar),"*weapon*
noun: weapon, arm.
""Él llevaba un arma para defenderse."" - He was carrying a weapon to defend himself."


91,*vino* (venir vino),"*came*
noun: wine, vino.
""Ella bebió un vaso de vino"", She drank a glass of wine."


92,*meses* (mes),"*months*
noun: monthes.
""Los últimos seis meses han sido difíciles."" - The last six months have been difficult."


93,*cuarto*,"*room*
adjective: fourth
noun: fourth, room, quarter
: fourth.
""Estoy limpiando mi cuarto."" - I am cleaning my room."


94,*éste* (este),"*this*
pronoun: this.
Éste es mi libro favorito. - This is my favorite book."


95,*escuela*,"*school*
noun: school, college, schoolhouse.
La escuela es un lugar donde se aprende. - School is a place where one learns."


96,*esté* (estar),"*this*
adjective: this
pronoun: this one
noun: east.
""Esté tranquilo."" - Be calm."


97,*dólares* (dólar),"*Dollars*
.
""Gasté cien dólares en un nuevo par de zapatos."" - I spent one hundred dollars on a new pair of shoes."


98,*tío*,"*uncle*
noun: uncle, guy, chap
adjective: chappy.
Mi tío es muy amable. - My uncle is very kind."


99,*posible*,"*possible*
adjective: possible, potential, likely.
""Todo es posible si trabajamos juntos."" - Everything is possible if we work together."


