,Spanish,Quizlet
48,*explosivos* (explosivo),"*explosives*
adjective: explosive, plosive
noun: explosive"


49,*colegas* (colega),"*colleagues*
noun: colleague, associate, brother"


50,*supieras* (saber),"*you knew*
verb: know, realize, taste"


51,*secretaria*,"*Secretary*
noun: receptionist"


52,*queridos* (querido querer),"*dear*
adjective: dear, darling, cherished
noun: darling, lover, love"


53,*morirás* (morir),"*you will die*
verb: die, kill, die out"


54,*cuero*,"*leather*
noun: leather, hide, skin"


55,*confesión*,"*confession*
noun: confession, admission, avowal"


56,*círculo*,"*circle*
noun: circle, ring, round"


57,*sabéis* (saber),"*you know*
verb: know, realize, taste"


58,*química*,"*chemistry*
noun: chemistry"


59,*obras* (obra obrar),"*plays*
noun: works"


60,*llores* (llorar),"*you cry*
verb: mourn, cry, weep"


61,*juegas* (jugar),"*you play*
verb: play, gamble, play around"


62,*invisible*,"*invisible*
adjective: invisible, unseen, sightless"


63,*fase*,"*phase*
noun: phase, time, lap"


64,*esconde* (esconder),"*hides*
verb: hide, conceal, stash"


65,*capitan* (capitán),"*captain*
noun: captain, skipper, commander"


66,*adulto*,"*adult*
adjective: adult, grown-up
noun: adult"


67,*vacía* (vacío),"*empty*
noun: empty"


68,*siéntense* (sentar),"*sit down*
"


69,*pastor*,"*Shepherd*
noun: pastor, shepherd, minister"


70,*llegada* (llegada llegar),"*arrival*
noun: arrival, coming, advent"


71,*gatillo*,"*trigger*
noun: trigger, pelican"


72,*debamos* (deber),"*we must*
verb: must, owe, job"


73,*teléfonos* (teléfono),"*phones*
noun: phone, telephone, blower"


74,*saqué* (sacar),"*I took out*
noun: serve, serving, server"


75,*regresará* (regresar),"*return*
verb: regress, lie back, tidy away"


76,*olvidaré* (olvidar),"*i will forget*
verb: forget, neglect, leave"


77,*límites* (límite),"*boundaries*
noun: limit, bounds, pale"


78,*jovencita*,"*young lady*
noun: lass, chick, lassie"


79,*dibujo* (dibujo dibujar),"*drawing*
noun: drawing, picture, pattern"


80,*británico*,"*British*
adjective: British, Britannic
noun: Briton"


81,*balboa*,"*balboa*
noun: balboa"


82,*psiquiatra*,"*psychiatrist*
noun: psychiatrist, alienist"


83,*objetos* (objeto),"*objects*
noun: object, purpose, thing"


84,*negociar*,"*negotiate*
verb: negotiate, bargain, deal"


85,*formar*,"*to form*
verb: form, train, shape"


86,*fiel*,"*faithful*
adjective: faithful, true, loyal
noun: pointer, churchgoer"


87,*diosa*,"*goddess*
noun: goddess"


88,*descubrió* (descubrir),"*discovered*
verb: discover, find out, uncover"


89,*ala*,"*to the*
noun: wing"


90,*abril*,"*April*
noun: April
abbreviation: Apr."


91,*saldré* (salir),"*I will go out*
verb: leave, get out, go out"


92,*mías* (mío),"*mine*
"


93,*disfruta* (disfrutar),"*enjoy*
verb: enjoy, delight, bask"


94,*atender*,"*attend*
verb: attend, serve, care"


95,*tomaremos* (tomar),"*we will take*
verb: take, have, drink"


96,*oreja*,"*ear*
noun: ear, lug, tab"


97,*necesitaremos* (necesitar),"*we will need*
verb: need, require, take"


98,*motores* (motor),"*engines*
noun: engine, motor, power unit
adjective: motor, driving, motive"


99,*intenciones* (intención),"*intentions*
noun: intention, intent, purpose"


