,Spanish,Quizlet
48,*cintas* (cinta),"*ribbons*
noun: thongs, narrow goods"


49,*agallas* (agallas agalla),"*guts*
noun: guts, spunk, pluck"


50,*vendido* (vendido vender),"*sold*
adjective: sold, out-of-print"


51,*tortura* (tortura torturar),"*torture*
noun: torture, excruciation"


52,*suéltala* (soltar),"*drop it*
"


53,*sexuales* (sexual),"*sexual*
adjective: sexual, sex, sexy"


54,*retirado* (retirado retirar),"*retired*
adjective: retired, withdrawn, disengaged
abbreviation: Ret.
noun: pensionary"


55,*reconoces* (reconocer),"*you recognize*
verb: recognize, acknowledge, admit"


56,*pudieran* (poder),"*could*
verb: be able to, can, may"


57,*desorden*,"*disorder*
noun: disorder, clutter, disarray"


58,*desarrollo* (desarrollo desarollar),"*development*
noun: development, developing, growth"


59,*abandonó* (abandonar),"*abandonment*
noun: abandonment, neglect, abandon"


60,*vodka*,"*vodka*
noun: vodka"


61,*violento*,"*violent*
adjective: violent, fierce, harsh"


62,*vestida* (vestido vestir),"*clothed*
adjective: dressed"


63,*probarlo* (probar),"*try it*
"


64,*balón*,"*ball*
noun: ball, football, basketball"


65,*población*,"*population*
noun: population, town, dwellers"


66,*pechos* (pecho),"*breasts*
noun: mammaries"


67,*ocurrirá* (ocurrir),"*will happen*
verb: occur, happen, take place"


68,*mientes* (mentir),"*you lie*
verb: lie, tell a lie, prevaricate"


69,*leal*,"*loyal*
adjective: loyal, faithful, true"


70,*jo*,"*jo*
"


71,*federación*,"*federation*
noun: federation"


72,*dí* (dar),"*gave*
interjection: Talk away!"


73,*asustaste* (asustar),"*you scared*
verb: scare, frighten, startle"


74,*apártate* (apartar),"*back off*
"


75,*vinieras* (venir),"*you came*
verb: come, come round, come through"


76,*valioso*,"*valuable*
adjective: valuable, rewarding"


77,*profesora*,"*teacher*
noun: teacher, female professor, mistress"


78,*misericordia*,"*mercy*
noun: mercy, compassion, forgiveness"


79,*mancha* (mancha manchar),"*stain*
noun: stain, spot, slick"


80,*ilusión*,"*delusion*
noun: delusion, hope, dream"


81,*habrás* (haber),"*you will have*
verb: have"


82,*golpeado* (golpear),"*struck*
adjective: kicked"


83,*generador*,"*generator*
noun: generator, power unit"


84,*empiezas* (empezar),"*you start*
verb: start, begin, get"


85,*detuvo* (detener),"*stopped*
verb: stop, halt, arrest"


86,*despedir*,"*dismiss*
verb: dismiss, sack, discharge"


87,*cuerdas* (cuerda cuerdo),"*strings*
noun: rope, string, cord"


88,*cráneo*,"*skull*
noun: skull, cranium, crania"


89,*champán*,"*champagne*
noun: champagne"


90,*cartel*,"*sign*
noun: cartel, poster, sign"


91,*campana*,"*Campaign*
noun: bell, bell jar, bell glass"


92,*vendió* (vender),"*sold*
verb: sell, market, trade"


93,*rompí* (romper),"*I broke up*
verb: break, break down, smash"


94,*revistas* (revista),"*journals*
noun: magazine, journal, review"


95,*ordena* (ordenar),"*order*
verb: order, sort, arrange"


96,*cállese* (callar),"*Shut up*
"


97,*avanzar*,"*advance*
verb: advance, move, proceed"


98,*técnicamente*,"*technically*
adverb: technically"


99,*remoto*,"*remote*
adjective: remote, far, distant
noun: faraway"


