,Spanish,Quizlet
49,*cajas* (caja),"*boxes*
noun: box, case, cash"


50,*preocupada* (preocupado preocupar),"*worried*
adjective: concerned, worried, preoccupied"


51,*matan* (matar),"*they kill*
verb: kill, slay, murder"


52,*empezando* (empezar),"*starting*
verb: start, begin, get"


53,*cabezas* (cabeza),"*heads*
noun: head, top, lead"


54,*ponerme* (poner),"*put myself*
"


55,*experto*,"*expert*
adjective: expert, skilled, experienced
noun: expert, proficient, connoisseur"


56,*océano*,"*ocean*
noun: ocean"


57,*maestra* (maestra maestro),"*teacher*
noun: mistress, female teacher, schoolmarm"


58,*pieza*,"*part*
noun: piece, part, room"


59,*cargos* (cargo),"*charges*
noun: charge, position, post"


60,*bombas* (bomba),"*bombs*
noun: pump, bomb, bombshell"


61,*alcohol*,"*alcohol*
noun: alcohol, spirit, hard drink"


62,*trataba* (tratar),"*tried*
verb: treat, process, try on"


63,*salen* (salir),"*come out*
verb: leave, get out, go out"


64,*pizza*,"*pizza*
noun: pizza"


65,*recibí* (recibir),"*I received*
noun: receipt"


66,*junta* (junta juntar),"*board*
noun: board, joint, junta"


67,*criaturas* (criatura),"*creatures*
noun: babies"


68,*apareció* (aparecer),"*appeared*
verb: appear, show, show up"


69,*actitud*,"*attitude*
noun: attitude, pose"


70,*gira* (gira girar),"*tour*
noun: tour, circuit"


71,*cristal*,"*glass*
noun: glass, crystal, pane"


72,*encuentran* (encontrar),"*find*
verb: find, meet, encounter"


73,*dejarte* (dejar),"*leave you*
"


74,*caído* (caído caer),"*fallen*
adjective: fallen, drooping, droopy"


75,*ultima* (último),"*last*
noun: ultima"


76,*sensación*,"*sensation*
noun: sensation, feeling, sense"


77,*seguido* (seguido seguir),"*Following*
adjective: continued, kept"


78,*puro*,"*pure*
adjective: pure, sheer, fresh
noun: cigar"


79,*whisky*,"*whiskey*
noun: whiskey, whisky"


80,*vernos* (ver),"*see us*
"


81,*pantalla*,"*screen*
noun: screen, shade, lampshade"


82,*bebida* (bebida beber),"*drink*
noun: drink, beverage, drinking"


83,*estudiar*,"*study*
verb: study, investigate, look at"


84,*ducha* (ducha duchar),"*shower*
noun: shower, douche, shower bath"


85,*despedido* (despedido despedir),"*fired*
adjective: dismissed, discharged"


86,*consiguió* (conseguir),"*got*
verb: get, achieve, obtain"


87,*venía* (venir),"*came*
noun: permission, salute"


88,*pagan* (pagar),"*they pay*
verb: pay, pay for, repay"


89,*discúlpame* (disculpar),"*excuse me*
"


90,*artículo*,"*article*
noun: article, item, section"


91,*aparentemente*,"*apparently*
adverb: apparently, seemingly, ostensibly"


92,*ambas* (ambos),"*both*
"


93,*trauma*,"*trauma*
noun: trauma"


94,*pusieron* (poner),"*they put*
verb: put, add, place"


95,*fiestas* (fiesta),"*parties*
noun: revels, revelry, rejoicing"


96,*contesta* (contestar),"*answer*
verb: answer, reply, write back"


97,*contenta* (contento contentar),"*happy*
adjective: happy, contented, pleased"


98,*ambiente*,"*atmosphere*
noun: environment, atmosphere, ambience
adjective: ambient"


99,*prometí* (prometer),"*i promised*
verb: promise, pledge, vow"


