,Spanish,Quizlet
50,*interno*,"*internal*
adjective: internal, inside, intern
noun: internal, intern, interior"


51,*interna* (interno internar),"*internal*
adjective: internal, inside, intern
noun: internal, intern, interior"


52,*infantil*,"*childish*
adjective: infantile, childish, childlike"


53,*españa* (España),"*Spain*
noun: Spain"


54,*diarios* (diario),"*diaries*
adjective: daily, everyday, per diem
noun: daily, journal, newspaper"


55,*combinación*,"*combination*
noun: combination, blend, scheme"


56,*acompañe* (acompañar),"*accompany*
verb: accompany, join, escort"


57,*ropas* (ropa),"*clothes*
noun: clothing, clothes, wear"


58,*pondremos* (poner),"*we will put*
verb: put, add, place"


59,*metiste* (meter),"*you put*
verb: put, insert, place"


60,*esencia*,"*essence*
noun: essence, substance, core"


61,*brillantes* (brillante),"*shiny*
adjective: bright, brilliant, shiny"


62,*bingo*,"*bingo*
noun: bingo"


63,*sordo*,"*deaf*
adjective: deaf, dull, muffled
noun: tone deaf"


64,*sacas* (sacar),"*you take out*
verb: take, get, draw"


65,*rancho*,"*Ranch*
noun: ranch"


66,*objetivos* (objetivo),"*goals*
"


67,*muebles* (mueble),"*furniture*
noun: furniture, furnishings, movables"


68,*mencionó* (mencionar),"*mentioned*
verb: mention, name, refer to"


69,*estupido* (estúpido),"*idiot*
adjective: stupid, idiotic, asinine
noun: idiot, bonehead, coot"


70,*enterado* (enterado enterar),"*aware*
adjective: knowledgeable"


71,*documento*,"*document*
noun: document, paper, record"


72,*vencer*,"*beat*
verb: overcome, beat, defeat"


73,*sintiendo* (sentir),"*feeling*
verb: feel, sense, regret"


74,*quieta* (quieto),"*still*
adjective: still, calm, quiescent"


75,*período*,"*period*
noun: period, time, term"


76,*oportunidades* (oportunidad),"*opportunities*
noun: opportunity, chance, occasion"


77,*monos* (mono),"*monkeys*
noun: ape, overalls, overall
adjective: cute, nice, lovely"


78,*mercancía*,"*commodity*
noun: commodity, ware"


79,*lastimado* (lastimado lastimar),"*hurt*
adjective: hurt, injured, lacerated"


80,*internos* (interno),"*internal*
adjective: internal, inside, intern
noun: internal, intern, interior"


81,*hueco*,"*gap*
noun: gap, hollow, hole
adjective: hollow, empty"


82,*golpea* (golpear),"*hit*
verb: hit, strike, beat"


83,*evento*,"*event*
noun: event"


84,*estudiando* (estudiar),"*studying*
verb: study, investigate, look at"


85,*elige* (elegir),"*choose*
verb: choose, select, elect"


86,*crecido* (crecido crecer),"*grown up*
adjective: grown-up, full-grown"


87,*conspiración*,"*conspiracy*
noun: conspiracy, plot"


88,*avenida*,"*avenue*
noun: avenue, boulevard, flood
abbreviation: Ave"


89,*tremendo*,"*tremendous*
adjective: tremendous, awful, terrific"


90,*tocas* (tocar),"*you touch*
verb: touch, play, perform"


91,*sabias* (sabio saber),"*did you know*
adjective: wise, sage, learned
noun: sage, savant, guru"


92,*raya* (raya rayar),"*stripe*
noun: stripe, line, streak"


93,*líos* (lío),"*trouble*
noun: mess, hassle, fuss"


94,*invitar*,"*invite*
verb: invite, ask, invite over"


95,*homicidios* (homicidio),"*homicides*
noun: homicide, murder"


96,*herramientas* (herramienta),"*tools*
noun: gear, kit, outfit"


97,*flecha*,"*arrow*
noun: arrow, dart"


98,*derrota*,"*defeat*
noun: defeat, rout, beating"


99,*cervezas* (cerveza),"*beers*
noun: beer, pint, suds"


