,Spanish,Quizlet
48,*dedicado* (dedicado dedicar),"*dedicated*
adjective: dedicated, devoted
noun: dedicator"


49,*contentos* (contento),"*happy*
adjective: happy, contented, pleased
noun: contentment, happiness"


50,*compraré* (comprar),"*I'll buy*
verb: buy, purchase, get"


51,*astuto*,"*cunning*
adjective: cunning, astute, crafty
noun: colic"


52,*antídoto*,"*antidote*
noun: antidote, antipoison"


53,*vivas* (vivir),"*alive*
verb: live, live on, reside"


54,*vano*,"*vain*
adjective: vain, wasted, empty
noun: span, bay"


55,*sajones* (sajón),"*saxons*
adjective: Saxon"


56,*raros* (raro),"*rare*
adjective: rare, unusual, odd"


57,*quemado* (quemado quemar),"*Burned*
verb: burn, burn off, scorch"


58,*promesas* (promesa),"*promises*
noun: promise, vow, undertaking"


59,*parejas* (pareja parejo),"*couples*
noun: doublet"


60,*olvidarlo* (olvidar),"*forget it*
"


61,*locales* (local),"*local*
adjective: local, vernacular
noun: local, premises"


62,*fuga*,"*drain*
noun: leakage, leak, escape"


63,*estaciones* (estación),"*seasons*
noun: station, season, resort"


64,*dispares* (disparar),"*disparate*
verb: shoot, fire, discharge"


65,*despidieron* (despedir),"*fired*
verb: dismiss, sack, discharge"


66,*asesinada* (asesinado asesinar),"*murdered*
adjective: murdered"


67,*artillería*,"*artillery*
noun: artillery, cannon, ordnance"


68,*apariencia*,"*appearance*
noun: appearance, look, semblance"


69,*advertí* (advertir),"*warned*
verb: warn, notice, note"


70,*sacarme* (sacar),"*take me out*
"


71,*pueblos* (pueblo),"*towns*
noun: people, village, town"


72,*mágico*,"*magical*
adjective: magical, magic, fairy
noun: magician"


73,*garantizo* (garantizar),"*I guarantee*
verb: guarantee, secure, assure"


74,*excusas* (excusa excusar),"*excuses*
noun: regrets"


75,*contratar*,"*hire*
verb: hire, contract, engage"


76,*candidato*,"*candidate*
noun: candidate, applicant, nominee"


77,*anteriormente*,"*previously*
adverb: previously, formerly"


78,*adicto*,"*addicted*
noun: addict, user"


79,*sello*,"*seal*
noun: seal, stamp, postage stamp"


80,*salvarlo* (salvar),"*save him*
"


81,*retrasado* (retrasado retrasar),"*delayed*
adjective: delayed, late, retarded"


82,*placas* (placa),"*plates*
noun: plate, plaque, license plate"


83,*hermosos* (hermoso),"*beautiful*
adjective: beautiful, handsome, lovely"


84,*galleta*,"*cookie*
noun: cookie, biscuit, cracker"


85,*escucharon* (escuchar),"*they heard*
verb: listen, hear, listen to"


86,*chistoso*,"*funny*
adjective: funny, facetious, comical
noun: joker, wit"


87,*anillos* (anillo),"*rings*
noun: ring, circlet"


88,*subió* (subir),"*went up*
verb: upload, rise, go up"


89,*solar*,"*solar*
adjective: solar, Sun
noun: plot, lot, building site
verb: floor"


90,*píldoras* (píldora),"*pills*
noun: pill, pellet, tablet"


91,*pásame* (pasar),"*pass me*
"


92,*juegues* (jugar),"*you play*
verb: play, gamble, play around"


93,*grito* (grito gritar),"*shout*
noun: cry, shout, yell"


94,*enseñado* (enseñado enseñar),"*taught*
adjective: taught, learned, trained"


95,*encontrarte* (encontrar),"*find you*
"


96,*descubrimiento*,"*discovery*
noun: discovery, finding, detection"


97,*consigues* (conseguir),"*you get*
verb: get, achieve, obtain"


98,*clérigo*,"*cleric*
noun: cleric, clergyman, priest"


99,*clásico*,"*classic*
adjective: classic, classical, vintage"


