,Spanish,Quizlet
49,*lindos* (lindo),"*cute*
adjective: cute, nice, beautiful"


50,*protegerte* (proteger),"*protect you*
"


51,*profundidad*,"*depth*
noun: depth, profundity, deepness"


52,*pides* (pedir),"*you ask*
verb: ask, request, ask for"


53,*permanente*,"*permanent*
adjective: permanent, standing, abiding
noun: permanent, perm, permanent wave"


54,*investigaciones* (investigación),"*research*
noun: research"


55,*cruzando* (cruzar),"*crossing*
verb: cross, walk across, traverse"


56,*comenzando* (comenzar),"*starting*
verb: start, begin, commence"


57,*atrapada* (atrapado atrapar),"*trapped*
verb: catch, trap, cop"


58,*trampas* (trampa),"*traps*
noun: skulduggery"


59,*tomemos* (tomar),"*let's take*
verb: take, have, drink"


60,*tímido*,"*shy*
adjective: shy, timid, coy"


61,*ola*,"*wave*
noun: wave, surge, snap"


62,*narices* (nariz),"*nose*
noun: nose, nozzle"


63,*diana* (diana Diana),"*Diana*
noun: bull's-eye, dartboard, reveille"


64,*presentarles* (presentar),"*introduce you*
"


65,*pasaremos* (pasar),"*we will pass*
verb: pass, go, move"


66,*observa* (observar),"*observe*
verb: observe, note, watch"


67,*nacer*,"*be born*
verb: be born, rise, come into being
phrase: see the light"


68,*mona* (mona mono),"*monkey*
noun: bow, puff"


69,*mm* (mm milímetro),"*mm*
"


70,*increíblemente*,"*incredibly*
adverb: incredibly"


71,*despegar*,"*take off*
verb: take off, lift off, detach"


72,*comentario*,"*comment*
noun: comment, commentary, remark"


73,*sufre* (sufrir),"*suffers*
verb: suffer, experience, sustain"


74,*ramera*,"*harlot*
noun: harlot, slut, trollop"


75,*perfume*,"*fragrance*
noun: perfume, scent, odor"


76,*oscura* (oscuro),"*dark*
adjective: dark, obscure, dim"


77,*olas* (ola),"*waves*
noun: surf"


78,*obligado* (obligado obligar),"*obliged*
adjective: obliged, bound, obligatory
noun: obbligato"


79,*noviembre*,"*November*
noun: November
abbreviation: N., Nov."


80,*logré* (lograr),"*I achieved*
verb: achieve, accomplish, get"


81,*llevaría* (llevar),"*would take*
verb: carry, take, bring"


82,*fallado* (fallado fallar),"*failed*
verb: fail, miss, misfire"


83,*escocia* (Escocia),"*Scotland*
noun: Scotland"


84,*destruyó* (destruir),"*He destroyed*
verb: destroy, kill, smash"


85,*conduciendo* (conducir),"*driving*
verb: lead, drive, conduct"


86,*camiseta*,"*t-shirt*
noun: vest, camisole, chemisette"


87,*venas* (vena),"*veins*
"


88,*riendo* (reír),"*laughing*
"


89,*resistir*,"*resist*
verb: resist, hold, endure"


90,*pavo*,"*turkey*
noun: turkey, turkeycock"


91,*pagué* (pagar),"*i paid*
verb: pay, pay for, repay"


92,*nieto*,"*grandson*
noun: grandson, grandchild"


93,*liberar*,"*release*
verb: liberate, set free, loose"


94,*hogares* (hogar),"*homes*
noun: home, hearth, fireplace"


95,*denle* (dar),"*give him*
"


96,*barón*,"*baron*
noun: baron"


97,*aguanto* (aguantar),"*I hold on*
verb: endure, stand, put up"


98,*vicepresidente*,"*vice president*
noun: vice-president, vice-chairman"


99,*simón* (simón Simón),"*simon*
"


