,Spanish,Quizlet
50,*ejercicios* (ejercicio),"*exercises*
noun: training, practice, drill"


51,*drogado* (drogado drogar),"*drugged*
adjective: drugged, stoned, high"


52,*cagar*,"*shit*
verb: shit, crap"


53,*traducido* (traducido traducir),"*translated*
adjective: translated"


54,*suplico* (suplicar),"*I beg*
verb: supplicate, pray, appeal"


55,*salario*,"*salary*
noun: wage, salary, wages"


56,*préstamo*,"*loan*
noun: loan, lending, borrowing"


57,*mensajero*,"*delivery courier*
noun: messenger, courier, messenger boy"


58,*granjero*,"*farmer*
noun: farmer, granger, smallholder"


59,*filosofía*,"*philosophy*
noun: philosophy"


60,*faltaba* (faltar),"*was missing*
verb: lack, fail, fall short"


61,*explosivo*,"*explosive*
adjective: explosive, plosive
noun: explosive"


62,*diagnóstico*,"*diagnosis*
noun: diagnosis, diagnostic
adjective: diagnostic"


63,*cardíaco*,"*cardiac*
adjective: cardiac"


64,*bosques* (bosque),"*forests*
noun: forest, woods, wood"


65,*acabé* (acabar),"*I finished*
verb: end, finish, complete"


66,*tomate* (tomate tomar),"*tomato*
noun: tomato"


67,*quitarle* (quitar),"*take away*
"


68,*magneto*,"*magnet*
noun: magneto"


69,*lance* (lance lanzar),"*throw*
noun: throw, affair, incident"


70,*huyó* (huir),"*fled*
verb: escape, run away, run"


71,*hilo*,"*thread*
noun: thread, yarn, strand"


72,*hablará* (hablar),"*to talk to*
verb: talk to, address"


73,*gemelos* (gemelo),"*twins*
noun: cufflinks, binoculars, glasses"


74,*eligió* (elegir),"*elected*
verb: choose, select, elect"


75,*doler*,"*to hurt*
verb: hurt, ache, pain"


76,*dificultades* (dificultad),"*difficulties*
noun: difficulties, complication"


77,*concentración*,"*concentration*
noun: concentration, centralization"


78,*artistas* (artista),"*artists*
noun: artist, performer, entertainer"


79,*aceptas* (aceptar),"*do you accept*
verb: accept, take, agree"


80,*acabando* (acabar),"*ending up*
verb: end, finish, complete"


81,*torpe*,"*clumsy*
adjective: clumsy, awkward, bumbling
noun: duffer, slowpoke, butterfingers"


82,*sobrevivientes* (sobreviviente),"*survivors*
noun: survivor
adjective: surviving"


83,*saldrás* (salir),"*you will go out*
verb: leave, get out, go out"


84,*región*,"*region*
noun: region, area, district"


85,*produce* (producir),"*produces*
verb: produce, yield, result in"


86,*post*,"*post*
"


87,*obsesionado* (obsesionado obsesionar),"*obsessed*
adjective: obsessed"


88,*descubre* (descubrir),"*discover*
verb: discover, find out, uncover"


89,*cerró* (cerrar),"*hill*
noun: hill"


90,*cayeron* (caer),"*fell*
verb: fall, drop, fall down"


91,*casé* (casar),"*I got married*
verb: marry, wed, marry off"


92,*automóvil*,"*car*
noun: automobile, car, motor
adjective: motor"


93,*atiende* (atender),"*attends*
verb: attend, serve, care"


94,*voló* (volar),"*flew*
verb: fly, blow, blow up"


95,*ruinas* (ruina ruinar),"*ruins*
noun: debris, shambles"


96,*orilla*,"*bank*
noun: shore, bank, edge"


97,*mañanas* (mañana),"*mornings*
noun: morning, tomorrow"


98,*magnífica* (magnífico),"*magnificent*
adjective: magnificent, marvelous, grand"


99,*excitante*,"*exciting*
adjective: exciting, stimulating
noun: excitant, stimulant, exciter"


