,Spanish,Quizlet
48,*parezca* (parecer),"*seem*
verb: seem, appear, look like"


49,*alegría*,"*happiness*
noun: joy, happiness, cheerfulness"


50,*territorio*,"*territory*
noun: territory"


51,*física* (física físico),"*physical*
noun: physics"


52,*escape* (escape escapar),"*exhaust*
noun: exhaust, escape, leak"


53,*tomes* (tomar),"*take*
verb: take, have, drink"


54,*excusa* (excusa excusar),"*excuse*
noun: excuse, apology, alibi"


55,*estudios* (estudio),"*studies*
noun: studies, schooling"


56,*septiembre*,"*September*
noun: September"


57,*personaje*,"*character*
noun: character, personage, very important person
abbreviation: VIP"


58,*fábrica*,"*factory*
noun: factory, plant, manufacture"


59,*elegido* (elegido elegir),"*chosen one*
adjective: elected
noun: elect"


60,*cole* (cole colegio),"*school*
verb: strain, pour, pass"


61,*tanque*,"*tank*
noun: tank, cistern"


62,*salta* (saltar),"*jump*
verb: jump, leap, hop"


63,*hablaste* (hablar),"*you spoke*
verb: talk, speak, chat"


64,*conferencia*,"*conference*
noun: conference, lecture, conference call"


65,*compromiso*,"*commitment*
noun: commitment, engagement, compromise"


66,*ayudaré* (ayudar),"*I'll help*
verb: help, assist, aid"


67,*salieron* (salir),"*They left*
verb: leave, get out, go out"


68,*rusos* (ruso),"*russians*
adjective: Russian, Soviet
noun: Russian, Soviet"


69,*parezco* (parecer),"*I look like*
verb: seem, appear, look like"


70,*llevando* (llevar),"*wearing*
verb: carry, take, bring"


71,*exterior*,"*abroad*
noun: outside, exterior, surface
adjective: outer, exterior, foreign"


72,*punta*,"*tip*
noun: tip, point, end"


73,*ponerse* (poner),"*to put on*
verb: wear, put on, become"


74,*pasen* (pasar),"*pass*
verb: pass, go, move"


75,*puerto*,"*port*
noun: port, harbor, haven"


76,*decírtelo* (decir),"*tell you*
"


77,*caro*,"*expensive*
adjective: expensive, pricey, costly
adverb: dearly, dear"


78,*asombroso*,"*amazing*
adjective: amazing, astonishing, astounding"


79,*pasara* (pasar),"*it will happen*
verb: proceed, adjourn to, foretaste"


80,*matarán* (matar),"*they will kill*
verb: kill, slay, murder"


81,*maleta*,"*suitcase*
noun: suitcase, case, baggage
adjective: ham-fisted"


82,*competencia*,"*competence*
noun: competition, competence, proficiency"


83,*canciones* (canción),"*songs*
noun: song, singing, chanson"


84,*cinturón*,"*belt*
noun: belt"


85,*papas* (papa),"*potatoes*
noun: chip"


86,*marco* (marco marcar),"*frame*
noun: framework, frame, setting"


87,*destrucción*,"*destruction*
noun: destruction, obliteration, havoc"


88,*paraíso*,"*paradise*
noun: paradise, heaven, gods"


89,*meta* (meta meter),"*goal*
noun: goal, aim, finish"


90,*alternativa* (alternativa alternativo),"*alternative*
noun: alternative, choice"


91,*socios* (socio),"*partners*
noun: partner, member, associate"


92,*alas* (ala),"*at*
noun: wing"


93,*ocasión*,"*chance*
noun: chance, occasion, time"


94,*casarme* (casar),"*get married*
"


95,*salsa*,"*dip*
noun: sauce, gravy, dressing"


96,*romano*,"*Roman*
adjective: Roman
noun: Roman, Romany, Romanes"


97,*prisioneros* (prisionero),"*prisoners*
noun: prisoner, captive, gaoler"


98,*encantan* (encantar),"*they love*
verb: love, enchant, delight"


99,*encantadora* (encantador),"*lovely*
adjective: charming, lovely, enchanting
noun: enchanter, magician"


