,Spanish,Quizlet
50,*bodas* (boda),"*wedding*
noun: wedding, marriage"


51,*seguiremos* (seguir),"*will follow*
verb: follow, continue, keep"


52,*rosas* (rosa),"*roses*
adjective: pink
noun: pink, rose"


53,*retiro* (retiro retirar),"*withdrawal*
noun: retirement, retreat, withdrawal"


54,*primeras* (primero),"*first*
noun: bottom gear"


55,*poderosa* (poderoso),"*powerful*
adjective: powerful, mighty, potent"


56,*deberia* (deber),"*ought*
auxiliary verb: should, ought"


57,*cantando* (cantar),"*singing*
verb: chant, jingle, sing"


58,*antiguos* (antiguo),"*ancient*
noun: aged"


59,*teme* (temer),"*fear*
verb: fear, dread, apprehend"


60,*síganme* (seguir),"*follow me*
"


61,*moviendo* (mover),"*moving*
verb: move, shift, shake"


62,*juventud*,"*youth*
noun: youth, youthfulness, girlhood"


63,*equivocas* (equivocar),"*you're wrong*
adjective: mistaken, equivocal, ambiguous"


64,*trabajadores* (trabajador),"*workers*
noun: workpeople"


65,*seguí* (seguir),"*I followed*
verb: follow, continue, keep"


66,*salvaste* (salvar),"*you saved*
verb: save, salvage, rescue"


67,*pulmones* (pulmón),"*lungs*
noun: lung"


68,*payaso*,"*clown*
noun: clown, buffoon"


69,*oírlo* (oír),"*hear it*
"


70,*fama*,"*fame*
noun: fame, reputation, renown"


71,*engaño* (engaño engañar),"*deception*
noun: deception, deceit, hoax"


72,*distrito*,"*district*
noun: district, section"


73,*disculparme* (disculpar),"*excuse me*
"


74,*ciudadano*,"*citizen*
noun: citizen
adjective: civic, town"


75,*robando* (robar),"*stealing*
verb: steal, rob, draw"


76,*equipaje*,"*luggage*
noun: luggage, baggage, equipment"


77,*ciencias* (ciencia),"*sciences*
noun: science, knowledge"


78,*ubicación*,"*location*
noun: location, situation, ubiety"


79,*federales* (federal),"*feds*
adjective: federal"


80,*tratamos* (tratar),"*we treat*
verb: treat, process, try on"


81,*ofrece* (ofrecer),"*offers*
verb: offer, give, present"


82,*junio*,"*June*
noun: June
abbreviation: Jun."


83,*extremadamente*,"*extremely*
adverb: extremely, exceedingly, extraordinarily"


84,*actuando* (actuar),"*acting*
verb: act, perform, play"


85,*traducción*,"*translation*
noun: translation, rendering"


86,*supiste* (saber),"*did you know*
verb: know, realize, taste"


87,*sacarlo* (sacar),"*remove it*
"


88,*preparando* (preparar),"*preparing*
verb: prepare, make, ready"


89,*letras* (letra),"*letters*
noun: letters, lettering"


90,*típico*,"*typical*
adjective: typical, especial"


91,*reserva* (reserva reservar),"*booking*
noun: reservation, booking, reserve"


92,*propuesta* (propuesta propuesto proponer),"*proposal*
noun: proposal, approach, tender"


93,*plataforma*,"*platform*
noun: platform, stage, bench"


94,*mago*,"*magician*
noun: magician, wizard, magus"


95,*linea*,"*line*
noun: line, cable, cord"


96,*dude* (dudar),"*hesitate*
verb: doubt, waver, boggle"


97,*busque* (buscar),"*I searched*
verb: search, search for, look"


98,*tabaco*,"*tobacco*
noun: tobacco, cigarette, smoke"


99,*principios* (principio),"*beginning*
noun: beginning, beginnings, values"


