,Spanish,Quizlet
48,*logró* (lograr),"*achievement*
noun: achievement, accomplishment, attainment"


49,*romántico*,"*Romantic*
adjective: romantic, sentimental, novelettish
noun: romantic, romanticist"


50,*preocuparte* (preocupar),"*worry*
"


51,*olvido* (olvido olvidar),"*forgot*
noun: oblivion, forgetfulness, omission"


52,*fascinante*,"*fascinating*
adjective: fascinating, spellbinding, enthralling"


53,*cuadro*,"*chart*
noun: picture, frame, painting"


54,*creyó* (creer),"*believed*
verb: believe, think, trust"


55,*adultos* (adulto),"*Adults*
adjective: adult, grown-up
noun: adult"


56,*wow*,"*wow*
"


57,*sobrino*,"*nephew*
noun: nephew"


58,*secuencia*,"*sequence*
noun: sequence"


59,*lleven* (llevar),"*carry*
verb: carry, take, bring"


60,*huh*,"*huh*
"


61,*entradas* (entrada entrar),"*tickets*
"


62,*decirnos* (decir),"*tell us*
"


63,*resistencia*,"*endurance*
noun: resistance, strength, endurance"


64,*llamarlo* (llamar),"*call him*
"


65,*ayudas* (ayuda ayudar),"*help*
noun: help, aid, assistance"


66,*esperanzas* (esperanza),"*hopes*
noun: hope, expectation, promise"


67,*disponible*,"*available*
adjective: available, disposable, free"


68,*civil*,"*civil*
adjective: civil, civilian
noun: civilian"


69,*caos*,"*chaos*
noun: chaos"


70,*velas* (vela),"*candles*
verb: veil, keep vigil, wake"


71,*tenerlo* (tener),"*have it*
"


72,*ponerle* (poner),"*put*
"


73,*muestras* (muestra mostrar),"*samples*
noun: sample, sign, specimen"


74,*lógica*,"*logic*
noun: logic"


75,*casualidad*,"*chance*
noun: chance, accident, coincidence"


76,*sigamos* (seguir),"*let's keep going*
verb: follow, continue, keep"


77,*rayo*,"*ray*
noun: ray, beam, thunderbolt"


78,*pato*,"*duck*
noun: duck, drake"


79,*pagado* (pagar pagado),"*paid*
adjective: paid, discharged, prepaid"


80,*máscara*,"*mask*
noun: mask, mascara, blind"


81,*gustado* (gustar),"*liked*
adjective: esteemed, lovable"


82,*buscarte* (buscar),"*look for you*
"


83,*selva*,"*jungle*
noun: jungle, forest"


84,*pm*,"*p.m*
abbreviation: p.m.
adverb: post meridiem"


85,*equivoqué* (equivocar),"*I was wrong*
"


86,*condenado* (condenado condenar),"*condemned*
adjective: condemned, convicted, doomed
noun: convicted, doom, cotton-picking"


87,*cometido* (cometer cometido),"*task*
noun: task, duty, charge
adjective: lapsed"


88,*tratan* (tratar),"*treat*
verb: treat, process, try on"


89,*pudimos* (poder),"*we could*
verb: be able to, can, may"


90,*preguntando* (preguntar),"*asking*
verb: ask, inquire, question"


91,*tragedia*,"*tragedy*
noun: tragedy, drama"


92,*poli* (poli policía),"*cop*
noun: cop, bobby"


93,*compañías* (compañía),"*companies*
noun: company, companionship, troupe"


94,*charla* (charla charlar),"*chat*
noun: chat, chatter, small talk"


95,*mete* (meter),"*put*
verb: put, insert, place"


96,*malditas* (maldito),"*damn*
adjective: damn, fucking, cursed"


97,*campos* (campo),"*fields*
noun: field, countryside, country"


98,*cadáveres* (cadáver),"*corpses*
noun: corpse, body, cadaver"


99,*básicamente*,"*basically*
"


