,Spanish,Quizlet
48,*florida* (florido),"*Florida*
noun: Florida
abbreviation: FL"


49,*tomará* (tomar),"*it will take*
verb: assume, imbed, walk off"


50,*sufrir*,"*suffer*
verb: suffer, experience, sustain"


51,*mental*,"*mental*
adjective: mental, intellectual"


52,*lograr*,"*achieve*
verb: achieve, accomplish, get"


53,*instituto*,"*Institute*
noun: institute, school, institution"


54,*serlo* (ser),"*to be*
"


55,*rapido* (rápido),"*fast*
adjective: fast, quick, rapid
noun: rapid, rapids, riffle"


56,*plato*,"*dish*
noun: dish, plate, platter"


57,*llorando* (llorar),"*crying*
adverb: in tears"


58,*vd* (usted),"*you*
pronoun: you"


59,*váyase* (ir),"*Go away*
interjection: Go away!"


60,*sucediendo* (suceder),"*happening*
verb: happen, occur, come about"


61,*robaron* (robar),"*stole*
verb: steal, rob, draw"


62,*alemania* (Alemania),"*Germany*
noun: Germany"


63,*bolas* (bola),"*balls*
noun: balls"


64,*pasaría* (pasar),"*would happen*
verb: pass, go, move"


65,*ocurra* (ocurrir),"*happen*
verb: occur, happen, take place"


66,*ilegal*,"*illegal*
adjective: illegal, unlawful, irregular"


67,*fresco*,"*cool*
adjective: fresh, cool, crisp
noun: cool, fresco, fresh air"


68,*falso*,"*fake*
adjective: false, fake, untrue
noun: dud"


69,*abogados* (abogado),"*lawyers*
noun: lawyer, attorney, counsel"


70,*tómalo* (tomar),"*take it*
"


71,*mandó* (mandar),"*command*
noun: command, leadership, rule"


72,*cuán*,"*how*
"


73,*cuales* (cual),"*which*
"


74,*botas* (bota botar),"*boots*
noun: boots"


75,*tiburones* (tiburón),"*sharks*
noun: shark"


76,*grado*,"*degree*
noun: degree, grade, extent"


77,*deseas* (desear),"*you want*
phrase: Do you need?"


78,*archivos* (archivo),"*files*
noun: records"


79,*adivina* (adivinar),"*guess*
verb: guess, divine"


80,*cruz*,"*cross*
noun: cross, tails, rood"


81,*campaña*,"*Campaign*
noun: campaign, countryside, crackdown"


82,*asustada* (asustado asustar),"*scared*
verb: scare, frighten, startle"


83,*centavos* (centavo),"*cents*
noun: penny, cent, copper"


84,*vivimos* (vivir),"*we live*
verb: live, live on, reside"


85,*galletas* (galleta),"*cookies*
noun: cookies"


86,*frecuencia*,"*frequency*
noun: frequency, incidence, prevalence"


87,*daños* (daño),"*damage*
"


88,*minas* (mina),"*mines*
noun: mine, quarry, pit"


89,*emociones* (emoción),"*emotions*
noun: emotion, excitement, thrill"


90,*dejará* (dejar),"*will leave*
verb: vacate"


91,*regresó* (regresar),"*return*
noun: return, comeback, regress"


92,*ratas* (rata),"*rats*
noun: rat"


93,*pasión*,"*passion*
noun: passion, heat, fervor"


94,*hacerse* (hacer),"*to be made*
verb: become, get, go"


95,*comportamiento*,"*behavior*
noun: behavior, conduct, demeanor"


96,*pense* (pensar),"*I thought*
verb: think, reflect, ponder"


97,*conocimiento*,"*knowledge*
noun: knowledge, awareness, knowing"


98,*sales* (salir),"*you go out*
noun: salts"


99,*fiscal*,"*fiscal*
adjective: fiscal, tax, financial
noun: fiscal, prosecutor, public prosecutor"


