,Spanish,Quizlet

51,*levanta* (levantar),"*Raise*
verb: lift, raise, pick up"


52,*complicado* (complicado complicar),"*complicated*
adjective: complicated, complex, elaborate"


53,*superior*,"*superior*
adjective: top, upper, higher
noun: superior, better"


54,*sugiero* (sugerir),"*I suggest*
verb: suggest, prompt, come up with"


55,*familias* (familia),"*families*
noun: family, household, kin"


56,*dirá* (decir),"*will tell*
verb: say, tell, speak"


57,*pienses* (pensar),"*think*
verb: think, reflect, ponder"


58,*temporada*,"*season*
noun: season, time, spell"


59,*suelta* (suelto soltar),"*loose*
adjective: loose, free, single"


60,*corran* (correr),"*run*
verb: run, flow, hurry"


61,*propios* (propio),"*own*
adjective: own, proper, individual"


62,*feo*,"*ugly*
adjective: ugly, unsightly, nasty"


63,*dispuesto* (dispuesto disponer),"*willing*
adjective: ready, disposed, prepared
adverb: all set"


64,*ayúdenme* (ayudar),"*help me*
"


65,*teoría*,"*theory*
noun: theory"


66,*salvaje*,"*wild*
adjective: wild, savage, feral
noun: savage"


67,*negativo*,"*negative*
adjective: negative, adverse, minus
noun: negative"


68,*íbamos* (ir),"*we were going*
verb: go, be, head"


69,*hubieran* (haber),"*they would have*
verb: have"


70,*tripulación*,"*crew*
noun: crew, aircrew, ship's company"


71,*taza*,"*cup*
noun: cup, bowl, cuppa"


72,*perdida* (perdido perder),"*loss*
noun: loss, waste, leak"


73,*vinieron* (venir),"*they came*
verb: come, come round, come through"


74,*ponen* (poner),"*put*
verb: put, add, place"


75,*pasamos* (pasar),"*we passed*
verb: pass, go, move"


76,*parecido* (parecido parecer),"*similar*
adjective: like, similar, alike
adverb: like
noun: resemblance, similarity, likeness"


77,*acepto* (aceptar),"*I agree*
verb: accept, take, agree"


78,*gay*,"*gay*
"


79,*señoras* (señora),"*ladies*
noun: ladies"


80,*quedaré* (quedar),"*I will stay*
verb: stay, remain, keep"


81,*parada* (parada parar),"*stop*
noun: stop, stopping, stand"


82,*niñas* (niña),"*girls*
noun: child, kid, boy"


83,*conseguí* (conseguir),"*got*
verb: get, achieve, obtain"


84,*acabamos* (acabar),"*we finish*
verb: end, finish, complete"


85,*normalmente*,"*usually*
adverb: normally, as a rule"


86,*muchísimo* (muchísimo mucho),"*very much*
adverb: lot, very much, a great deal"


87,*bruja*,"*witch*
noun: witch, sorceress, hag"


88,*vegas* (vega),"*vegas*
noun: bottom"


89,*tuvieron* (tener),"*they had*
verb: have, keep, own"


90,*traigo* (traer),"*I bring*
verb: bring, bring in, get"


91,*matará* (matar),"*will kill*
verb: fuse, fuze"


92,*funeral*,"*funeral*
noun: funeral"


93,*conseguiste* (conseguir),"*you got*
verb: get, achieve, obtain"


94,*teatro*,"*theater*
noun: theater, stage, playhouse"


95,*medianoche*,"*midnight*
noun: midnight, noontide"


96,*biblioteca*,"*library*
noun: library"


97,*estemos* (estar),"*we are*
verb: be, stay, stand"


98,*túnel*,"*tunnel*
noun: tunnel"


99,*encargo* (encargo encargar),"*charge*
noun: charge, order, commission"


