,Spanish,Quizlet
51,*sueño* (sueño soñar),"*dream*
noun: dream, sleep, sleeping"


52,*quisiera* (querer),"*I'd like*
verb: want, love, wish"


53,*habría* (haber),"*there would be*
verb: have"


54,*hará* (hacer),"*will*
verb: do, make, ask"


55,*viaje* (viaje viajar),"*journey*
noun: trip, travel, journey"


56,*probablemente*,"*probably*
adverb: probably, likely, possibly"


57,*resto*,"*rest*
noun: rest, remainder, debt
adjective: leftover"


58,*estaré* (estar),"*I will be*
verb: be, stay, stand"


59,*maldición*,"*curse*
noun: curse, malediction, damn"


60,*lamento* (lamento lamentar),"*lament*
noun: lament, wail, plaint"


61,*muchacho*,"*young guy*
noun: boy, lad, youngster"


62,*avión*,"*plane*
noun: plane, aircraft, airplane"


63,*ropa*,"*clothes*
noun: clothing, clothes, wear"


64,*fuerza* (fuerza forzar),"*force*
noun: force, strength, power"


65,*llamado* (llamado llamar),"*called*
adjective: called, so-called"


66,*oído* (oído oír),"*ear*
noun: ear, hearing"


67,*dado* (dado dar),"*given*
adjective: given
noun: die, dice"


68,*encima*,"*on*
adverb: above, over, atop
preposition: at top of"


69,*negro*,"*black*
adjective: black, dark, raven
noun: black, ebony, gloom"


70,*usar*,"*wear*
verb: use, wear, utilize"


71,*información*,"*information*
noun: information, data, intelligence"


72,*uds* (ustedes),"*You*
pronoun: you"


73,*preguntas* (preguntar pregunta),"*questions*
noun: questioning"


74,*tuvo* (tener),"*had*
verb: have, keep, own"


75,*secreto*,"*secret*
adjective: secret, covert, private
noun: secret, secrecy, hugger-mugger"


76,*vuelve* (volver),"*comes back*
verb: return, go back, come back"


77,*miren* (mirar),"*look*
verb: look, look at, watch"


78,*quieras* (querer),"*you want*
verb: want, love, wish"


79,*haría* (hacer),"*would do*
verb: do, make, ask"


80,*acaba* (acabar),"*just*
verb: end, finish, complete"


81,*otras* (otro),"*others*
adjective: other, another, another one"


82,*incluso*,"*even*
adverb: even, actually
preposition: including
abbreviation: inc."


83,*sientes* (sentir sentar),"*you feel*
verb: feel, sense, regret"


84,*deberíamos* (deber),"*we should*
verb: must, owe, job"


85,*haz* (hacer haz),"*beam*
noun: beam, bundle, face"


86,*decirte* (decir),"*tell you*
"


87,*boca*,"*mouth*
noun: mouth, pit"


88,*dolor*,"*pain*
noun: pain, grief, sorrow"


89,*baño* (baño bañar),"*bathroom*
noun: bath, toilet, washroom"


90,*adentro*,"*inside*
adverb: in, indoors
preposition: in
adjective: inward"


91,*profesor*,"*teacher*
noun: teacher, professor, lecturer"


92,*habitación*,"*room*
noun: room, habitation, accommodation"


93,*daño* (daño dañar),"*damage*
noun: damage, hurt, harm"


94,*tuyo*,"*yours*
pronoun: yours, thine"


95,*seas* (ser),"*be*
verb: be, come, come of"


96,*noticias* (noticia),"*news*
noun: news, information, tidings"


97,*demás*,"*the rest*
noun: the rest"


98,*querido* (querido querer),"*darling*
adjective: dear, darling, cherished
noun: darling, lover, love"


99,*duro* (duro durar),"*hard*
adjective: hard, tough, harsh
adverb: rough
noun: die-hard, hard-liner"


