,Spanish,QuizletFinal
28,*parte* (partir parte),"*part*
noun: part, party, portion
pronoun: some.
La parte más difícil fue cuando tuvimos que mudarnos. - The hardest part was when we had to move."


29,*haber*,"*to have*
verb: have
noun: assets, havings.
""Habían estado allí antes."" - They had been there before."


30,*hombres* (hombre),"*men*
noun: men, menfolk.
Los hombres están trabajando afuera. - The men are working outside."


31,*problema*,"*problem*
noun: problem, issue, trouble.
""Tengo un problema con mi computadora."" - I have a problem with my computer."


32,*mas*,"*further*
adjective: more, most, plus
adverb: more, most, other
noun: more, plus
suffix: most.
""Siempre quiero más."" - I always want more."


33,*saber*,"*know*
verb: know, realize, taste
noun: knowledge, learning, wit.
""No sé cómo hacerlo"" - I don't know how to do it."


34,*quería* (querer),"*wanted to*
auxiliary verb: would.
Quería salir a caminar. - I wanted to go for a walk."


35,*aún*,"*still*
adverb: even, yet, still.
Aún no hemos terminado el proyecto. - We still haven't finished the project."


36,*veces* (vez),"*times*
noun: times.
""A veces me siento triste"" - ""Sometimes I feel sad"""


37,*nuestra* (nuestro),"*our*
.
Nuestra casa está muy bonita. - Our house is very nice."


38,*hacerlo* (hacer),"*do it*
.
""Voy a hacerlo mañana."" - I'm going to do it tomorrow."


39,*cada*,"*each*
adjective: each, every
pronoun: each, every.
Cada día trabajo duro. - I work hard every day."


40,*hizo* (hacer),"*did*
verb: do, make, ask.
""Él hizo su tarea."" - He did his homework."


41,*veo* (ver),"*I see*
verb: see, view, watch.
Veo una ardilla en el árbol. - I see a squirrel in the tree."


42,*tanto*,"*so much*
adverb: so, how
adjective: such
noun: point, score, touchdown.
Tanto tiempo hemos estado esperando. - We have been waiting for so long."


43,*razón*,"*reason*
noun: reason, ratio, rate.
""La razón por la que estoy aquí es para aprender español."" - The reason I am here is to learn Spanish."


44,*ustedes* (usted),"*you*
pronoun: you.
Ustedes son muy inteligentes. - You all are very intelligent."


45,*idea*,"*idea*
noun: idea, thought, concept.
La idea es que salgamos temprano. - The idea is that we leave early."


46,*esos* (eso),"*those*
adjective: those.
Esos son mis libros. - Those are my books."


47,*van* (ir),"*go*
verb: go, be, head.
Ellos van al parque. - They are going to the park."


48,*quizá*,"*maybe*
interjection: Wonder!.
Quizá me gustaría ir al cine esta noche. - Perhaps I would like to go to the movies tonight."


49,*debo* (deber),"*I must*
verb: must, owe, job.
Debo ir a la escuela. - I must go to school."


50,*alguna* (alguno),"*some*
pronoun: any.
""¿Tienes alguna pregunta?"" - Do you have any questions?"


51,*cierto*,"*TRUE*
adjective: certain, sure, definite
adverb: in the bag.
""Es cierto que tengo que hacer mi tarea antes de salir."" - It is true that I have to do my homework before leaving."


52,*ud* (usted),"*You*
pronoun: you.
""¿Cómo está Ud.?"" - ""How are you?"""


53,*muerto* (muerto morir),"*dead*
adjective: dead, deceased, lifeless
noun: dead, dead man, deceased.
""El perro estaba muerto cuando llegamos."" - The dog was dead when we arrived."


54,*unos* (un),"*some*
adverb: about, some
adjective: few, some
pronoun: some.
""Ella compró unos libros."" - She bought some books."


55,*estos* (este),"*these*
adjective: these
pronoun: these, these ones.
Estos son mis libros. - These are my books."


56,*salir*,"*go out*
verb: leave, get out, go out.
Salí a caminar con mis amigos. - I went out for a walk with my friends."


57,*policía*,"*police*
noun: police, policeman, cop.
""La policía está buscando al ladrón."" - The police are looking for the thief."


58,*realmente*,"*really*
adverb: really, actually, truly.
""Realmente me gusta la comida mexicana."" - ""I really like Mexican food."""


59,*demasiado*,"*too much*
adverb: too, too much, overly.
Demasiado tarde para arreglarlo. Too late to fix it."


60,*familia*,"*family*
noun: family, household, kin.
Mi familia es muy importante para mí. - My family is very important to me."


61,*pueden* (poder),"*they can*
verb: be able to, can, may.
""Pueden venir con nosotros."" - They can come with us."


62,*cabeza*,"*head*
noun: head, top, lead.
""La cabeza duele mucho."" - ""The head hurts a lot."""


63,*hemos* (haber),"*we have*
verb: have.
Hemos decidido quedarnos en casa. 
We have decided to stay at home."


64,*amigos* (amigo),"*friends*
noun: friend, buddy, chum
adjective: friendly.
""Mis amigos son muy importantes para mí."" - My friends are very important to me."


65,*chica* (chico chica),"*girl*
noun: girl, gal, cutie.
La chica es muy bonita. - The girl is very pretty."


66,*cariño*,"*dear*
noun: honey, affection, love.
""Te quiero mucho, cariño."" - ""I love you a lot, darling."""


67,*lado*,"*side*
noun: side, end, part.
""Siempre hay un lado positivo."" - There is always a positive side."


68,*allá*,"*there*
adverb: there, thither, yonder.
""Allá está el parque."" - There is the park over there."


69,*entre*,"*between*
preposition: between, among, amongst
adverb: in between.
Entre la clase y el recreo hay una hora de tiempo.
Translation: Between the class and the break there is an hour of time."


70,*minutos* (minuto),"*minutes*
noun: minute.
Los minutos pasan rápidamente. - The minutes pass quickly."


71,*digo* (decir),"*say*
verb: say, tell, speak.
""Digo que tengo que irme ahora."" - I say that I have to go now."


72,*algún*,"*some*
adjective: some
pronoun: any.
Algunos días son mejores que otros. - Some days are better than others."


73,*serio*,"*Serious*
adjective: serious, earnest, severe.
""Él es muy serio."" - He is very serious."


74,*cuidado* (cuidar cuidado),"*careful*
noun: care, attention, nursing.
""Ten cuidado al cruzar la calle."" - ""Be careful when crossing the street."""


75,*pasó* (pasar),"*passed*
noun: step, passage, pass.
""Ayer, pasó algo muy extraño."" - Yesterday, something very strange happened."


76,*buenas* (bueno),"*hello good*
.
""Buenas tardes!"" - Good afternoon!"


77,*somos* (ser),"*are*
verb: be, come, come of.
Somos amigos. = We are friends."


78,*amor*,"*love*
noun: love, passion.
""Amor es la luz que ilumina el camino de la vida."" - Love is the light that illuminates the path of life."


79,*puerta*,"*door*
noun: door, gate, doorway.
La puerta está cerrada. - The door is closed."


80,*ves* (ver),"*you see*
verb: see, view, watch.
""¿Ves lo que está pasando?"" - Do you see what is happening?"


81,*vaya* (ir),"*Oh*
.
Vaya con Dios. - Go with God."


82,*ah*,"*oh*
interjection: Ha!, Ahoy!.
""Ah, estoy tan cansado."" - Oh, I'm so tired."


83,*suerte*,"*luck*
noun: luck, fortune, chance.
""¡Buena suerte!"" - Good luck!"


84,*eh*,"*Hey*
.
""Eh, ¿qué pasa?"" - ""What's up?"""


85,*rápido*,"*fast*
adjective: fast, quick, rapid
noun: rapid, rapids, riffle.
""Corre rápido para llegar a tiempo!"" - Run quickly to arrive on time!"


86,*cuenta* (contar cuenta),"*account*
noun: account, count, bill.
""La cuenta es de $50."" - The bill is $50."


87,*quizás*,"*maybe*
adverb: perhaps, maybe, possibly.
Quizás mañana iré a la playa. - Maybe I'll go to the beach tomorrow."


88,*esas* (ese),"*those*
adjective: those.
""Esas son las mejores opciones."" - Those are the best options."


89,*pues*,"*well*
conjunction: since, then
adverb: then, well.
Pues, sí, lo hicimos. - Well, yes, we did it."


90,*pasado* (pasar pasado),"*past*
adjective: past, last, preterit
noun: past, foretime, background
preposition: beyond.
""Ayer fue un día pasado."" - Yesterday was a past day."


91,*pensé* (pensar),"*I thought*
verb: think, reflect, ponder.
Pensé que estaríamos allí a tiempo. - I thought we would be there on time."


92,*todavía*,"*still*
adverb: still, yet, as yet.
Todavía no hemos llegado. - We still haven't arrived."


93,*hermano*,"*brother*
noun: brother, sibling, sib.
Mi hermano es mi mejor amigo. - My brother is my best friend."


94,*debes* (deber),"*you must*
phrase: you may.
Debes estudiar para el examen. - You must study for the exam."


95,*casi*,"*almost*
adverb: almost, nearly, about
preposition: near, next.
Casi nunca salgo a bailar. - I almost never go out dancing."


96,*forma*,"*shape*
noun: form, way, shape.
""La forma en que hablamos dice mucho sobre nosotros."" - The way we speak says a lot about us."


97,*aqui* (aquí),"*here*
adverb: here, hither.
Aquí estamos preparando la fiesta. - Here we are preparing the party."


98,*chico*,"*boy*
noun: boy, kid, child
adjective: small, little.
""El chico es muy inteligente."" - The boy is very intelligent."


99,*ok*,"*okay*
.
""Ok, vamos a comer."" (Translation: ""Okay, let's go eat."")"


