,Unnamed: 0,French,POS,Translation,ChatGPT_Sentence
39,239,foutre,verb,"(slang) to do, give, put on; (vulgar) to have sex, to masturbate","Je vais foutre un mot contre le mur pour écrire un message.
I am going to throw a word against the wall to write a message."
40,240,excuser,verb,"to forgive, pardon, excuse","Je m'excuse pendant que je bois de l'eau.  
I apologize while I drink water."
41,241,affaire,noun,"affiar, business","Il est important de manger et boire avant de s'occuper de cette affaire.
It is important to eat and drink before dealing with this matter."
42,242,dormir,verb,to sleep; to lie idle,"Je ne peux ni dormir ni trouver un truc intéressant.

I can neither sleep nor find something interesting."
43,243,combien,adverb,"how much, how many","Combien coûte cet type de livre?
How much does this type of book cost?"
44,244,frère,noun,brother,"Combien de temps avant de revoir mon frère ?
How long before I see my brother again?"
45,245,travail,noun,"wor, labor, employment","Quel type de travail fais-tu et combien d'heures travailles-tu par semaine?
What type of work do you do and how many hours do you work per week?"
46,246,idée,noun,"idea, opinion","Elles ont une idée pour la famille.
They have an idea for the family."
47,247,eh,onomatopoeia,hey!,"Tant de bruit, eh, je ne peux pas m'occuper!

So much noise, eh, I can't focus!"
48,248,puis,"conjunction, adverb","next, then, besides, plus (in addition)","Mon frère chante, puis il prend l'air.

My brother sings, then he gets some fresh air."
49,249,famille,noun,family,"Je prie ma famille de ne pas rentrer tard.  
I ask my family not to come home late."
50,250,truc,noun,"trick, knack, thing","Le truc est de devenir meilleur sans question.

The thing is to become better without question."
51,251,trois,numerical adjective,three,"Il y a trois histoires d'amour qui tirent les larmes.

There are three love stories that bring tears."
52,252,tant,adverb,"much, so much","La famille est tant heureuse, eh.

The family is so happy, eh."
53,253,souvenir,"verb, noun","memory, souvenir; to remember","French: Je me souviens de cette minute avant de dormir.

English: I remember that minute before sleeping."
54,254,ni,conjunction,"nor, or (negative)","Je ne vois ni voiture ni oeil.
I see neither car nor eye."
55,255,tous,indefinite pronoun,"everything, all (plural)","Tous doivent manger moins.
Everyone must eat less."
56,256,occuper,verb,"to occupy, live in, take up","Je vais m'occuper de servir le dîner pendant que tu te reposes.
I will take care of serving dinner while you rest."
57,257,entre,preposition,"between, among","Le fils court vite entre les arbres.
The son runs quickly between the trees."
58,258,ok,"adjective, adverb",OK; okay (satisfactory),"La voiture est ok, je n'ai rien oublié.

The car is ok, I didn't forget anything."
59,259,marcher,verb,"to walk, march, go","Je marche en écoutant une chanson d'amour.
I walk while listening to a love song."
60,260,chance,noun,"luck, fortune, chance","Cela me donne une chance de réussir.  
This gives me a chance to succeed."
61,261,aujourd'hui,adverb,"today, nowadays","Aujourd'hui, j'ai vu trois voitures.

Today, I saw three cars."
62,262,envoyer,verb,"to send, throw, dispatch, refer","Elles vont envoyer une lettre à la main.
They are going to send a letter by hand."
63,263,histoire,noun,"history, story","Je vais garder ce livre d'histoire pour demain.
I will keep this history book for tomorrow."
64,264,jeune,"adjective, noun","young, youthful; young person","Le jeune espère réussir aujourd'hui.
The young person hopes to succeed today."
65,265,tard,adverb,late,"Le mec arrive tard à la porte.
The guy arrives late at the door."
66,266,apprendre,verb,"to learn, to hear (about)","Je prends une minute pour apprendre ce souvenir.  
I take a minute to learn this memory."
67,267,minute,noun,minute,"Je vais commencer à répondre à ta question dans une minute.
I will start answering your question in a minute."
68,268,boire,verb,"to drink (consume alcohol), to soak up","Je dois boire vite avant de partir au travail.
I have to drink quickly before going to work."
69,269,garder,verb,"to keep, to look after, to guard","Je garde la part pendant une heure.
I keep the part for an hour."
70,270,quelques,indefinite adjective,"some (quantity), small number, a few","Ils ont quelques livres et ils les lisent vite.
They have some books and they read them quickly."
71,271,type,noun,"type, kind; guy (colloquial)","C'est un type d'affaire que nous devons résoudre en ce moment.
This is a type of matter that we need to resolve at the moment."
72,272,porte,noun,"gate, door","La nouvelle porte attire l'œil.
The new door catches the eye."
73,273,montrer,verb,"to show, point out","Je vais te montrer où t'asseoir quand tu seras prêt.
I will show you where to sit when you are ready."
74,274,mec,noun,"guy, bloke","Combien de points a ce mec contre l'autre équipe ?
How many points does this guy have against the other team?"
75,275,asseoir,verb,"to sit down, sit up","Je m'assieds entre ce truc et la chaise.
I sit between this thing and the chair."
76,276,porter,verb,"to carry, wear","Ils portent leurs sacs à la place pour eux.
They carry their bags to the square for them."
77,277,attention,"onomatopoeia, noun",attention,"Pendant quelques minutes, l'attention des élèves était totale.

For a few minutes, the students' attention was complete."
78,278,année,noun,year,"Cette année, je veux changer mes vieux habits.
This year, I want to change my old clothes."
79,279,sous,preposition,under,"Le livre est sous la table entre les chaises pour une bonne raison.
The book is under the table between the chairs for a good reason."
80,280,prêt,adjective,ready,"Il est prêt à recevoir un coup sur la tête.
He is ready to take a hit on the head."
81,281,contre,preposition,against,"Je ne suis ni pour ni contre ce moment.
I am neither for nor against this moment."
82,282,prier,verb,to pray,"Je prie pour ne pas oublier de travailler.

I pray not to forget to work."
83,283,pendant,preposition,"for, during","Je suis assez prêt pendant l'examen.  
I am quite ready during the exam."
84,284,mois,noun,month,"Le nouveau mois va commencer demain.
The new month will start tomorrow."
85,285,meilleur,"adjective, noun",better; the best one,"Le meilleur travail est entre tes mains.
The best work is in your hands."
86,286,servir,verb,to serve,"Je vais servir le dîner ce mois pour une bonne raison.
I will serve dinner this month for a good reason."
87,287,madame,noun,"madam, Mrs","Madame entre pour manger.

The lady enters to eat."
88,288,putain,noun,"whore, hooker","Il y a un type dont la mère est une putain.
There is a guy whose mother is a prostitute."
89,289,écrire,verb,to write,"Je vais écrire une note pour ne pas oublier, puis je partirai.  
I am going to write a note so I don't forget, then I will leave."
90,290,part,noun,"part, share","Je ne veux pas oublier de manger ma part de gâteau.
I don't want to forget to eat my part of the cake."
91,291,eau,noun,water,"L'affaire dont je parle concerne l'eau.
The matter I'm talking about concerns water."
92,292,sang,noun,blood,"Putain, il y a du sang sur le papier où je voulais écrire.

Damn, there is blood on the paper where I wanted to write."
93,293,place,noun,"room, square, seat","Cette année, nous avons visité une nouvelle place main dans la main.
This year, we visited a new square hand in hand."
94,294,espérer,verb,to hope for,"J'espère payer et garder mon emploi.

I hope to pay and keep my job."
95,295,plein,"adjective, preposition","full, solid","La ville est pleine de vie sous le soleil.
The city is full of life under the sun."
96,296,désoler,verb,"to distress, upset","Je suis désolé, je n'ai pas vu ton idée avec mon oeil fatigué.
I am sorry, I did not see your idea with my tired eye."
97,297,eux,personal pronoun,"them, they","Ils ont l'air content, eux, avec la tête haute.
They look happy, them, with their heads held high."
98,298,retrouver,verb,to find; to meet,"Je vais retrouver ce mec par chance.  
I am going to meet up with that guy by chance."
99,299,ville,noun,"town, city","Je vais envoyer une lettre et boire un café en ville.
I am going to send a letter and drink a coffee in the city."
