,Front,Back
102,Zij: Nemen,namen
103,Hij:  Nemen,heeft genomen
104,Jij: Eten,at
105,Zij: Eten,aten
106,Hij:  Eten,heeft gegeten
107,Hij: Lijken,leek
108,Zij: Lijken,leken
109,Hij:  Lijken,heeft geleken
110,Jij: Beginnen,begon
111,Wij: Beginnen,begonnen
112,Hij:  Beginnen,is begonnen
113,Hij: Drinken,dronk
114,Wij: Drinken,dronken
115,Hij:  Drinken,heeft gedronken
116,Hij: Praten,praatte
117,Zij: Praten,praatten
118,Hij:  Praten,heeft gepraat
119,Jij: Zetten,zette
120,Zij: Zetten,zetten
121,Hij:  Zetten,heeft gezet
122,Hij: Lopen,liep
123,Wij: Lopen,liepen
124,Hij:  Lopen,heeft gelopen
125,Jij: Halen,haalde
126,Wij: Halen,haalden
127,Hij:  Halen,heeft gehaald
128,Ik: Spelen,speelde
129,Zij: Spelen,speelden
130,Hij:  Spelen,heeft gespeeld
131,Jij: Vallen,viel
132,Zij: Vallen,vielen
133,Hij:  Vallen,is gevallen
134,Ik: Gebeuren,gebeurde
135,Wij: Gebeuren,gebeurden
136,Hij:  Gebeuren,is gebeurd
137,Hij: Betreffen,betrof
138,Zij: Betreffen,betroffen
139,Hij:  Betreffen,heeft betroffen
140,Ik: Horen,hoorde
141,Wij: Horen,hoorden
142,Hij:  Horen,heeft gehoord
143,Hij: Kennen,kende
144,Jullie: Kennen,kenden
145,Hij:  Kennen,heeft gekend
146,Hij: Brengen,bracht
147,Wij: Brengen,brachten
148,Hij:  Brengen,heeft gebracht
149,Ik: Leren,leerde
150,Zij: Leren,leerden
151,Hij:  Leren,heeft geleerd
152,Hij: Voorstellen,steldevoor
153,Zij: Voorstellen,steldenvoor
154,Hij:  Voorstellen,heeft voorgesteld
155,Hij: Spreken,sprak
156,Jullie: Spreken,spraken
157,Hij:  Spreken,heeft gesproken
158,Hij: Vertellen,vertelde
159,Zij: Vertellen,vertelden
160,Hij:  Vertellen,heeft verteld
161,Hij: Slapen,sliep
162,Zij: Slapen,sliepen
163,Hij:  Slapen,heeft geslapen
164,Ik: Stellen,stelde
165,Zij: Stellen,stelden
166,Hij:  Stellen,heeft gesteld
167,Jij: Groeien,groeide
168,Zij: Groeien,groeiden
169,Hij:  Groeien,heeft gegroeid
170,Jij: Gebruiken,gebruikte
171,Zij: Gebruiken,gebruikten
172,Hij:  Gebruiken,heeft gebruikt
173,Jij: Verwachten,verwachtte
174,Wij: Verwachten,verwachtten
175,Hij:  Verwachten,heeft verwacht
176,Jij: Betekenen,betekende
177,Wij: Betekenen,betekenden
178,Hij:  Betekenen,heeft betekend
179,Ik: Betalen,betaalde
180,Jullie: Betalen,betaalden
181,Hij:  Betalen,heeft betaald
182,Ik: Vormen,vormde
183,Wij: Vormen,vormden
184,Hij:  Vormen,heeft gevormd
185,Ik: Kopen,kocht
186,Zij: Kopen,kochten
187,Hij:  Kopen,heeft gekocht
188,Hij: Tellen,telde
189,Wij: Tellen,telden
190,Hij:  Tellen,heeft geteld
191,Ik: Zorgen,zorgde
192,Wij: Zorgen,zorgden
193,Hij:  Zorgen,heeft gezorgd
194,Ik: Bieden,bood
195,Jullie: Bieden,boden
196,Hij:  Bieden,heeft geboden
197,Jij: Verkopen,verkocht
198,Jullie: Verkopen,verkochten
199,Hij:  Verkopen,heeft verkocht
200,Hij: Volgen,volgde
201,Wij: Volgen,volgden
202,Hij:  Volgen,heeft gevolgd
203,Jij: Trekken,trok
204,Wij: Trekken,trokken
205,Hij:  Trekken,heeft getrokken
206,Ik: Bepalen,bepaalde
207,Jullie: Bepalen,bepaalden
208,Hij:  Bepalen,heeft bepaald
209,Ik: Zoeken,zocht
210,Jullie: Zoeken,zochten
211,Hij:  Zoeken,heeft gezocht
212,Ik: Leggen,legde
213,Wij: Leggen,legden
214,Hij:  Leggen,heeft gelegd
215,Jij: Schrijven,schreef
216,Wij: Schrijven,schreven
217,Hij:  Schrijven,heeft geschreven
218,Hij: Beperken,beperkte
219,Zij: Beperken,beperkten
220,Hij:  Beperken,heeft beperkt
221,Ik: Gelden,gold
222,Jullie: Gelden,golden
223,Hij:  Gelden,heeft gegolden
224,Hij: Leiden,leidde
225,Jullie: Leiden,leidden
226,Hij:  Leiden,heeft geleid
227,Hij: Bedragen,bedroeg
228,Zij: Bedragen,bedroegen
229,Hij:  Bedragen,heeft bedragen
230,Jij: Wachten,wachtte
231,Jullie: Wachten,wachtten
232,Hij:  Wachten,heeft gewacht
233,Ik: Plaatsen,plaatste
234,Zij: Plaatsen,plaatsten
235,Hij:  Plaatsen,heeft geplaatst
236,Hij: Plannen,plande
237,Jullie: Plannen,planden
238,Hij:  Plannen,heeft gepland
239,Jij: Starten,startte
240,Wij: Starten,startten
241,Hij:  Starten,is gestart
242,Hij: Proberen,probeerde
243,Jullie: Proberen,probeerden
244,Hij:  Proberen,heeft geprobeerd
245,Jij: Voeren,voerde
246,Wij: Voeren,voerden
247,Hij:  Voeren,heeft gevoerd
248,Jij: Bouwen,bouwde
249,Zij: Bouwen,bouwden
250,Hij:  Bouwen,heeft gebouwd
251,Hij: Kiezen,koos
252,Wij: Kiezen,kozen
253,Hij:  Kiezen,heeft gekozen
254,Hij: Voorzien,voorzag
255,Jullie: Voorzien,voorzagen
256,Hij:  Voorzien,heeft voorzien
257,Jij: betrekken,betrok
258,Jullie: betrekken,betrokken
259,Hij:  betrekken,heeft betrokken
260,Ik: Helpen,hielp
261,Zij: Helpen,hielpen
262,Hij:  Helpen,heeft geholpen
263,Hij: Bezoeken,bezocht
264,Zij: Bezoeken,bezochten
265,Hij:  Bezoeken,heeft bezocht
266,Ik: Leveren,leverde
267,Jullie: Leveren,leverden
268,Hij:  Leveren,heeft geleverd
269,Ik: Antwoorden,antwoordde
270,Jullie: Antwoorden,antwoordden
271,Hij:  Antwoorden,heeft geantwoord
272,Ik: Noemen,noemde
273,Zij: Noemen,noemden
274,Hij:  Noemen,is genoemd
275,Jij: Heten,heette
276,Jullie: Heten,heetten
277,Hij:  Heten,heeft geheten
278,Ik: Veranderen,veranderde
279,Zij: Veranderen,veranderden
280,Hij:  Veranderen,is veranderd
281,Ik: Vertrouwen,vertrouwde
282,Wij: Vertrouwen,vertrouwden
283,Hij:  Vertrouwen,heeft vertrouwd
284,Hij: Ontstaan,ontstond
285,Jullie: Ontstaan,ontstonden
286,Hij:  Ontstaan,is ontstaan
287,Hij: Stijgen,steeg
288,Wij: Stijgen,stegen
289,Hij:  Stijgen,Is gestegen
290,Ik: Bezitten,bezat
291,Wij: Bezitten,bezaten
292,Hij:  Bezitten,heeft bezeten
293,Ik: Voelen,voelde
294,Jullie: Voelen,voelden
295,Hij:  Voelen,heeft gevoeld
