Unnamed: 0.1,Unnamed: 0,Russian,POS,ChatGPT_Sentence,Translation
25,726,основание,noun,"Ребята решили остановиться у основания горы.

The kids decided to stop at the base of the mountain.",base
26,727,половина,noun,"Поэт впервые прочитал половину своего нового стихотворения.

The poet read half of his new poem for the first time.",half
27,728,поехать,verb,"Господин решил поехать в город, чтобы развивать свой ум.
Mr. decided to go to the city to develop his mind.",go
28,729,положить,verb,"Мама положила детский альбом и включила песню.

Mom put down the children's album and played a song.",put
29,730,входить,verb,"Знание необходимо, чтобы входить в новый мир.

Knowledge is necessary to enter a new world.",enter
30,731,легко,adverb,"Поздний круг легко пробежать.

It's easy to run the late lap.",easily
31,732,поздний,adjective,"Поздний вечер был тихим, и ум мой был низкий.

The late evening was quiet, and my mind was low.",late
32,733,роман,noun,"Я купил роман в чужом магазине.
I bought a novel in a stranger's store.",novel
33,734,круг,noun,"Министр нарисовал круг на границе.

The minister drew a circle on the border.",circle
34,735,анализ,noun,"Анализ показал, что оценка нашего счастья зависит от многих факторов.
The analysis showed that the assessment of our happiness depends on many factors.",analysis
35,736,стихи,noun,"Я люблю читать стихи, которые касаются природы и входят в школьную программу.
I love reading poems that touch on nature and are included in the school curriculum.",poetry
36,737,автомобиль,noun,"Автомобиль ехал по дороге, и в нём играла песня о счастье.
The car was driving down the road, and a song about happiness was playing in it.",automobile
37,738,специальный,adjective,"В библиотеке есть специальный раздел для научной литературы.
In the library, there is a special section for scientific literature.",special
38,739,экономика,noun,"Экономика выросла на пять процентов вместо трех.

The economy grew by five percent instead of three.",economy
39,740,литература,noun,"В школе у нас мало уроков по литературе, но они развивают ум.

In school, we have few literature classes, but they develop the mind.",literature
40,741,бумага,noun,"Дух времени заставил его заявить, что бумага важна для всех.

The spirit of the times made him declare that paper is important for everyone.",paper
41,742,вместо,pr,"Господин Иванов решил отметить праздник дома вместо ресторана.
Mr. Ivanov decided to celebrate the holiday at home instead of at a restaurant.",instead of
42,743,впервые,adverb,"Впервые я прочитал эту литературу в кругу друзей.
For the first time, I read this literature in the circle of friends.",first
43,744,видно,adverb,"В комнате было темно, и низкий свет лампы едва видно, когда я пытался заснуть.

In the room, it was dark, and the low light of the lamp was barely visible as I tried to fall asleep.",it is seen
44,745,научный,adjective,"Старик читал научный журнал у моря.
The old man was reading a scientific journal by the sea.",scientific
45,746,оказываться,verb,"Оказывается, половина предметов в комнате была сломана.
It turns out that half of the items in the room were broken.",turn out to be
46,747,поэт,noun,"Старший брат сказал, что этот поэт не чужой нам.

The older brother said that this poet is not a stranger to us.",poet
47,748,показывать,verb,"Он любит показывать высший класс в детских играх.
He likes to show the highest class in children's games.",show
48,749,степень,noun,"Ребята из нашего региона получили высокую степень признания за свои достижения.

The kids from our region received a high degree of recognition for their achievements.",degree
49,750,вызвать,verb,"Впервые детский смех может вызвать радость у всех.
For the first time, children's laughter can cause joy in everyone.",call
50,751,касаться,verb,"Этот вопрос не касается какой-нибудь автомобиль.

This question does not concern any car.",touch
51,752,господин,noun,"Господин вошел в определенный кабинет.

The gentleman entered a certain office.",sir
52,753,надежда,noun,"Надежда позволяет нам действовать уверенно.

Hope allows us to act confidently.",hope
53,754,сложный,adjective,"Этот тест был немного сложный, но я получил хорошую степень.

This test was a bit difficult, but I got a good grade.",difficult
54,755,вокруг,pr,"Вокруг нас звучала песня, полная надежды.

Around us, a song full of hope was playing.",around
55,756,предмет,noun,"В половине комнаты лежит немного предметов.

In half of the room, there are a few items.",item
56,757,отметить,verb,"Необходимо отметить, что уровень воды в реке сейчас очень низкий.
It is necessary to note that the water level in the river is very low.",Mark
57,758,заявить,verb,"Он решил заявить о низкий забор вокруг своего дома.
He decided to report about the low fence around his house.",declare
58,759,вариант,noun,"Специалист предложил новый вариант выхода из ситуации.
The specialist proposed a new option for the way out of the situation.",option
59,760,министр,noun,"Министр впервые посетил основание нового здания.

The minister visited the foundation of the new building for the first time.",minister
60,761,откуда,adverb pronoun,"Откуда у тебя такой глубокий анализ и сильный дух?

Where do you get such deep analysis and strong spirit from?",where
61,762,реальный,adjective,"Этот фильм о чужой планете был настолько реальный и прекрасный.

This movie about an alien planet was so realistic and beautiful.",real
62,763,граница,noun,"Мы должны действовать быстро, потому что магазин находится на границе города.
We need to act quickly because the store is located on the edge of the city.",border
63,764,действовать,verb,"Когда мы оказываемся в трудной ситуации, нужно действовать как пара.

When we find ourselves in a difficult situation, we need to act as a pair.",act
64,765,дух,noun,"Половина команды легко подняла дух после победы.

Half of the team easily lifted their spirits after the victory.",spirit
65,766,модель,noun,"В пространстве моего сна появилась новая модель.
In the space of my dream, a new model appeared.",model
66,767,операция,noun,"Врачу необходимо провести операцию после сильного удара.

The doctor needs to perform an operation after a severe blow.",operation
67,768,пара,noun,"Практически каждый детский сад имеет пару игрушек.

Almost every kindergarten has a pair of toys.",pair
68,769,сон,noun,"У меня был странный сон, который я не могу связать с реальностью.
I had a strange dream that I cannot connect with reality.",dream
69,770,немного,adverb,"Нам необходимо немного подождать, пока детский сад откроется.
We need to wait a little while until the kindergarten opens.",A little
70,771,название,noun,"Название операции было взято из стихов.

The name of the operation was taken from poems.",Name
71,772,ум,noun,"Сон помогает нашему уму создавать новые модели.

Sleep helps our mind create new models.",mind
72,773,повод,noun,"У меня есть повод радоваться, потому что моя оценка за бумагу была высокой.
My reason to be happy is that my grade for the paper was high.",occasion
73,774,старик,noun,"В нашем регионе мало стариков.
In our region, there are few old men.",old man
74,775,способный,adjective,"Эта пара способна улучшить регион.

This couple is capable of improving the region.",capable
75,776,мало,numeral,"В комнате мало пространства для точной оценки.

There is little space in the room for an accurate assessment.",few
76,777,миллион,noun,"Вчера пара решила отметить свой миллион подписчиков.

Yesterday, the couple decided to celebrate their million subscribers.",million
77,778,малый,adjective,"Малое требование может принести большое счастье.
A small request can bring great happiness.",small
78,779,старший,adjective,"Старший брат имеет определенные знания в математике.
The older brother has certain knowledge in mathematics.",senior
79,780,успех,noun,"Эта песня принесла ему большой успех, хотя он был обычный человек.

This song brought him great success, even though he was an ordinary person.",success
80,781,практически,adverb,"Эта модель практически позволяет решить все проблемы.

This model practically allows solving all problems.",practically
81,782,получиться,verb,"Если приложить знание и ум, всё получится.
If you apply knowledge and intellect, everything will work out.",turn out to be
82,783,личный,adjective,"У меня мало поводов делиться личной информацией.

I have little reason to share personal information.",private
83,784,счастье,noun,"Личный успех прежде всего приносит счастье.

Personal success above all brings happiness.",happiness
84,785,необходимо,adverb,"Прежде чем начать проект, необходимо связать все детали.

Before starting the project, it is necessary to connect all the details.",necessary
85,786,свободный,adjective,"Он чувствовал себя свободным и мог действовать легко.

He felt free and could act easily.",free
86,787,ребята,noun,"Ребята сели в круг и начали играть в какой-нибудь игру.
The kids sat in a circle and started playing some game.",Guys
87,788,обычный,adjective,"В обычном пространстве это название не имеет значения.

In an ordinary space, this name does not matter.",ordinary
88,789,кабинет,noun,"Господин Иванов зашёл в реальный кабинет директора.

Mr. Ivanov entered the real office of the director.",cabinet
89,790,прекрасный,adjective,"Этот прекрасный проект требует единой степени усилий.

This wonderful project requires a unified degree of effort.",beautiful
90,791,высший,adjective,"Впервые я остановился в высшем отеле города.

For the first time, I stayed in the highest-rated hotel in the city.",higher
91,792,кричать,verb,"Он начал кричать, потому что не мог найти единый ответ, и это было не легко.

He started shouting because he couldn't find a single answer, and it wasn't easy.",scream
92,793,прежде,pr,"Прежде чем выбрать вариант, мы обсудили все возможные круги.

Before choosing an option, we discussed all possible circles.",before
93,794,магазин,noun,"В магазине цены точно низкие.
In the store, the prices are definitely low.",shop
94,795,пространство,noun,"Мы решили поехать в поздний час, чтобы исследовать новое пространство.
We decided to travel at a late hour to explore the new space.",space
95,796,выход,noun,"Модель показала выход из круга.

The model showed the exit from the circle.",exit
96,797,остановиться,verb,"Специалист смог объяснить, где нам нужно остановиться.

The specialist was able to explain where we need to stop.",stay
97,798,удар,noun,"Во сне я услышал сильный удар, когда автомобиль врезался в стену.
In the dream, I heard a loud crash when the car hit the wall.",hit
98,799,база,noun,"Поздний вечер мы провели на базе, обсуждая операцию.

Late in the evening, we spent time at the base discussing the operation.",base
99,800,знание,noun,"Впервые я начал строить свою базу знаний в школе.
For the first time, I started building my knowledge base in school.",knowledge
