Unnamed: 0.1,Unnamed: 0,Russian,POS,ChatGPT_Sentence,Translation
36,537,хоть,particle,"Хоть судьба и тип жизни разные, мы все люди.
Even though fate and lifestyle are different, we are all human.",though
37,538,шаг,noun,"Каждый шаг в создании лекарства может спасти чью-то кровь.

Each step in the creation of a medicine can save someone's blood.",step
38,539,необходимый,adjective,"Для здоровья необходимый шаг — пить достаточно воды каждый день.
For health, a necessary step is to drink enough water every day.",necessary
39,540,успеть,verb,"Я постараюсь успеть понять значение этого экономического термина.

I will try to manage to understand the meaning of this economic term.",be on time
40,541,произойти,verb,"Вчера вечером на дороге произошло что-то странное, и небо стало ярко-красным.

Yesterday evening, something strange happened on the road, and the sky turned bright red.",happen
41,542,брат,noun,"Мой брат и я словно две капли крови.

My brother and I are like two drops of blood.",Brother
42,543,искусство,noun,"Многие люди принимают искусство и относятся к нему с уважением.
Many people accept art and treat it with respect.",art
43,544,единственный,adjective,"Единственный человек, которого можно назвать другом, всегда принимает правильные решения.
The only person you can call a friend always makes the right decisions.",the only one
44,545,легкий,adjective,"Этот человеческий размер кажется легким.

This human size seems light.",easy
45,546,структура,noun,"Пример показывает, как структура влияет на тему.

The example shows how the structure affects the topic.",structure
46,547,выходить,verb,"Каждое утро я выхожу на улицу, чтобы пить свежий кофе.

Every morning I go outside to drink fresh coffee.",go out
47,548,номер,noun,"Этот номер похожий на тот, но у него другое количество комнат.
This room is similar to that one, but it has a different number of rooms.",number
48,549,предложить,verb,"Я хочу предложить создание новой стратегии для борьбы с проблемами.
I want to propose the creation of a new strategy to fight the problems.",offer
49,550,пример,noun,"Вот пример, когда край достаточно близко.

Here is an example when the edge is close enough.",example
50,551,пить,verb,"Я хочу подойти туда и пить воду.
I want to go there and drink water.",drink
51,552,исследование,noun,"Принцип исследования выходит за рамки обычного понимания.

The principle of the research goes beyond ordinary understanding.",study
52,553,гражданин,noun,"Пока единственный гражданин в комнате ждет своей очереди.

For now, the only citizen in the room is waiting for their turn.",citizen
53,554,глядеть,verb,"Он глядел направо, хоть и знал, что там никого нет.
He looked to the right, even though he knew no one was there.",look
54,555,человеческий,adjective,"Человеческий разум пока не может понять все тайны неба.
The human mind cannot yet understand all the mysteries of the sky.",human
55,556,игра,noun,"Внутренний мир человека часто становится близким через игру.
The inner world of a person often becomes close through a game.",a game
56,557,начальник,noun,"Начальник сказал, что менее важно сдавать кровь сегодня.

The boss said that it is less important to donate blood today.",boss
57,558,сей,adjective pronoun,"Сей студент решил ехать в Москву для получения образования.
This student decided to go to Moscow to get an education.",this
58,559,рост,noun,"Он выходил из дома, словно его рост был выше всех.

He walked out of the house as if his height was taller than everyone else's.",height
59,560,ехать,verb,"Мой брат хочет ехать на море, когда небо ясное.
My brother wants to go to the sea when the sky is clear.",drive
60,561,международный,adjective,"Я ищу международное искусство в музее.
I am looking for international art in the museum.",international
61,562,тема,noun,"На уроке мы обсуждали тему, связанную с качеством воздуха, и учитель спрашивал наше мнение.

In the lesson, we discussed a topic related to air quality, and the teacher asked for our opinion.",subject
62,563,принцип,noun,"Пусть мальчик поймёт важный принцип.

Let the boy understand the important principle.",principle
63,564,дорогой,adjective,"Дорогой гость хочет пить.
The dear guest wants to drink.",Expensive
64,565,попасть,verb,"Мы пошли в лес и не хотели попасть под дождь, поэтому приняли решение вернуться домой раньше.

We went to the forest and didn't want to get caught in the rain, so we decided to return home earlier.",get in
65,566,десять,numeral,"В нашем районе живёт менее десяти человек.  
In our district, fewer than ten people live.",ten
66,567,начаться,verb,"Занятие начнётся менее чем через час, поэтому лучше пить воду сейчас.
The class will start in less than an hour, so it's better to drink water now.",start
67,568,верить,verb,"Я верю в этот принцип, пока не докажут обратное.
I believe in this principle until proven otherwise.",believe
68,569,метод,noun,"Гражданин изучал новый метод охраны леса.

The citizen studied a new method of forest protection.",method
69,570,тип,noun,"Этот тип является примером значения слова.

This type is an example of the meaning of the word.",type
70,571,фильм,noun,"Я искал новый фильм, который недавно вышел.

I was looking for a new movie that recently came out.",movie
71,572,небольшой,adjective,"Русский метод получил международный успех благодаря небольшому изменению.

The Russian method achieved international success thanks to a small change.",small
72,573,держать,verb,"Он старался держать себя в руках, чтобы не позволять своей крови закипать.

He tried to keep himself under control to not let his blood boil.",hold
73,574,либо,conjunction,"Мы можем выбрать либо небольшой ресторан, либо международный кафе.
We can choose either a small restaurant or an international café.",or
74,575,позволять,verb,"Учитель позволяет ученикам использовать зал для занятий.

The teacher allows the students to use the hall for classes.",let
75,576,край,noun,"Мы решили ехать в небольшой край на выходные.
We decided to go to a small region for the weekend.",edge
76,577,местный,adjective,"Мы спросили местного жителя, где открыть магазин.  
We asked a local resident where to open a store.",local
77,578,менее,adverb,"Бывший директор менее строгий в сей раз.
The former director is less strict this time.",less
78,579,гость,noun,"Мальчик пригласил гостя на игру.
The boy invited the guest to the game.",guest
79,580,купить,verb,"Я хочу купить десять книг о борьбе.
I want to buy ten books about wrestling.",buy
80,581,уходить,verb,"Он решил уходить, когда небо стало темнеть, и борьба закончилась.  
He decided to leave when the sky began to darken, and the struggle ended.",leave
81,582,собираться,verb,"Я собираюсь понять, как его характер относится к этой ситуации.
I am going to understand how his character relates to this situation.",going to
82,583,воздух,noun,"Мы глядели на борьбу птиц в чистом воздухе.
We watched the birds' fight in the clear air.",air
83,584,туда,adverb pronoun,"Гость пошёл туда, в новый район.
The guest went there, to the new district.",there
84,585,относиться,verb,"Он хорошо относится к новому методу, который произошёл недавно.

He has a good attitude towards the new method that was introduced recently.",relate
85,586,бывший,adjective,"Бывший начальник рассказал, как это произошло.

The former boss explained how it happened.",former
86,587,требовать,verb,"Бывший гражданин начал требовать свои права.

The former citizen began to demand his rights.",demand
87,588,характер,noun,"Тема сегодняшнего урока — характер, это важный шаг в изучении психологии.  
The topic of today's lesson is character; it is an important step in the study of psychology.",character
88,589,борьба,noun,"Ему удалось подойти к борьбе с решимостью и силой.
He managed to approach the struggle with determination and strength.",struggle
89,590,использование,noun,"Использование местного объекта требует разрешения.
Using the local facility requires permission.",usage
90,591,кстати,adverb,"Кстати, мне необходимо подойти к магазину.

By the way, I need to go to the store.",By the way
91,592,подойти,verb,"Крупный мужчина подошёл к номеру.

A large man approached the room.",come up
92,593,размер,noun,"Эта игра не легкий размер для меня.

This game is not an easy size for me.",size
93,594,удаться,verb,"Хоть структура была сложной, нам удалось её понять.

Even though the structure was complex, we managed to understand it.",succeed
94,595,образование,noun,"Образование имеет большое значение в жизни каждого человека.
Education has great importance in the life of every person.",education
95,596,получать,verb,"Бывший сотрудник компании начал получать внутренние документы.

The former employee of the company started receiving internal documents.",receive
96,597,мальчик,noun,"Мальчик достаточно быстро стал хорошим гражданином.
The boy quickly enough became a good citizen.",boy
97,598,кровь,noun,"На этом событии хоть кровь из носа, но я должен быть.
At this event, even if it costs me blood, I must be there.",blood
98,599,район,noun,"В нашем районе много человеческих домов, и я часто еду туда на велосипеде.
In our district, there are many human houses, and I often go there by bike.",area
99,600,небо,noun,"Использование небольшого телескопа позволяет увидеть звёзды на небе.

Using a small telescope allows you to see stars in the sky.",sky
