,Unnamed: 0,Russian,POS,Sentence
22,823,линия,s,"[('И наибольшее опасение вызывает линия обороны.', 'The biggest worry is the defensive line.'), ('Бывает и эта линия больше одного.', 'This line can also be more than one.')]"
23,824,бежать,v,"[('На всякий случай будьте готовы бежать.', 'In which case, get ready to run.'), ('На всякий случай будьте готовы бежать.', 'In that case, be prepared to run.')]"
24,825,желание,s,"[('Иногда это отбивает желание продолжать занятия.', 'Sometimes this is out of a desire to keep working.'), ('И это искреннее желание наших сердец.', ""This is our heart's true desire."")]"
25,826,папа,s,"[('Мама или папа должны быть рядом.', 'Mom or dad should be sitting down.'), ('А папа раклеивает рекламу по ночам.', 'And dad puts posters up at night.')]"
26,827,кажется,adv,"[('Только не так много как кажется.', 'Just not quite as much as it seems.'), ('Дорога назад кажется еще более длинной.', 'It seems much longer on the way back.')]"
27,828,петь,v,"[('Она не очень хорошо умела петь.', 'He could not sing very well.'), ('Как можно научиться петь по интернету.', 'You can learn how to sing online here.')]"
28,829,доктор,s,"[('Он мне очень нравится как доктор.', 'I really liked him as a doctor.'), ('Она потрясающий доктор во всех отношениях.', 'He is an outstanding doctor in every way.')]"
29,830,губа,s,"[('В середине губа имеет золотой или желтоватый оттенок.', 'In the middle of the lip has a golden or yellowish tint.'), ('Маленькая верхняя часть и большая губа цветка напоминают танцующую даму.', 'The small upper part and large lip of the flower resembles a dancing lady.')]"
30,831,известно,adv,"[('И даже известно как их преодолевать.', 'And we know how to overcome them.'), ('Вам известно количество параграфов для прочтения.', 'You know the number of body paragraphs to include.')]"
31,832,дома,adv,"[('Вас ждут замечательные подарки для дома.', 'They have some amazing gifts for the home.'), ('Множество вопросов возникает при строительстве дома.', 'Many questions arise during the process of building a home.')]"
32,833,вызывать,v,"[('Ламотриджин может вызывать трудности с засыпанием.', 'Lamictal may cause difficulty falling asleep.'), ('Вирусы могут не вызывать никаких симптомов.', 'The virus may not cause any symptoms.')]"
33,834,дочь,s,"[('Она играла старшую дочь заглавного персонажа.', 'She played the daughter of the main character.'), ('Он принял ее как собственную дочь.', 'He took her in as his own daughter.')]"
34,835,показаться,v,"[('Поначалу это может показаться вам странным.', 'This might seem strange to you at first.'), ('Внешность такого малыша способна показаться простой.', 'The story of this young girl may seem simple.')]"
35,836,среда,s,"[('А это менее агрессивная окружающая среда.', 'We need a less aggressive environment.'), ('С каждым днем окружающая среда меняется.', ""So the environment's changing every day."")]"
36,837,председатель,s,"[('Из этих З человек избирался председатель.', 'Of the three, a chairman is elected.'), ('Но это новый председатель нового совета.', 'He is the new chairman of the board.')]"
37,838,представление,s,"[('Неподходящее название даёт людям неверное представление.', 'An inappropriate name gives people the wrong idea.'), ('Этот тест дает лишь общее представление.', 'Testing only gives us a general idea.')]"
38,839,солдат,s,"[('Это был тот же самый солдат.', 'They were from the same soldier.'), ('Но солдат не знал об этом.', ""The soldier didn't know it."")]"
39,840,художник,s,"[('Настоящий художник не может не создавать.', ""The true artist can't help but create.""), ('С тех пор он полноценный художник.', 'Since then he was a full-time artist.')]"
40,841,принести,v,"[('Не забывайте принести пару паспортов фото.', 'Remember to bring two passport photos.'), ('Но ты можешь принести мне пиццу.', 'You could say bring me a pizza.')]"
41,842,волос,s,"[('Этот рецепт применяется для сухих волос.', 'This medication should be applied to dry hair.'), ('Такой способ приведет к выпадению волос.', 'Such a thing would lead to hair fall.')]"
42,843,оружие,s,"[('В результате получается очень точное оружие.', 'This makes it an extremely accurate weapon.'), ('Все тело может превратится в оружие.', 'Your whole body can be a weapon.')]"
43,844,выглядеть,v,"[('Ну вот как они будут выглядеть...', ""Here's how they will look like...""), ('На цифрах это будет выглядеть так.', 'In numbers it will look like this.')]"
44,845,соответствие,s,"[('Внутренний контроль и соответствие корпоративной политике.', 'Maintain internal controls and compliance of company policies.'), ('Компьютер приводится в соответствие без вмешательства администратора.', 'The laptop is brought back into compliance without administrator intervention.')]"
45,846,никак,advpro,"[('Поэтому с аллергией шутить никак нельзя.', 'Therefore, you can not joke with an allergy.'), ('Именно этого хозяевам никак нельзя допустить.', 'This is precisely what regulators must not allow.')]"
46,847,ветер,s,"[('В течение дня ожидается западный ветер...', 'A west wind is expected during the day.'), ('Это может быть ветер или дождь.', 'Could have been wind or rain.')]"
47,848,внешний,a,"[('То есть как обычный внешний диск.', 'Much like a standard external folder.'), ('Ссылка на используемый внешний источник отсутствовала.', 'The reference to the external source used was missing.')]"
48,849,парень,s,"[('Это парень не так то прост.', 'This guy is not that simple.'), ('Там еще был такой грузный парень.', 'And there was this heavyset guy.')]"
49,850,служить,v,"[('И я буду служить своему народу.', 'And I will serve my country.'), ('Они не могут служить в армии.', 'They cannot serve in the army.')]"
50,851,зрение,s,"[('Я потеряла зрение в левом глазу.', 'I lost the vision in my left eye.'), ('Влияние компьютерной техники на зрение ребенка.', ""Impact of computer use on children's vision."")]"
51,852,попросить,v,"[('Я хочу попросить вас о поддержке.', 'I want to ask you for your support.'), ('Мы должны попросить вас о терпении.', 'We must ask you to be patient.')]"
52,853,генерал,s,"[('Король и золотой генерал не превращаются.', 'Aking or a gold general cannot promote.'), ('Ненормальный генерал... прямо вот здесь.', ""The rager general... he's right over here."")]"
53,854,состоять,v,"[('Метка может состоять только из букв.', 'A tag can consist only of letters.'), ('Каждый раздел должен состоять минимум из одного параграфа.', 'A section must consist of at least one paragraph.')]"
54,855,огонь,s,"[('Но огонь не может гореть вечно.', 'But no fire can go on forever.'), ('Священный огонь все еще горит внутри.', 'The sacred fire is still burning.')]"
55,856,отдать,v,"[('Он должен отдать им своеобразную дань.', 'They should give him an honorary degree.'), ('Ты должна отдать мне свой телефон.', 'You need to give me your phone.')]"
56,857,боевой,a,"[('Страна получила великолепный боевой авиационный комплекс.', 'The country has received a great combat aircraft.'), ('Разработчики также запустят новый боевой пропуск.', 'The developers will also launch a new combat pass.')]"
57,858,понятие,s,"[('И давайте вдумаемся в понятие риска.', ""Let's consider the concept of risk.""), ('Каждое понятие нуждается в должном окружении.', 'Each concept requires its proper environment.')]"
58,859,строительство,s,"[('Через месяц мы намерены начать строительство.', 'In about a month, construction is set to begin.'), ('Также в проекте предусмотрено строительство храма.', 'Plans also include the construction of a temple.')]"
59,860,ухо,s,"[('Внутреннее ухо находится еще дальше внутри.', 'Your inner ear is located farther inside.'), ('При отите ей следует смазывать ухо.', 'Listen to her when she needs an ear.')]"
60,861,выступать,v,"[('Мы иногда можем выступать очень сильно.', 'Yet sometimes we can act very big.'), ('Кейр также продолжал выступать на сцене.', 'Keir also continued to act on the stage.')]"
61,862,грудь,s,"[('Женская грудь предназначена для кормления ребенка.', ""A woman's breast is meant to feed her child.""), ('Женская грудь не содержит мышечных тканей.', 'Female breast does not contain muscle tissue.')]"
62,863,нос,s,"[('Промывать нос можно обычной соленой водой.', 'You can wash the nose using normal salt water.'), ('Его чуждый запах наполняет мой нос.', 'His alien smell fills my nose.')]"
63,864,ставить,v,"[('Их также нельзя ставить внутрь шкафа.', ""They can't be put in the closet.""), ('Нельзя ставить бизнес выше человеческих чувств.', ""You can't put business before people's feelings."")]"
64,865,завтра,adv,"[('Она намерена делать это и завтра.', 'She will do it also tomorrow.'), ('Уже завтра мы будем с вами.', 'We will be with you tomorrow.')]"
65,866,возникать,v,"[('В этот период может возникать деменция.', 'Mortality can occur during this period.'), ('Иногда может возникать временное истончение волос.', 'Occasionally, temporary hair thinning can occur.')]"
66,867,когда,advpro,"[('Даже когда я чувствую себя подавленным.', ""Even when I'm feeling overwhelmed.""), ('Зависит от того когда это было.', 'That depends on when it was.')]"
67,868,страх,s,"[('Они впадают в паранойю и страх.', 'It ends in paranoia and fear.'), ('И ещё есть страх его потерять.', 'We are still in fear of losing him.')]"
68,869,услуга,s,"[('Данная услуга является удобной для клиентов.', 'This service is easy to use for customers.'), ('То есть это совершенно другая услуга.', 'No, it is a completely different service.')]"
69,870,рабочий,a,"[('Руководить этой борьбой должен рабочий класс.', 'This movement must be led by the working class.'), ('Это был ее первый рабочий день...', 'It was the first working day...')]"
70,871,что-нибудь,spro,"[('Хотелось бы что-нибудь попроще и побыстрее.', 'I wanted something simpler and faster.'), ('Я сделать из него что-нибудь приличное.', 'I think I should make him something nice.')]"
71,872,глубокий,a,"[('Ей нужно было преодолеть глубокий овраг.', 'She still needed get out the deep dirt.'), ('Вся страна погрузилась в глубокий траур.', 'The whole nation is still in a deep grief.')]"
72,873,содержание,s,"[('Тематика и содержание пока остаются открытыми.', 'Subject matter and content are now ubiquitous.'), ('Их содержание в воде крайне высоко.', 'Their water content is very high.')]"
73,874,радость,s,"[('Разделить радость и погрузиться в историю.', 'Share the joy and immerse yourself in the story.'), ('Командующий далеко не разделил мою радость.', 'My passenger did not share in my joy.')]"
74,875,безопасность,s,"[('Важнейшей ее чертой должна стать безопасность.', 'Its most important feature should be security.'), ('Мы гарантируем оперативность и безопасность сделки.', 'We guarantee speed and security of transactions.')]"
75,876,надеяться,v,"[('Им нужно надеяться только на себя.', 'Have to hope only for themselves.'), ('Идти вперед и надеяться на лучшее.', 'Move on and hope for the best.')]"
76,877,продукт,s,"[('В итоге готовый продукт выглядит некрасиво.', 'So the finished product is not pretty.'), ('Сначала необходимо весьма тщательно исследовать продукт.', 'You need to do a thorough research about a product first.')]"
77,878,видимо,adv,"[('Но видимо не достаточно... офигительный.', 'But apparently not enough... drop dead.'), ('Но видимо я подала ему эту идею.', ""But apparently I'd given him this idea."")]"
78,879,комплекс,s,"[('Раньше весь этот комплекс был монастырем.', 'Originally the complex was a monastery.'), ('Вход в комплекс ограничен и только...', 'Entrance to the complex is restricted...')]"
79,880,бизнес,s,"[('В течение нескольких месяцев бизнес процветал.', 'Within months, the business had flourished.'), ('Затем он перешел в частный бизнес.', 'He then went into private business.')]"
80,881,подняться,v,"[('Человечество всегда стремилось подняться в небо.', 'People have always tried to climb into the sky.'), ('Вы не можете подняться без доверия.', ""You can't climb without trust."")]"
81,882,вспоминать,v,"[('Не хочется вспоминать то тяжёлое время.', ""I don't want to remember that dark time.""), ('И иногда полезно об этом вспоминать.', ""It's sometimes useful to remember that."")]"
82,883,мало,adv,"[('При этом фотографий группы достаточно мало.', 'Looking at the group picture is not enough.'), ('Но законодателям даже этого оказалось мало.', 'But for some lawmakers, that was not enough.')]"
83,884,сад,s,"[('В следующий раз покажу розовый сад.', 'Next I decided to plant a rose garden.'), ('На заднем дворе находится красивый сад.', 'There is a beautiful garden in the back.')]"
84,885,долгий,a,"[('Это был очень долгий гоночный день.', 'It has been a very long driving day.'), ('Это может быть довольно долгий разговор.', 'It can be a really long conversation.')]"
85,886,одновременно,adv,"[('Оба автора ученые и журналисты одновременно.', 'Both are artists and scientists at the same time.'), ('Это утверждение правильное и ошибочное одновременно.', 'This assertion is both right and wrong at the same time.')]"
86,887,называться,v,"[('И она действительно достойна называться легендарной.', 'She truly deserves to be called a legendary designer.'), ('Эти люди могут называться самыми музыкальными.', 'These people can be called the most musical.')]"
87,888,сотрудник,s,"[('Погибли шесть нападавших и сотрудник полиции.', 'Six workers and a police officer were killed.'), ('На следующей неделе данный сотрудник увольняется.', 'The officer will be laid to rest next week.')]"
88,889,лето,s,"[('Ожидаю лучшего результата в нынешнее лето.', 'I expect much better results in the summer.'), ('Это лето обещает не стать исключением.', 'This summer promises to be no exception.')]"
89,890,тихо,adv,"[('Рядом тихо вскрикнул один из студентов.', 'At least one student was quietly weeping.'), ('Он развернулся и тихо покинул обитель.', 'He stood up and quietly left the room.')]"
90,891,зато,conj,"[('Ну да... зато вполне вероятно.', 'Well, yes... but it is likely.'), ('Но зато я владею боксерской наукой.', 'But I know that sweet science.')]"
91,892,прямой,a,"[('Такой откровенный прямой разговор хорошо действует.', 'This sort of direct talk worked really well.'), ('Они стали прямой угрозой для демократии.', 'It is a direct threat to democracy.')]"
92,893,курс,s,"[('Ознакомиться и пройти курс можно здесь.', 'You can register and access the course here.'), ('Читает курс лекций по гражданскому праву.', 'Reads a course of lectures on civil law.')]"
93,894,помогать,v,"[('Я должен забивать и помогать партнерам.', 'I have to play and help my teammates.'), ('Но мы не собираемся никому помогать.', ""Well we're not going to help anyone."")]"
94,895,предложение,s,"[('Не прошло это предложение в парламенте.', 'The proposal did not pass in parliament.'), ('Мы подготовим техническое и ценовое предложение.', 'Both a technical and a price proposal will be required.')]"
95,896,финансовый,a,"[('Расходы сокращают ваш финансовый резерв безопасности.', 'Expenses bite into your financial margin of safety.'), ('Все начиналось не как финансовый проект.', 'It did not start out as a financial centre.')]"
96,897,открытый,a,"[('И доступ к этим данным открытый.', 'Access to these records is open.'), ('Он очень открытый и позитивный человек.', ""He's a very open and positive person."")]"
97,898,почему-то,advpro,"[('А потом он почему-то становится пиратом.', 'Then he becomes a pirate, for some reason.'), ('Но мир почему-то не желает подчиняться.', 'But for some reason the world does not want to obey.')]"
98,899,значить,v,"[('Мир начинает меньше значить для вас.', 'Cities are beginning to mean less to me.'), ('Но это не будет ничего значить.', ""But it wouldn't mean anything."")]"
99,900,возникнуть,v,"[('Алкоголизм может возникнуть по многим причинам.', 'Alcohol addiction may arise from many reasons.'), ('Конечно могут возникнуть несколько мелких проблем.', 'Course I guess maybe some little problems could arise.')]"
