,rank,lemma,Spanish,lemma (disambiguated),show
120,117.0,señor,sr,,*sr* (señor)
121,118.0,hasta,hasta,,hasta
122,119.0,sin,sin,,sin
123,120.0,mí,mí,,mí
124,121.0,solo,solo,,solo
125,122.0,año,años,,*años* (año)
126,123.0,sobre,sobre,,sobre
127,124.0,decir,decir,,decir
128,125.0,uno,uno,,uno
129,126.0,siempre,siempre,,siempre
130,127.0,oh,oh,,oh
131,128.0,ir,ir,,ir
132,129.0,cosa,cosas,cosa,*cosas* (cosa)
133,129.0,coser,cosas,coser,*cosas* (coser)
134,130.0,también,también,,también
135,131.0,antes,antes,,antes
136,132.0,haber,has,,*has* (haber)
137,133.0,ni,ni,,ni
138,134.0,mi,mis,,*mis* (mi)
139,135.0,día,día,,día
140,136.0,estar,estar,,estar
141,137.0,estar,estamos,,*estamos* (estar)
142,138.0,noche,noche,,noche
143,139.0,nadie,nadie,,nadie
144,140.0,otro,otra,,*otra* (otro)
145,141.0,querer,quiere,,*quiere* (querer)
146,142.0,parecer,parece,,*parece* (parecer)
147,143.0,nosotros,nosotros,,nosotros
148,144.0,poco,poco,,poco
149,145.0,padre,padre,,padre
150,146.0,trabajo,trabajo,trabajo,trabajo
151,146.0,trabajar,trabajo,trabajar,*trabajo* (trabajar)
152,147.0,gente,gente,,gente
153,148.0,mirar,mira,,*mira* (mirar)
154,149.0,ir,vas,,*vas* (ir)
155,150.0,ser,sea,,*sea* (ser)
156,151.0,les,les,,les
157,152.0,donde,donde,,donde
158,153.0,mismo,mismo,,mismo
159,154.0,hacer,hecho,hacer,*hecho* (hacer)
160,154.0,hecho,hecho,hecho,hecho
161,155.0,ellos,ellos,,ellos
162,156.0,decir,dijo,,*dijo* (decir)
163,157.0,pasar,pasa,,*pasa* (pasar)
164,158.0,dinero,dinero,,dinero
165,159.0,hijo,hijo,,hijo
166,160.0,tal,tal,,tal
167,161.0,otro,otro,,otro
168,162.0,hablar,hablar,,hablar
169,163.0,seguro,seguro,,seguro
170,164.0,claro,claro,,claro
171,165.0,este,estas,,*estas* (este)
172,166.0,lugar,lugar,,lugar
173,167.0,mundo,mundo,,mundo
174,168.0,amigo,amigo,,amigo
175,169.0,esperar,espera,esperar,*espera* (esperar)
176,169.0,espera,espera,espera,espera
177,170.0,mierda,mierda,,mierda
178,171.0,haber,han,,*han* (haber)
179,172.0,tu,tus,,*tus* (tu)
180,173.0,saber,sabe,,*sabe* (saber)
181,174.0,después,después,,después
182,175.0,momento,momento,,momento
183,176.0,desde,desde,,desde
184,177.0,fuera,fuera,fuera,fuera
185,177.0,ir,fuera,ir,*fuera* (ir)
186,177.0,ser,fuera,ser,*fuera* (ser)
187,178.0,cosa,cosa,cosa,cosa
188,178.0,coser,cosa,coser,*cosa* (coser)
189,179.0,tipo,tipo,,tipo
190,180.0,mañana,mañana,,mañana
191,181.0,poder,podemos,,*podemos* (poder)
192,182.0,decir,dije,,*dije* (decir)
193,183.0,grande,gran,,*gran* (grande)
194,184.0,necesitar,necesito,,*necesito* (necesitar)
195,185.0,estar,estado,estar,*estado* (estar)
196,185.0,estado,estado,estado,estado
197,186.0,poder,podría,,*podría* (poder)
198,187.0,acordar,acuerdo,acordar,*acuerdo* (acordar)
199,187.0,acuerdo,acuerdo,acuerdo,acuerdo
200,188.0,papá,papá,,papá
201,189.0,tener,tener,,tener
202,190.0,decir,dice,,*dice* (decir)
203,191.0,mío,mío,,mío
204,192.0,creer,crees,,*crees* (creer)
205,193.0,bueno,buena,bueno,*buena* (bueno)
206,193.0,buena,buena,buena,buena
207,194.0,gustar,gusta,,*gusta* (gustar)
208,195.0,nuestro,nuestro,,nuestro
209,196.0,nuevo,nuevo,,nuevo
210,197.0,ser,será,,*será* (ser)
211,198.0,hacer,haciendo,,*haciendo* (hacer)
212,199.0,día,días,,*días* (día)
213,200.0,nombre,nombre,,nombre
214,201.0,bueno,buen,,*buen* (bueno)
215,202.0,haber,había,,*había* (haber)
216,203.0,ver,ven,ver,*ven* (ver)
217,203.0,venir,ven,venir,*ven* (venir)
218,204.0,tres,tres,,tres
219,205.0,menos,menos,,menos
220,206.0,deber,debe,,*debe* (deber)
221,207.0,tener,tenía,,*tenía* (tener)
222,208.0,mal,mal,,mal
223,209.0,conmigo,conmigo,,conmigo
224,210.0,madre,madre,,madre
225,211.0,hoy,hoy,,hoy
226,212.0,quien,quien,,quien
227,213.0,ser,sido,,*sido* (ser)
228,214.0,mamá,mamá,,mamá
229,215.0,tener,tienen,,*tienen* (tener)
230,216.0,luego,luego,,luego
231,217.0,todo,todas,,*todas* (todo)
232,218.0,allí,allí,,allí
233,219.0,todo,toda,,*toda* (todo)
234,220.0,hora,hora,,hora
235,221.0,mujer,mujer,,mujer
236,222.0,ver,visto,,*visto* (ver)
237,223.0,hacer,haces,,*haces* (hacer)
238,224.0,importar,importa,,*importa* (importar)
239,225.0,contigo,contigo,,contigo
240,226.0,ver,ve,ver,*ve* (ver)
241,226.0,ir,ve,ir,*ve* (ir)
242,227.0,tarde,tarde,tarde,tarde
243,227.0,tardar,tarde,tardar,*tarde* (tardar)
244,228.0,oír,oye,,*oye* (oír)
245,229.0,partir,parte,partir,*parte* (partir)
246,229.0,parte,parte,parte,parte
247,230.0,haber,haber,,haber
248,231.0,hombre,hombres,,*hombres* (hombre)
249,232.0,problema,problema,,problema
250,233.0,mas,mas,,mas
251,234.0,saber,saber,,saber
252,235.0,querer,quería,,*quería* (querer)
253,236.0,aún,aún,,aún
254,237.0,vez,veces,,*veces* (vez)
255,238.0,nuestro,nuestra,,*nuestra* (nuestro)
256,239.0,hacer,hacerlo,,*hacerlo* (hacer)
257,240.0,cada,cada,,cada
258,241.0,hacer,hizo,,*hizo* (hacer)
259,242.0,ver,veo,,*veo* (ver)
260,243.0,tanto,tanto,,tanto
261,244.0,razón,razón,,razón
262,245.0,usted,ustedes,,*ustedes* (usted)
263,246.0,idea,idea,,idea
264,247.0,eso,esos,,*esos* (eso)
265,248.0,ir,van,,*van* (ir)
266,249.0,quizá,quizá,,quizá
267,250.0,deber,debo,,*debo* (deber)
268,251.0,alguno,alguna,,*alguna* (alguno)
269,252.0,cierto,cierto,,cierto
270,253.0,usted,ud,,*ud* (usted)
271,254.0,muerto,muerto,muerto,muerto
272,254.0,morir,muerto,morir,*muerto* (morir)
273,255.0,un,unos,,*unos* (un)
274,256.0,este,estos,,*estos* (este)
275,257.0,salir,salir,,salir
276,258.0,policía,policía,,policía
277,259.0,realmente,realmente,,realmente
278,260.0,demasiado,demasiado,,demasiado
279,261.0,familia,familia,,familia
280,262.0,poder,pueden,,*pueden* (poder)
281,263.0,cabeza,cabeza,,cabeza
282,264.0,haber,hemos,,*hemos* (haber)
283,265.0,amigo,amigos,,*amigos* (amigo)
284,266.0,chico,chica,chico,*chica* (chico)
285,266.0,chica,chica,chica,chica
286,267.0,cariño,cariño,,cariño
287,268.0,lado,lado,,lado
288,269.0,allá,allá,,allá
289,270.0,entre,entre,,entre
290,271.0,minuto,minutos,,*minutos* (minuto)
291,272.0,decir,digo,,*digo* (decir)
292,273.0,algún,algún,,algún
293,274.0,serio,serio,,serio
294,275.0,cuidar,cuidado,cuidar,*cuidado* (cuidar)
295,275.0,cuidado,cuidado,cuidado,cuidado
296,276.0,pasar,pasó,,*pasó* (pasar)
297,277.0,bueno,buenas,,*buenas* (bueno)
298,278.0,ser,somos,,*somos* (ser)
299,279.0,amor,amor,,amor
300,280.0,puerta,puerta,,puerta
301,281.0,ver,ves,,*ves* (ver)
302,282.0,ir,vaya,,*vaya* (ir)
303,283.0,ah,ah,,ah
304,284.0,suerte,suerte,,suerte
305,285.0,eh,eh,,eh
306,286.0,rápido,rápido,,rápido
307,287.0,contar,cuenta,contar,*cuenta* (contar)
308,287.0,cuenta,cuenta,cuenta,cuenta
309,288.0,quizás,quizás,,quizás
310,289.0,ese,esas,,*esas* (ese)
311,290.0,pues,pues,,pues
312,291.0,pasar,pasado,pasar,*pasado* (pasar)
313,291.0,pasado,pasado,pasado,pasado
314,292.0,pensar,pensé,,*pensé* (pensar)
315,293.0,todavía,todavía,,todavía
316,294.0,hermano,hermano,,hermano
317,295.0,deber,debes,,*debes* (deber)
318,296.0,casi,casi,,casi
319,297.0,forma,forma,,forma
320,298.0,aquí,aqui,,*aqui* (aquí)
321,299.0,chico,chico,,chico
322,300.0,ok,ok,,ok
323,301.0,decir,dicho,decir,*dicho* (decir)
324,301.0,dicho,dicho,dicho,dicho
325,302.0,nuevo,nueva,nuevo,*nueva* (nuevo)
326,302.0,nueva,nueva,nueva,nueva
327,303.0,saber,sabía,,*sabía* (saber)
328,304.0,mucho,muchas,,*muchas* (mucho)
329,305.0,dentro,dentro,,dentro
330,306.0,hacer,hice,,*hice* (hacer)
331,307.0,contra,contra,,contra
332,308.0,auto,auto,,auto
333,309.0,camino,camino,camino,camino
334,309.0,caminar,camino,caminar,*camino* (caminar)
335,310.0,ayuda,ayuda,ayuda,ayuda
336,310.0,ayudar,ayuda,ayudar,*ayuda* (ayudar)
337,311.0,primero,primera,primero,*primera* (primero)
338,311.0,primera,primera,primera,primera
339,312.0,hacia,hacia,,hacia
340,313.0,ver,vi,,*vi* (ver)
341,314.0,miedo,miedo,,miedo
342,315.0,adiós,adiós,,adiós
343,316.0,primero,primero,,primero
344,317.0,deber,debería,,*debería* (deber)
345,318.0,poder,poder,,poder
346,319.0,niño,niños,,*niños* (niño)
347,320.0,ser,sería,,*sería* (ser)
348,321.0,historia,historia,,historia
349,322.0,hey,hey,,hey
350,323.0,mientras,mientras,,mientras
351,324.0,ciudad,ciudad,,ciudad
352,325.0,decir,dijiste,,*dijiste* (decir)
353,326.0,esperar,espero,,*espero* (esperar)
354,327.0,cuánto,cuánto,,cuánto
355,328.0,esposa,esposa,esposa,esposa
356,328.0,esposar,esposa,esposar,*esposa* (esposar)
357,329.0,pronto,pronto,,pronto
358,330.0,chico,chicos,,*chicos* (chico)
359,331.0,cualquier,cualquier,,cualquier
360,332.0,viejo,viejo,,viejo
361,333.0,deber,debemos,,*debemos* (deber)
362,334.0,dejar,deja,,*deja* (dejar)
363,335.0,año,año,,año
364,336.0,muerte,muerte,,muerte
365,337.0,hablar,hablando,,*hablando* (hablar)
366,338.0,mano,manos,,*manos* (mano)
367,339.0,dar,da,,*da* (dar)
368,340.0,loco,loco,,loco
369,341.0,problema,problemas,,*problemas* (problema)
370,342.0,mano,mano,,mano
371,343.0,guerra,guerra,,guerra
372,344.0,semana,semana,,semana
373,345.0,pasar,pasar,,pasar
374,346.0,valer,vale,valer,*vale* (valer)
375,346.0,vale,vale,vale,vale
376,347.0,cuál,cuál,,cuál
377,348.0,venir,viene,,*viene* (venir)
378,349.0,volver,volver,,volver
379,350.0,tomar,toma,,*toma* (tomar)
380,351.0,caso,caso,caso,caso
381,351.0,casar,caso,casar,*caso* (casar)
382,352.0,agua,agua,,agua
383,353.0,hacer,haré,,*haré* (hacer)
384,354.0,ir,vete,,*vete* (ir)
385,355.0,entender,entiendo,,*entiendo* (entender)
386,356.0,hora,horas,,*horas* (hora)
387,357.0,persona,personas,,*personas* (persona)
388,358.0,capitán,capitán,,capitán
389,359.0,adelante,adelante,,adelante
390,360.0,niño,niño,,niño
391,361.0,listo,listo,,listo
392,362.0,noche,noches,,*noches* (noche)
393,363.0,bueno,buenos,,*buenos* (bueno)
394,364.0,ir,iba,,*iba* (ir)
395,365.0,junto,juntos,,*juntos* (junto)
396,366.0,dar,dame,,*dame* (dar)
397,367.0,único,único,,único
398,368.0,dejar,déjame,,*déjame* (dejar)
399,369.0,cerca,cerca,cerca,cerca
400,369.0,cercar,cerca,cercar,*cerca* (cercar)
401,370.0,otro,otros,,*otros* (otro)
402,371.0,seguir,sigue,,*sigue* (seguir)
403,372.0,grande,grande,,grande
404,373.0,arriba,arriba,,arriba
405,374.0,jefe,jefe,,jefe
406,375.0,hablar,habla,hablar,*habla* (hablar)
407,375.0,habla,habla,habla,habla
408,376.0,suponer,supongo,,*supongo* (suponer)
409,377.0,manera,manera,,manera
410,378.0,querer,quieren,,*quieren* (querer)
411,379.0,feliz,feliz,,feliz
412,380.0,significar,significa,,*significa* (significar)
413,381.0,sangre,sangre,,sangre
414,382.0,fin,fin,,fin
415,383.0,bajar,bajo,bajar,*bajo* (bajar)
416,383.0,bajo,bajo,bajo,bajo
417,384.0,llamar,llama,llamar,*llama* (llamar)
418,384.0,llama,llama,llama,llama
419,385.0,venir,venir,,venir
420,386.0,morir,morir,,morir
421,387.0,importante,importante,,importante
422,388.0,hacer,hiciste,,*hiciste* (hacer)
423,389.0,ojo,ojos,,*ojos* (ojo)
424,390.0,escuchar,escucha,,*escucha* (escuchar)
425,391.0,entrar,entrar,,entrar
426,392.0,ninguno,ningún,,*ningún* (ninguno)
427,393.0,corazón,corazón,,corazón
428,394.0,diablo,diablos,,*diablos* (diablo)
429,395.0,necesitar,necesitamos,,*necesitamos* (necesitar)
430,396.0,atrás,atrás,,atrás
431,397.0,durante,durante,,durante
432,398.0,decir,dices,,*dices* (decir)
433,399.0,nuestro,nuestros,,*nuestros* (nuestro)
434,400.0,persona,persona,,persona
435,401.0,abajo,abajo,,abajo
436,402.0,doctor,dr,,*dr* (doctor)
437,403.0,hija,hija,,hija
438,404.0,dejar,dejar,,dejar
439,405.0,necesitar,necesita,,*necesita* (necesitar)
440,406.0,llegar,llegar,,llegar
441,407.0,hacer,hago,,*hago* (hacer)
442,408.0,señora,señora,,señora
443,409.0,haber,haya,haber,*haya* (haber)
444,409.0,haya,haya,haya,haya
445,410.0,suficiente,suficiente,,suficiente
446,411.0,doctor,doctor,,doctor
447,412.0,gustar,gustaría,,*gustaría* (gustar)
448,413.0,tierra,tierra,,tierra
449,414.0,cara,cara,,cara
450,415.0,siquiera,siquiera,,siquiera
451,416.0,genial,genial,,genial
452,417.0,creer,cree,,*cree* (creer)
453,418.0,suponer,supuesto,,*supuesto* (suponer)
454,419.0,tomar,tomar,,tomar
455,420.0,equipo,equipo,equipo,equipo
456,420.0,equipar,equipo,equipar,*equipo* (equipar)
457,421.0,justo,justo,,justo
458,422.0,juego,juego,juego,juego
459,422.0,jugar,juego,jugar,*juego* (jugar)
460,423.0,ninguno,ninguna,,*ninguna* (ninguno)
461,424.0,matar,matar,,matar
462,425.0,cinco,cinco,,cinco
463,426.0,decir,dicen,,*dicen* (decir)
464,427.0,amo,amo,amo,amo
465,427.0,amar,amo,amar,*amo* (amar)
466,428.0,cuándo,cuándo,,cuándo
467,429.0,pequeño,pequeño,,pequeño
468,430.0,alguno,algunos,,*algunos* (alguno)
469,431.0,conocer,conozco,,*conozco* (conocer)
470,432.0,clase,clase,,clase
471,433.0,maldito,maldito,,maldito
472,434.0,un,unas,,*unas* (un)
473,435.0,mucho,muchos,,*muchos* (mucho)
474,436.0,haber,hubiera,,*hubiera* (haber)
475,437.0,segundo,segundo,,segundo
476,438.0,aunque,aunque,,aunque
477,439.0,poder,pueda,,*pueda* (poder)
478,440.0,decir,dime,,*dime* (decir)
479,441.0,igual,igual,,igual
480,442.0,comida,comida,comida,comida
481,442.0,comer,comida,comer,*comida* (comer)
482,443.0,ay,ay,,ay
483,444.0,cuerpo,cuerpo,,cuerpo
484,445.0,encontrar,encontrar,,encontrar
485,446.0,fuerte,fuerte,,fuerte
486,447.0,vuelta,vuelta,vuelta,vuelta
487,447.0,volver,vuelta,volver,*vuelta* (volver)
488,448.0,venir,venga,,*venga* (venir)
489,449.0,creer,creer,,creer
490,450.0,realidad,realidad,,realidad
491,451.0,saber,saben,,*saben* (saber)
492,452.0,puta,puta,,puta
493,453.0,deber,deberías,,*deberías* (deber)
494,454.0,pregunta,pregunta,pregunta,pregunta
495,454.0,preguntar,pregunta,preguntar,*pregunta* (preguntar)
496,455.0,ir,fui,ir,*fui* (ir)
497,455.0,ser,fui,ser,*fui* (ser)
498,456.0,cuatro,cuatro,,cuatro
499,457.0,señora,sra,,*sra* (señora)
500,458.0,primero,primer,,*primer* (primero)
501,459.0,trabajar,trabajar,,trabajar
502,460.0,y,e,,*e* (y)
503,461.0,hacer,hagas,,*hagas* (hacer)
504,462.0,alto,alto,,alto
505,463.0,maldito,maldita,,*maldita* (maldito)
506,464.0,comer,comer,,comer
507,465.0,número,número,,número
508,466.0,dar,dar,,dar
509,467.0,necesitar,necesitas,,*necesitas* (necesitar)
510,468.0,oportunidad,oportunidad,,oportunidad
511,469.0,punto,punto,,punto
512,470.0,mismo,misma,,*misma* (mismo)
513,471.0,último,última,,*última* (último)
514,472.0,afuera,afuera,,afuera
515,473.0,mujer,mujeres,,*mujeres* (mujer)
516,474.0,pensar,pensar,,pensar
517,475.0,ir,fueron,ir,*fueron* (ir)
518,475.0,ser,fueron,ser,*fueron* (ser)
519,476.0,difícil,difícil,,difícil
520,477.0,vivir,vivir,,vivir
521,478.0,paso,paso,paso,paso
522,478.0,pasar,paso,pasar,*paso* (pasar)
523,479.0,malo,malo,,malo
524,480.0,estar,estabas,,*estabas* (estar)
525,481.0,vivir,vivo,vivir,*vivo* (vivir)
526,481.0,vivo,vivo,vivo,vivo
527,482.0,hacer,haga,,*haga* (hacer)
528,483.0,quedar,queda,,*queda* (quedar)
529,484.0,hijo,hijos,,*hijos* (hijo)
530,485.0,mayor,mayor,,mayor
531,486.0,fiesta,fiesta,,fiesta
532,487.0,hacer,hacen,,*hacen* (hacer)
533,488.0,medio,medio,,medio
534,489.0,alguno,algunas,,*algunas* (alguno)
535,490.0,bastar,basta,,*basta* (bastar)
536,491.0,arma,arma,arma,arma
537,491.0,armar,arma,armar,*arma* (armar)
538,492.0,venir,vino,venir,*vino* (venir)
539,492.0,vino,vino,vino,vino
540,493.0,mes,meses,,*meses* (mes)
541,494.0,cuarto,cuarto,,cuarto
542,495.0,este,éste,,*éste* (este)
543,496.0,escuela,escuela,,escuela
544,497.0,estar,esté,,*esté* (estar)
545,498.0,dólar,dólares,,*dólares* (dólar)
546,499.0,tío,tío,,tío
547,500.0,posible,posible,,posible
548,501.0,tener,tuve,,*tuve* (tener)
549,502.0,fácil,fácil,,fácil
550,503.0,preocupar,preocupes,,*preocupes* (preocupar)
551,504.0,luz,luz,,luz
552,505.0,ser,eran,,*eran* (ser)
553,506.0,carajo,carajo,,carajo
554,507.0,final,final,,final
555,508.0,lista,lista,lista,lista
556,508.0,listo,lista,listo,*lista* (listo)
557,509.0,tratar,trata,,*trata* (tratar)
558,510.0,arma,armas,arma,*armas* (arma)
559,510.0,armar,armas,armar,*armas* (armar)
560,511.0,hermana,hermana,,hermana
561,512.0,exactamente,exactamente,,exactamente
562,513.0,chica,chicas,,*chicas* (chica)
563,514.0,poder,podía,,*podía* (poder)
564,515.0,bastante,bastante,,bastante
565,516.0,seguridad,seguridad,,seguridad
566,517.0,pasar,pasando,,*pasando* (pasar)
567,518.0,esperar,esperando,,*esperando* (esperar)
568,519.0,acá,acá,,acá
569,520.0,teléfono,teléfono,,teléfono
570,521.0,perro,perro,,perro
571,522.0,fuego,fuego,,fuego
572,523.0,morir,murió,,*murió* (morir)
573,524.0,tampoco,tampoco,,tampoco
574,525.0,solo,sola,,*sola* (solo)
575,526.0,estar,estuvo,,*estuvo* (estar)
576,527.0,ver,verte,,*verte* (ver)
577,528.0,ir,iré,,*iré* (ir)
578,529.0,tener,tenido,,*tenido* (tener)
579,530.0,culpa,culpa,culpa,culpa
580,530.0,culpar,culpa,culpar,*culpa* (culpar)
581,531.0,veras,veras,,veras
582,532.0,adónde,adónde,,adónde
583,533.0,buscar,buscando,,*buscando* (buscar)
584,534.0,cuanto,cuanto,,cuanto
585,535.0,padre,padres,,*padres* (padre)
586,536.0,paz,paz,,paz
587,537.0,demonio,demonios,,*demonios* (demonio)
588,538.0,estar,estará,,*estará* (estar)
589,539.0,cual,cual,,cual
590,540.0,perdón,perdón,,perdón
591,541.0,así,asi,,*asi* (así)
592,542.0,jugar,jugar,,jugar
593,543.0,pensar,pensando,,*pensando* (pensar)
594,544.0,esperar,esperar,,esperar
595,545.0,saber,sabemos,,*sabemos* (saber)
596,546.0,recuerdo,recuerdo,recuerdo,recuerdo
597,546.0,recordar,recuerdo,recordar,*recuerdo* (recordar)
598,547.0,par,par,,par
599,548.0,joven,joven,,joven
600,549.0,seguir,seguir,,seguir
601,550.0,pueblo,pueblo,,pueblo
602,551.0,tener,tenga,,*tenga* (tener)
603,552.0,caballero,caballeros,,*caballeros* (caballero)
604,553.0,idiota,idiota,,idiota
605,554.0,dar,dio,,*dio* (dar)
606,555.0,minuto,minuto,,minuto
607,556.0,bebé,bebé,,bebé
608,557.0,único,única,,*única* (único)
609,558.0,lejos,lejos,,lejos
610,559.0,nuestro,nuestras,,*nuestras* (nuestro)
611,560.0,plan,plan,,plan
612,561.0,pensar,pienso,,*pienso* (pensar)
613,562.0,sentido,sentido,sentido,sentido
614,562.0,sentir,sentido,sentir,*sentido* (sentir)
615,563.0,dormir,dormir,,dormir
616,564.0,decir,digas,,*digas* (decir)
617,565.0,palabra,palabra,,palabra
618,566.0,correcto,correcto,,correcto
619,567.0,control,control,,control
620,568.0,ver,vemos,,*vemos* (ver)
621,569.0,entender,entiendes,,*entiendes* (entender)
622,570.0,país,país,,país
623,571.0,seis,seis,,seis
624,572.0,último,último,,último
625,573.0,ésta,ésta,,ésta
626,574.0,decir,diga,,*diga* (decir)
627,575.0,poder,podrías,,*podrías* (poder)
628,576.0,pequeña,pequeña,,pequeña
629,577.0,callar,cállate,,*cállate* (callar)
630,578.0,trato,trato,trato,trato
631,578.0,tratar,trato,tratar,*trato* (tratar)
632,579.0,rey,rey,,rey
633,580.0,suceder,sucede,,*sucede* (suceder)
634,581.0,muchacho,muchachos,,*muchachos* (muchacho)
635,582.0,jamás,jamás,,jamás
636,583.0,cama,cama,,cama
637,584.0,señorita,srta,,*srta* (señorita)
638,585.0,ayudar,ayudar,,ayudar
639,586.0,acerca,acerca,acerca,acerca
640,586.0,acercar,acerca,acercar,*acerca* (acercar)
641,587.0,dar,di,,*di* (dar)
642,588.0,cambio,cambio,cambio,cambio
643,588.0,cambiar,cambio,cambiar,*cambio* (cambiar)
644,589.0,falta,falta,falta,falta
645,589.0,faltar,falta,faltar,*falta* (faltar)
646,590.0,hospital,hospital,,hospital
647,591.0,llevar,lleva,,*lleva* (llevar)
648,592.0,presidente,presidente,,presidente
649,593.0,mil,mil,,mil
650,594.0,gusto,gusto,gusto,gusto
651,594.0,gustar,gusto,gustar,*gusto* (gustar)
652,595.0,conocer,conoces,,*conoces* (conocer)
653,596.0,decir,diciendo,,*diciendo* (decir)
654,597.0,os,os,,os
655,598.0,ir,ido,,*ido* (ir)
656,599.0,general,general,,general
657,600.0,extraño,extraño,extraño,extraño
658,600.0,extrañar,extraño,extrañar,*extraño* (extrañar)
659,601.0,semana,semanas,,*semanas* (semana)
660,602.0,coche,coche,,coche
661,603.0,peor,peor,peor,peor
662,603.0,bien,peor,bien,*peor* (bien)
663,604.0,mucho,mucha,,*mucha* (mucho)
664,605.0,disculpar,disculpe,,*disculpe* (disculpar)
665,606.0,decir,diré,,*diré* (decir)
666,607.0,anoche,anoche,,anoche
667,608.0,perder,perder,,perder
668,609.0,ir,vámonos,,*vámonos* (ir)
669,610.0,nave,nave,,nave
670,611.0,cielo,cielo,,cielo
671,612.0,haber,habrá,,*habrá* (haber)
672,613.0,orden,orden,,orden
