Unnamed: 0.1,Unnamed: 0,French,POS,ChatGPT_Sentence,Translation
60,60,venir,verb,"Je veux venir une autre fois.
I want to come another time.",come
61,61,sur,"preposition, adjective","La tasse est sur la table.
The cup is on the table.",on
62,62,toi,personal pronoun,"Je veux savoir si tu es là, toi.

I want to know if you are there.",You
63,63,ici,adverb,"Il est même ici.  
He is even here.",here
64,64,rien,indefinite pronoun,"Je ne vais pas faire rien.
I am not going to do anything.",Nothing
65,65,lui,personal pronoun,"Je lui ai donné des bonbons même si je n'en avais pas beaucoup.
I gave him/her some candies even though I didn't have many.",him
66,66,bon,"adjective, onomatopoeia, noun, adverb","French: Le bon chien aboie, mais que c'est bon!

English: The good dog barks, but how good it is!",Good
67,67,là,adverb,"Non, ce n'est pas là, c'est dans la cuisine.
No, it's not there, it's in the kitchen.",there
68,68,suivre,verb,"Je vais suivre le guide au musée tout à l'heure.
I am going to follow the guide at the museum in a little while.",follow
69,69,pourquoi,"adverb, conjunction","Pourquoi vous faut-il partir si tôt ?
Why do you need to leave so early?",Why
70,70,parler,verb,"Je suis heureux quand je peux parler avec toi.
I am happy when I can talk with you.",talk
71,71,prendre,verb,"Tu prends mon livre.
You take my book.",take
72,72,cette,demonstrative adjective,"Cette maison est près d'ici.
This house is near here.",this
73,73,quand,conjunction,"Quand il s'arrête ici, nous parlons.

When he stops here, we talk.",When
74,74,alors,adverb,"Alors, vous venez?  
So, are you coming?",SO
75,75,une chose,noun,"Mes amis aiment une chose qu'elle a faite.
My friends like a thing she made.",a thing
76,76,par,preposition,"Nous passons par ces rues.
We pass through these streets.",by
77,77,son,possessive adjective,"Il faut que son ami vienne.
It is necessary that his friend comes.",her
78,78,croire,verb,"Je crois que je vais aller au parc.
I believe that I am going to go to the park.",believe
79,79,aimer,verb,"Nous aimons les livres qu'ils lisent.
We love the books they read.",to like
80,80,falloir,verb,"Il ne faut jamais te décourager, toi.

You must never get discouraged.",to need
81,81,comment,"adverb, conjunction, onomatopoeia","Comment ça va? Je ne peux pas trouver mes clés.
How are you? I can't find my keys.",how
82,82,très,adverb,"C'est une chose très facile à faire.
It's a very easy thing to do.",very
83,83,ou,conjunction,"Merci pour tout, ou rien.

Thank you for everything, or nothing.",Or
84,84,passer,verb,"Je vais passer la voir, mais je ne peux pas la croire.
I will go see her, but I can't believe her.",pass
85,85,penser,verb,"Je pense avec mes amis.

I think with my friends.",think
86,86,aussi,adverb,"Je n'ai jamais été aussi heureux.
I have never been so happy.",Also
87,87,jamais,adverb,"Je ne peux jamais croire au mensonge.  
I can never believe in the lie.",Never
88,88,attendre,verb,"Je ne peux plus attendre, c'est trop bon.

I can't wait any longer, it's too good.",to wait for
89,89,trouver,verb,"Je vais trouver un livre que j'aime.
I am going to find a book that I like.",find
90,90,laisser,verb,"Je vais te laisser le livre quand tu vas me donner le tien.  
I will leave you the book when you give me yours.",to leave
91,91,petit,"adjective, noun","Tu as un petit chien et il est très mignon.
You have a small dog and he is very cute.",little
92,92,merci,"onomatopoeia, noun","Merci, je ne peux pas croire que toi.

Thank you, I can't believe it's you.",THANKS
93,93,même,"adverb, adjective","Elle a acheté une robe des mêmes couleurs.

She bought a dress of the same colors.",even
94,94,sa,possessive adjective,"Sa sœur n'a pas de chat.
Her sister does not have a cat.",her
95,95,ta,possessive adjective,"Ta sœur pense sur le livre.
Your sister thinks about the book.",your
96,96,autre,"adjective, indefinite pronoun","Oui, je t'ai vu avec l'autre.

Yes, I saw you with the other one.",other
97,97,arriver,verb,"Oui, je vais arriver pour le dîner.
Yes, I will arrive for dinner.",arrive
98,98,ces,demonstrative adjective,"Ces enfants passent leur temps à croire aux contes de fées.
These children spend their time believing in fairy tales.",these
99,99,donner,verb,"Pourquoi veux-tu donner ce livre quand tu arrives ?
Why do you want to give this book when you arrive?",give
