,Unnamed: 0,Dutch,POS,ChatGPT_Sentence
73,73,zal,auxiliary verb,"Ik zal in de tuin door de bloemen lopen.
I will walk through the flowers in the garden."
74,74,meer,adverb,"Ik denk meer na over waarom.  
I think more about why."
75,75,waarom,adverb,"Waarom heb je echt nooit tijd?
Why do you really never have time?"
76,76,had,verb,"Hij had een boek met een kaart waar hij van hield.
He had a book with a map that he loved."
77,77,deze,pronoun,"Deze wil ik met jou delen.
I want to share this with you."
78,78,laat,adjective,"Ik wil geen laat diner hebben.  
I don't want to have a late dinner."
79,79,moeten,verb,"Ik moet voor de hond zorgen en hem zien.

I have to take care of the dog and see him."
80,80,m'n,pronoun,"Hoe ben je met m'n boek?

How are you with my book?"
81,81,jou,pronoun,"Ik geef m'n boek aan jou.
I give my book to you."
82,82,doe,verb,"Ik heb geen idee wat ik moet doe.
I have no idea what I should do."
83,83,wie,conjunction,"Jij weet niet wie om de hoek woont.
You don't know who lives around the corner."
84,84,kunnen,verb,"Hoe kunnen we wat eten?  
How can we eat something?"
85,85,alles,pronoun,"Nee, jij bent niet alles.  
No, you are not everything."
86,86,denk,verb,"Ik denk dat die eens komt.  
I think that one will come."
87,87,door,preposition,"Ik ben nog nooit door die straat gelopen.
I have never walked through that street yet."
88,88,echt,adverb,"Het is echt leuk om van muziek te genieten.
It is really fun to enjoy music."
89,89,alleen,adverb,"Ik kom alleen op vrijdag terug.
I come back only on Friday."
90,90,oké,Okay,"Oké, ik kom om vijf uur.
Okay, I will come at five o'clock."
91,91,eens,adverb,"Hij zal eens komen.  
He will come someday."
92,92,dus,adverb,"We moeten meer oefenen, dus laten we beginnen.
We need to practice more, so let's start."
93,93,weg,adjective,"De weg is wel nog lang.
The road is still quite long."
94,94,zien,verb,"We zien je morgen.
We see you tomorrow."
95,95,toch,adverb,"Wie is ze toch?  
Who is she anyway?"
96,96,man,noun,"De man heeft een hond en ik heb hem gezien.
The man has a dog and I have seen him."
97,97,nooit,adverb,"Hoe weet je echt nooit wat er zal gebeuren?
How do you really never know what will happen?"
98,98,terug,adverb,"Ik weet dat we terug moeten.
I know that we have to go back."
99,99,laten,verb,"We laten een kat binnen.  
We let a cat inside."
