,Unnamed: 0,Dutch,Sentence
44,44,auto,De auto is mijn favoriete vervoermiddel. - The car is my favourite mode of transportation.
45,45,kwam,Ik kwam te laat. - I came too late.
46,46,verdomme,"Verdomme, ik heb mijn sleutels vergeten! Damn, I forgot my keys!"
47,47,beetje,"""Ik heb alleen een beetje honger."" - ""I only have a little bit of hunger."""
48,48,moest,Ik moest naar school gaan. - I had to go to school.
49,49,kinderen,De kinderen spelen buiten. - The children are playing outside.
50,50,wanneer,Wanneer ga je naar huis? - When are you going home?
51,51,gebeurd,Het is gebeurd. - It has happened.
52,52,jongen,De jongen rent naar school. - The boy runs to school.
53,53,bang,Ik ben bang dat het te laat is. - I'm afraid it's too late.
54,54,vraag,"""Heeft u een vraag?"" - Do you have a question?"
55,55,lijkt,Het lijkt erop dat het gaat regenen. - It looks like it's going to rain.
56,56,geweldig,De film was geweldig! - The movie was great!
57,57,paar,Ik heb een paar schoenen gekocht. - I bought a pair of shoes.
58,58,hoor,Hoor je dat? - Do you hear that?
59,59,laatste,"De laatste dag van de vakantie was het meest ontspannen.
Translation: The last day of the vacation was the most relaxed."
60,60,deed,Ik deed mijn best - I did my best.
61,61,nieuwe,De nieuwe auto is snel. - The new car is fast.
62,62,vragen,Ik heb vragen over het onderwerp. - I have questions about the subject.
63,63,kun,"""Kun je me helpen?"" - Can you help me?"
64,64,zag,Ik zag hem lopen. - I saw him walking.
65,65,zorgen,Ik zorg ervoor dat de klusjes gedaan worden. - I make sure that the chores are done.
66,66,staan,De leraren staan voor de klas. - The teachers are standing in front of the class.
67,67,wereld,De wereld is een grote plaats. - The world is a big place.
68,68,eten,Ik eet graag pizza. - I like to eat pizza.
69,69,jongens,"""Jongens, laten we gaan!"" - Boys, let's go!"
70,70,enige,"De enige manier om hieruit te komen is door samen te werken.

The only way to get out of this is by working together."
71,71,zelf,Ik heb het zelf gedaan. - I did it myself.
72,72,want,"Ik wil dat je me helpt, I want you to help me."
73,73,nemen,Ik neem de bus naar school. - I take the bus to school.
74,74,heen,Hij ging heen. - He went away.
75,75,zo'n,Zo'n grote stad is echt indrukwekkend. - Such a big city is really impressive.
76,76,beste,"""Beste vrienden, ik hoop dat jullie het goed maken!"" - ""Best friends, I hope you are doing well!"""
77,77,ken,Ik ken haar al jaren. - I have known her for years.
78,78,vandaag,Vandaag is het een prachtige dag. - Today is a beautiful day.
79,79,zelfs,Zelfs de meest ervaren kok kan fouten maken. - Even the most experienced cook can make mistakes.
80,80,ie,Ie moet de regels volgen. - You must follow the rules.
81,81,gezegd,"""Hij heeft gezegd dat hij zou komen."" - He said he would come."
82,82,hadden,"Hadden ze de kans gehad, dan hadden ze het gedaan.

If they had had the chance, they would have done it."
83,83,vertel,Vertel me wat je denkt. - Tell me what you think.
84,84,eerst,"Eerst heb ik de taart geschilderd. 
First I painted the cake."
85,85,gevonden,Ik heb het boek dat ik zocht gevonden. - I have found the book I was looking for.
86,86,zoon,Mijn zoon is twaalf jaar oud. - My son is twelve years old.
87,87,buiten,"""Ik ben buiten gaan wandelen."" - ""I went for a walk outside."""
88,88,samen,"""Wij gaan samen naar het park."" - ""We are going to the park together."""
89,89,denken,Ik denk dat ik het begrijp. - I think I understand.
90,90,geloof,Ik geloof in de kracht van liefde. - I believe in the power of love.
91,91,morgen,Morgen gaan we naar de bioscoop. - Tomorrow we are going to the movies.
92,92,geleden,Het is alweer twee jaar geleden sinds ik hier ben geweest. - It has already been two years since I was here.
93,93,meisje,"""Het meisje zingt een lied."" - The girl is singing a song."
94,94,thuis,Ik voel me thuis in dit huis. - I feel at home in this house.
95,95,denkt,Hij denkt dat het koud is. He thinks it is cold.
96,96,rustig,Het is hier rustig. - It is quiet here.
97,97,mannen,Mannen zijn sterk. - Men are strong.
98,98,halen,Ik haal mijn vrienden van het station. - I'm picking up my friends from the station.
99,99,probleem,Het probleem is te groot om te negeren. - The problem is too big to ignore.
