,Unnamed: 0.1,Unnamed: 0,Dutch,Sentence
58,58,58,lief,"Mijn lief is de liefste persoon in de wereld.
My love is the sweetest person in the world."
59,59,59,noem,Ik noem het 'de beste dag ooit'. - I call it 'the best day ever'.
60,60,60,gedood,Hij werd gedood door de kogel. - He was killed by the bullet.
61,61,61,vraagt,Hij vraagt waarom je zo laat bent. - He asks why you are so late.
62,62,62,boos,"""Hij was boos op mij."" - He was angry at me."
63,63,63,spullen,Mijn spullen staan in de kast. - My things are in the closet.
64,64,64,volgen,Ik volg de lessen. - I am following the lessons.
65,65,65,sturen,Ik stuur je een bericht. - I'm sending you a message.
66,66,66,hemel,De hemel is prachtig vandaag - The sky is beautiful today.
67,67,67,makkelijk,"Het is makkelijk om Nederlands te leren.
It is easy to learn Dutch."
68,68,68,ter,Ik heb het gevoel dat ik terug moet gaan. - I feel like I need to go back.
69,69,69,genomen,Ik heb de beslissing genomen. - I have taken the decision.
70,70,70,grootste,"De grootste stad van Nederland is Amsterdam.

The biggest city in the Netherlands is Amsterdam."
71,71,71,gebeurde,Het gebeurde vlug. It happened quickly.
72,72,72,kwamen,Ze kwamen vroeg aan. - They arrived early.
73,73,73,excuseer,"Excuseer me alsjeblieft, Please excuse me."
74,74,74,meter,De leraar meet de klas met een meter. - The teacher measures the class with a meter.
75,75,75,weinig,"We hebben weinig tijd om al het werk af te maken.

We have little time to finish all the work."
76,76,76,iedere,Iedere dag ben ik blij. - Every day I am happy.
77,77,77,moordenaar,De moordenaar werd veroordeeld voor zijn misdaden. - The murderer was convicted for his crimes.
78,78,78,luisteren,Ik luister naar mijn favoriete muziek. - I listen to my favorite music.
79,79,79,begrijpt,Hij begrijpt het niet. - He doesn't understand it.
80,80,80,gevaar,Het is een gevaar om in het donker buiten te lopen. - It is a danger to walk outside in the dark.
81,81,81,ieder,Ieder persoon heeft zijn eigen kwaliteiten. - Every person has their own qualities.
82,82,82,sommige,Sommige mensen hebben een grote familie. - Some people have large families.
83,83,83,via,Ik ging via de brug naar school. - I went to school via the bridge.
84,84,84,succes,"""Succes met je examen!"" - ""Good luck with your exam!"""
85,85,85,vertrekken,Ik vertrek morgen. - I am leaving tomorrow.
86,86,86,muziek,Muziek is mijn passie. - Music is my passion.
87,87,87,gestolen,De auto is gestolen. - The car has been stolen.
88,88,88,meest,De meest recente uitvinding is de beste. - The most recent invention is the best.
89,89,89,hoef,De paard hoefde niet hard te lopen. - The horse didn't need to run fast.
90,90,90,advocaat,"""Ik heb een advocaat nodig."" - ""I need a lawyer."""
91,91,91,kijkt,Hij kijkt naar de lucht. - He looks at the sky.
92,92,92,helpt,'Hij helpt mij met mijn huiswerk.' - He helps me with my homework.
93,93,93,afspraak,Ik heb een afspraak met mijn vriendin. - I have an appointment with my girlfriend.
94,94,94,maand,De maand is bijna voorbij. - The month is almost over.
95,95,95,zwarte,De zwarte kat zat op de stoel. - The black cat sat on the chair.
96,96,96,seconden,Het duurt vijf seconden. - It takes five seconds.
97,97,97,sterk,"""Hij is sterk."" - He is strong."
98,98,98,foto's,"""Ik heb veel foto's gemaakt."" - ""I have taken many photos."""
99,99,99,lijken,"""Ze lijken op elkaar."" - They look alike."
