,Unnamed: 0.1,Unnamed: 0,Dutch,Sentence
81,81,81,gezien,Ik heb gezien dat het regende. - I have seen that it was raining.
82,82,82,zullen,Wij zullen morgen naar het strand gaan. - We will go to the beach tomorrow.
83,83,83,waren,"""Ze waren verrast door de veranderingen."" - They were surprised by the changes."
84,84,84,god,God zij dank! - Thank God!
85,85,85,maak,Ik maak een kop thee. - I am making a cup of tea.
86,86,86,neem,Neem alsjeblieft even de tijd om het te lezen. - Please take the time to read it.
87,87,87,vinden,Ik vind het leuk. - I like it.
88,88,88,vind,Ik vind het leuk om met je te praten. - I enjoy talking to you.
89,89,89,moeder,Mijn moeder is mijn beste vriendin. - My mother is my best friend.
90,90,90,kon,Ik kon niet slapen. - I couldn't sleep.
91,91,91,uur,Het is twee uur 'It is two o'clock.
92,92,92,klaar,Ik ben klaar. - I'm done.
93,93,93,genoeg,Genoeg is genoeg. Enough is enough.
94,94,94,helpen,Ik kan je helpen. - I can help you.
95,95,95,oh,"Oh, wat een mooi huis! - Oh, what a beautiful house!"
96,96,96,hele,Hij heeft de hele dag gewerkt. - He has worked the whole day.
97,97,97,drie,Mijn broer heeft drie katten - My brother has three cats.
98,98,98,vast,De kat zat vast in de kast - The cat was stuck in the cupboard.
99,99,99,na,"Na het eten gingen we naar huis. - After eating, we went home."
